abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
VGK,ARI,2,17,0.519,41,53,Coyotes,14,0/2,14,0.48100000000000004,25,7,54,Golden Knights,6,4/6
ARI,LAK,2,10,0.508,26,26,Kings,14,1/10,6,0.49200000000000005,17,4,53,Coyotes,20,3/6
LAK,ARI,4,10,0.509,28,53,Coyotes,14,1/2,9,0.491,19,3,26,Kings,4,2/7
ARI,ANA,1,8,0.552,28,24,Ducks,15,0/3,9,0.44799999999999995,27,6,53,Coyotes,11,2/5
ANA,ARI,2,15,0.517,17,53,Coyotes,2,2/3,8,0.483,19,4,24,Ducks,6,0/1
EDM,ARI,2,4,0.537,22,53,Coyotes,4,1/2,10,0.46299999999999997,27,3,22,Oilers,4,0/2
VAN,ARI,4,0,0.0,0,53,Coyotes,4,1/5,0,0.0,0,1,23,Canucks,10,0/2
DAL,ARI,0,14,0.47700000000000004,24,53,Coyotes,8,0/2,15,0.523,31,3,25,Stars,8,0/2
ARI,ANA,1,21,0.456,25,24,Ducks,8,0/2,5,0.544,26,0,53,Coyotes,4,0/4
ANA,ARI,3,13,0.5379999999999999,17,53,Coyotes,6,1/3,19,0.462,27,2,24,Ducks,6,0/3
ARI,BUF,3,19,0.424,26,7,Sabres,8,1/3,12,0.5760000000000001,30,0,53,Coyotes,8,0/3
MIN,ARI,1,10,0.606,12,53,Coyotes,6,1/3,18,0.39399999999999996,15,2,30,Wild,8,0/2
CHI,ARI,4,27,0.5,21,53,Coyotes,6,0/0,14,0.5,11,1,16,Blackhawks,2,0/2
WPG,ARI,3,14,0.46399999999999997,14,53,Coyotes,8,0/4,15,0.536,24,5,52,Jets,10,1/3
CBJ,ARI,4,12,0.49200000000000005,12,53,Coyotes,10,1/3,13,0.508,15,1,29,Blue Jackets,10,0/3
ARI,VAN,1,8,0.547,22,23,Canucks,18,0/3,8,0.45299999999999996,17,4,53,Coyotes,18,0/3
ARI,TBL,1,10,0.508,23,14,Lightning,8,1/5,13,0.49200000000000005,14,7,53,Coyotes,10,0/4
ARI,OTT,1,14,0.365,14,9,Senators,6,0/4,12,0.635,16,5,53,Coyotes,10,1/2
ARI,CAR,3,8,0.5539999999999999,16,12,Hurricanes,6,0/6,26,0.446,25,4,53,Coyotes,12,1/3
ARI,PHI,5,23,0.526,10,4,Flyers,16,1/3,17,0.474,17,2,53,Coyotes,16,1/4
PHI,ARI,4,20,0.37,25,53,Coyotes,8,1/2,11,0.63,28,5,4,Flyers,4,0/4
PIT,ARI,0,10,0.5,31,53,Coyotes,6,0/4,25,0.5,32,4,5,Penguins,10,0/2
WSH,ARI,4,11,0.484,18,53,Coyotes,4,2/6,14,0.516,20,1,15,Capitals,12,0/2
DET,ARI,1,12,0.457,20,53,Coyotes,10,0/5,19,0.5429999999999999,7,6,17,Red Wings,12,1/4
ARI,NSH,1,9,0.613,19,18,Predators,4,0/5,19,0.387,24,2,53,Coyotes,10,0/2
ARI,BOS,2,15,0.34,23,6,Bruins,8,0/2,12,0.66,24,1,53,Coyotes,4,0/4
ARI,VGK,3,11,0.466,39,54,Golden Knights,6,0/2,20,0.534,24,2,53,Coyotes,4,1/3
ARI,COL,5,14,0.493,15,21,Avalanche,6,1/5,19,0.507,35,1,53,Coyotes,10,1/3
ARI,CGY,6,15,0.556,10,20,Flames,8,1/5,14,0.444,31,1,53,Coyotes,10,0/4
MIN,ARI,4,14,0.42100000000000004,24,53,Coyotes,4,0/1,12,0.579,16,3,30,Wild,2,1/2
NSH,ARI,3,18,0.541,14,53,Coyotes,18,1/5,22,0.45899999999999996,21,0,18,Predators,24,0/2
ARI,STL,1,15,0.59,31,19,Blues,28,0/2,14,0.41,13,6,53,Coyotes,10,1/7
LAK,ARI,2,18,0.41,15,53,Coyotes,4,1/4,18,0.59,24,1,26,Kings,8,0/2
ARI,WSH,4,18,0.392,25,15,Capitals,4,0/1,15,0.608,18,2,53,Coyotes,2,0/2
ARI,SJS,5,14,0.564,19,28,Sharks,2,0/1,23,0.436,30,3,53,Coyotes,2,1/1
BOS,ARI,3,9,0.413,24,53,Coyotes,6,1/2,15,0.5870000000000001,29,4,6,Bruins,4,0/3
BUF,ARI,1,13,0.397,21,53,Coyotes,2,0/2,18,0.603,23,3,7,Sabres,4,0/1
NYR,ARI,4,10,0.449,21,53,Coyotes,24,1/5,20,0.551,23,3,3,Rangers,20,3/7
CAR,ARI,0,10,0.46299999999999997,32,53,Coyotes,12,0/2,11,0.537,48,3,12,Hurricanes,8,0/5
ARI,NYI,3,23,0.368,30,2,Islanders,11,0/2,15,0.632,28,1,53,Coyotes,9,0/3
ARI,MTL,2,13,0.5,36,8,Canadiens,8,1/3,17,0.5,28,1,53,Coyotes,6,1/4
ARI,COL,4,19,0.531,28,21,Avalanche,9,1/4,11,0.469,20,6,53,Coyotes,13,0/2
SJS,ARI,4,28,0.429,19,53,Coyotes,12,1/4,12,0.5710000000000001,16,3,28,Sharks,10,1/5
LAK,ARI,1,13,0.5479999999999999,20,53,Coyotes,6,1/3,12,0.452,18,2,26,Kings,8,0/2
ANA,ARI,5,9,0.33899999999999997,28,53,Coyotes,10,1/3,11,0.6609999999999999,29,4,24,Ducks,6,1/5
ARI,VGK,5,18,0.603,28,54,Golden Knights,12,0/3,15,0.397,22,1,53,Coyotes,6,1/6
ARI,EDM,3,13,0.547,36,22,Oilers,2,0/3,16,0.45299999999999996,29,1,53,Coyotes,6,0/1
ARI,NJD,3,17,0.542,27,1,Devils,12,0/3,11,0.45799999999999996,39,2,53,Coyotes,8,0/5
ARI,NYR,0,18,0.435,41,3,Rangers,11,0/1,14,0.565,22,5,53,Coyotes,7,1/3
VAN,ARI,4,16,0.40299999999999997,21,53,Coyotes,4,0/2,11,0.597,23,3,23,Canucks,4,0/2
EDM,ARI,3,19,0.5,41,53,Coyotes,4,2/2,10,0.5,40,2,22,Oilers,6,0/1
CGY,ARI,1,7,0.429,18,53,Coyotes,2,1/3,12,0.5710000000000001,19,7,20,Flames,6,0/1
ARI,SJS,3,11,0.604,20,28,Sharks,8,1/3,24,0.396,31,6,53,Coyotes,6,1/4
ARI,PIT,3,20,0.625,30,5,Penguins,8,2/4,17,0.375,36,2,53,Coyotes,8,1/4
TOR,ARI,4,30,0.38,24,53,Coyotes,2,0/4,11,0.62,19,2,10,Maple Leafs,8,0/1
OTT,ARI,3,22,0.37,25,53,Coyotes,4,0/1,17,0.63,30,2,9,Senators,2,0/2
MTL,ARI,1,20,0.574,24,53,Coyotes,4,1/3,16,0.426,33,2,8,Canadiens,6,1/2
SJS,ARI,2,17,0.449,24,53,Coyotes,4,0/5,11,0.551,26,3,28,Sharks,10,0/2
DAL,ARI,4,21,0.37799999999999995,10,53,Coyotes,10,0/4,17,0.622,27,5,25,Stars,23,3/4
NSH,ARI,2,21,0.397,24,53,Coyotes,10,0/3,9,0.603,11,5,18,Predators,6,1/5
ARI,CBJ,4,12,0.6409999999999999,36,29,Blue Jackets,6,1/2,9,0.359,44,2,53,Coyotes,4,0/3
ARI,DAL,2,10,0.615,30,25,Stars,6,0/3,18,0.385,21,3,53,Coyotes,6,2/3
VGK,ARI,5,13,0.508,32,53,Coyotes,2,1/3,22,0.49200000000000005,44,2,54,Golden Knights,6,0/1
ARI,STL,4,19,0.564,22,19,Blues,6,1/3,17,0.436,40,0,53,Coyotes,6,0/3
ARI,TOR,0,17,0.462,24,10,Maple Leafs,2,0/4,27,0.5379999999999999,25,2,53,Coyotes,8,0/1
CGY,ARI,2,20,0.439,11,53,Coyotes,4,1/3,11,0.561,8,5,20,Flames,6,0/2
EDM,ARI,3,13,0.429,27,53,Coyotes,6,0/4,14,0.5710000000000001,31,2,22,Oilers,8,0/3
VAN,ARI,3,13,0.47600000000000003,16,53,Coyotes,6,1/2,15,0.524,28,2,23,Canucks,4,0/3
ARI,WPG,1,14,0.524,41,52,Jets,4,1/4,16,0.47600000000000003,35,4,53,Coyotes,8,0/2
ARI,FLA,3,17,0.455,33,13,Panthers,10,0/1,16,0.545,25,4,53,Coyotes,2,1/5
ARI,VAN,2,11,0.473,29,23,Canucks,10,0/3,19,0.527,19,5,53,Coyotes,8,1/4
ARI,DET,1,10,0.5710000000000001,35,17,Red Wings,8,1/1,20,0.429,25,3,53,Coyotes,4,0/3
ARI,ANA,3,14,0.483,30,24,Ducks,10,2/5,18,0.517,24,1,53,Coyotes,10,0/5
ARI,CGY,0,16,0.489,15,20,Flames,6,0/2,27,0.511,39,2,53,Coyotes,6,0/2
ARI,LAK,2,15,0.524,34,26,Kings,10,0/1,19,0.47600000000000003,30,4,53,Coyotes,4,1/4
CHI,ARI,1,14,0.491,34,53,Coyotes,2,0/2,8,0.509,22,7,16,Blackhawks,4,0/1
STL,ARI,3,17,0.426,23,53,Coyotes,9,0/1,11,0.574,21,1,19,Blues,7,1/2
ARI,ANA,1,16,0.45299999999999996,30,24,Ducks,12,0/4,16,0.547,38,6,53,Coyotes,10,2/5
ARI,EDM,3,7,0.509,30,22,Oilers,10,0/3,13,0.491,25,2,53,Coyotes,6,1/5
TBL,ARI,1,12,0.563,17,53,Coyotes,4,0/2,12,0.43799999999999994,30,4,14,Lightning,6,0/1
FLA,ARI,2,11,0.441,34,53,Coyotes,6,0/2,12,0.5589999999999999,30,4,13,Panthers,4,1/3
NJD,ARI,1,11,0.6,13,53,Coyotes,10,0/3,14,0.4,18,2,1,Devils,6,0/5
NYI,ARI,0,14,0.5,28,53,Coyotes,2,0/1,19,0.5,27,2,2,Islanders,2,0/1
ARI,CHI,0,18,0.431,22,16,Blackhawks,4,0/1,14,0.569,43,1,53,Coyotes,2,1/2
COL,ARI,2,11,0.58,26,53,Coyotes,8,0/3,21,0.42,26,3,21,Avalanche,6,2/4
ARI,MIN,0,13,0.49200000000000005,37,30,Wild,6,0/3,27,0.508,32,4,53,Coyotes,6,0/3
ARI,LAK,3,14,0.446,31,26,Kings,27,0/1,14,0.5539999999999999,26,1,53,Coyotes,7,0/6
VGK,ARI,4,16,0.45799999999999996,28,53,Coyotes,4,0/2,16,0.542,32,1,54,Golden Knights,6,0/1
ARI,WPG,4,6,0.419,27,52,Jets,8,1/2,16,0.581,26,2,53,Coyotes,6,1/3
