abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CGY,BOS,4,0,0.0,0,6,Bruins,16,0/3,0,0.0,0,3,20,Flames,6,2/8
CGY,EDM,7,13,0.444,13,22,Oilers,34,1/5,17,0.556,19,4,20,Flames,40,0/2
BOS,CGY,1,0,0.0,0,20,Flames,12,0/6,0,0.0,0,3,6,Bruins,12,0/6
VAN,CGY,4,11,0.536,20,20,Flames,12,0/2,7,0.46399999999999997,16,1,23,Canucks,6,0/5
WPG,CGY,3,10,0.551,15,20,Flames,12,1/3,7,0.449,25,4,52,Jets,8,1/5
CGY,VAN,2,13,0.569,13,23,Canucks,6,2/8,19,0.431,16,5,20,Flames,16,1/3
CGY,WPG,5,16,0.466,28,52,Jets,8,1/3,13,0.534,8,4,20,Flames,8,0/3
CGY,SJS,5,13,0.563,9,28,Sharks,8,1/3,5,0.43799999999999994,16,7,20,Flames,8,0/4
SJS,CGY,4,7,0.563,11,20,Flames,13,0/4,16,0.43799999999999994,30,3,28,Sharks,13,0/4
EDM,CGY,3,7,0.536,23,20,Flames,6,1/7,18,0.46399999999999997,17,4,22,Oilers,14,2/3
VAN,CGY,2,6,0.5760000000000001,17,20,Flames,7,0/7,18,0.424,16,5,23,Canucks,19,0/1
CGY,VAN,4,23,0.455,16,23,Canucks,12,2/6,13,0.545,18,7,20,Flames,12,3/6
NSH,CGY,3,14,0.444,5,20,Flames,8,2/4,13,0.556,13,0,18,Predators,8,0/4
STL,CGY,3,15,0.5379999999999999,13,20,Flames,14,0/4,11,0.462,16,5,19,Blues,10,2/6
COL,CGY,3,9,0.564,14,20,Flames,8,0/4,19,0.436,17,2,21,Avalanche,10,0/3
CGY,BOS,2,19,0.542,16,6,Bruins,8,0/4,15,0.45799999999999996,16,5,20,Flames,8,0/4
CGY,NSH,5,20,0.5379999999999999,12,18,Predators,4,1/3,10,0.462,15,3,20,Flames,6,1/2
NYR,CGY,4,20,0.608,23,20,Flames,6,0/2,16,0.392,31,1,3,Rangers,6,1/2
MTL,CGY,2,14,0.46399999999999997,23,20,Flames,10,0/5,20,0.536,35,3,8,Canadiens,10,2/5
CGY,PIT,9,23,0.433,11,5,Penguins,6,2/2,13,0.5670000000000001,16,1,20,Flames,4,0/3
CGY,WSH,4,13,0.45,21,15,Capitals,8,1/3,13,0.55,22,3,20,Flames,6,1/4
TOR,CGY,3,13,0.508,22,20,Flames,8,1/3,10,0.49200000000000005,31,1,10,Maple Leafs,8,1/3
BUF,CGY,2,11,0.43799999999999994,11,20,Flames,4,0/5,13,0.563,24,1,7,Sabres,10,0/2
CGY,COL,5,15,0.508,32,21,Avalanche,24,1/2,5,0.49200000000000005,12,6,20,Flames,21,1/4
CGY,CHI,3,14,0.43799999999999994,6,16,Blackhawks,17,1/4,8,0.563,5,5,20,Flames,8,1/3
ANA,CGY,2,5,0.5770000000000001,6,20,Flames,6,1/3,11,0.423,13,3,24,Ducks,6,0/3
LAK,CGY,1,15,0.436,15,20,Flames,6,0/1,13,0.564,17,0,26,Kings,2,0/3
SJS,CGY,1,16,0.51,18,20,Flames,8,0/0,14,0.49,21,3,28,Sharks,2,0/3
CGY,MTL,3,15,0.49200000000000005,22,8,Canadiens,2,0/2,20,0.508,21,2,20,Flames,4,1/1
CGY,EDM,2,19,0.43700000000000006,21,22,Oilers,41,1/3,10,0.563,18,4,20,Flames,15,1/6
CGY,VGK,2,13,0.5,33,54,Golden Knights,12,1/2,12,0.5,12,7,20,Flames,4,3/6
CGY,WPG,3,8,0.46399999999999997,11,52,Jets,4,1/4,15,0.536,13,6,20,Flames,12,0/0
VGK,CGY,0,12,0.5489999999999999,20,20,Flames,8,0/1,19,0.451,36,2,54,Golden Knights,4,1/3
ARI,CGY,6,15,0.556,10,20,Flames,8,1/5,14,0.444,31,1,53,Coyotes,10,0/4
CGY,DAL,4,26,0.516,10,25,Stars,10,1/2,6,0.484,6,3,20,Flames,4,1/5
CGY,LAK,1,9,0.47700000000000004,21,26,Kings,6,0/1,11,0.523,16,4,20,Flames,2,1/3
CHI,CGY,3,19,0.429,21,20,Flames,15,2/6,10,0.5710000000000001,17,2,16,Blackhawks,28,1/4
CBJ,CGY,9,10,0.563,11,20,Flames,6,3/4,9,0.43799999999999994,10,6,29,Blue Jackets,8,1/3
CGY,MIN,0,21,0.47200000000000003,17,30,Wild,6,0/5,11,0.528,13,2,20,Flames,27,0/2
CGY,NSH,2,16,0.488,21,18,Predators,6,0/1,10,0.512,12,5,20,Flames,4,0/2
EDM,CGY,0,14,0.653,28,20,Flames,15,0/2,20,0.34700000000000003,32,1,22,Oilers,9,0/5
CGY,PHI,5,18,0.426,17,4,Flyers,14,1/3,12,0.574,9,6,20,Flames,8,1/6
MIN,CGY,2,11,0.47,13,20,Flames,23,0/3,14,0.53,10,1,30,Wild,21,0/4
STL,CGY,7,12,0.557,7,20,Flames,4,3/4,14,0.44299999999999995,16,2,19,Blues,18,0/2
DAL,CGY,0,11,0.426,14,20,Flames,4,0/4,13,0.574,21,2,25,Stars,8,0/2
CGY,TBL,5,11,0.478,13,14,Lightning,2,0/4,14,0.522,19,4,20,Flames,8,0/1
CGY,STL,3,11,0.44799999999999995,23,19,Blues,8,1/2,6,0.552,12,1,20,Flames,4,1/4
WPG,CGY,4,15,0.41100000000000003,13,20,Flames,6,0/4,14,0.589,18,1,52,Jets,10,0/2
CGY,VAN,3,14,0.35600000000000004,17,23,Canucks,10,1/4,13,0.644,14,2,20,Flames,8,0/5
CGY,SJS,5,17,0.455,18,28,Sharks,37,2/4,17,0.545,19,8,20,Flames,43,1/4
DET,CGY,5,9,0.575,6,20,Flames,2,2/5,5,0.425,18,3,17,Red Wings,10,0/1
BOS,CGY,4,13,0.604,22,20,Flames,8,0/4,16,0.396,27,6,6,Bruins,8,2/4
PHI,CGY,3,15,0.446,13,20,Flames,10,0/2,17,0.5539999999999999,24,2,4,Flyers,6,1/4
CHI,CGY,4,16,0.5,15,20,Flames,6,1/4,14,0.5,17,3,16,Blackhawks,8,1/3
CGY,COL,3,11,0.551,18,21,Avalanche,4,0/4,22,0.449,10,5,20,Flames,8,1/2
CGY,FLA,3,24,0.456,24,13,Panthers,22,1/2,6,0.544,15,4,20,Flames,4,1/1
CGY,ARI,1,7,0.429,18,53,Coyotes,2,1/3,12,0.5710000000000001,19,7,20,Flames,6,0/1
CGY,BUF,4,14,0.581,16,7,Sabres,6,0/3,12,0.419,14,3,20,Flames,6,2/3
CGY,DET,4,11,0.43700000000000006,19,17,Red Wings,6,1/5,14,0.563,6,6,20,Flames,10,3/3
EDM,CGY,5,15,0.557,9,20,Flames,18,2/7,14,0.44299999999999995,19,2,22,Oilers,20,1/6
CGY,CAR,2,12,0.4,14,12,Hurricanes,8,0/2,18,0.6,11,3,20,Flames,4,0/4
WSH,CGY,3,10,0.5539999999999999,14,20,Flames,13,0/2,27,0.446,34,4,15,Capitals,11,1/4
CAR,CGY,4,21,0.54,21,20,Flames,8,1/5,8,0.46,19,3,12,Hurricanes,10,0/4
CGY,SJS,5,20,0.426,13,28,Sharks,14,1/3,12,0.574,17,2,20,Flames,6,1/7
VAN,CGY,3,17,0.523,9,20,Flames,12,0/5,16,0.47700000000000004,33,4,23,Canucks,12,0/5
TBL,CGY,3,14,0.475,17,20,Flames,8,2/4,16,0.525,20,6,14,Lightning,8,2/4
FLA,CGY,2,12,0.41,20,20,Flames,2,0/4,18,0.59,24,3,13,Panthers,8,0/1
PIT,CGY,5,16,0.418,36,20,Flames,20,1/3,10,0.5820000000000001,32,4,5,Penguins,18,3/4
CGY,ARI,2,20,0.439,11,53,Coyotes,4,1/3,11,0.561,8,5,20,Flames,6,0/2
CGY,NYI,2,20,0.435,31,2,Islanders,10,0/2,19,0.565,13,4,20,Flames,8,1/3
CGY,ANA,1,17,0.489,13,24,Ducks,2,0/2,14,0.511,11,2,20,Flames,4,0/1
OTT,CGY,2,9,0.431,17,20,Flames,6,0/3,24,0.569,25,1,9,Senators,6,0/3
NYI,CGY,3,11,0.62,18,20,Flames,8,1/5,18,0.38,18,1,2,Islanders,10,0/4
NJD,CGY,2,10,0.382,31,20,Flames,6,1/4,11,0.618,42,1,1,Devils,10,0/2
CGY,MIN,4,24,0.469,16,30,Wild,6,0/2,9,0.531,13,2,20,Flames,12,0/3
CGY,TOR,6,20,0.516,13,10,Maple Leafs,2,1/2,16,0.484,15,2,20,Flames,4,1/1
VGK,CGY,1,18,0.532,26,20,Flames,12,0/3,17,0.46799999999999997,26,2,54,Golden Knights,10,1/4
ARI,CGY,0,16,0.489,15,20,Flames,6,0/2,27,0.511,39,2,53,Coyotes,6,0/2
CGY,VGK,3,8,0.484,19,54,Golden Knights,6,0/2,13,0.516,13,6,20,Flames,6,1/2
CGY,NJD,4,19,0.424,27,1,Devils,2,0/2,7,0.5760000000000001,14,9,20,Flames,4,0/1
CGY,NYR,1,14,0.519,15,3,Rangers,10,0/3,5,0.48100000000000004,15,5,20,Flames,10,0/3
WPG,CGY,1,7,0.5489999999999999,15,20,Flames,8,0/3,17,0.451,23,2,52,Jets,6,1/4
CGY,CBJ,2,10,0.391,24,29,Blue Jackets,7,1/3,14,0.609,14,4,20,Flames,11,0/1
CGY,OTT,1,15,0.457,18,9,Senators,4,0/3,13,0.5429999999999999,14,5,20,Flames,6,0/2
VAN,CGY,3,10,0.36200000000000004,15,20,Flames,8,0/4,13,0.638,24,1,23,Canucks,12,1/2
CGY,LAK,3,22,0.45899999999999996,22,26,Kings,17,0/3,11,0.541,11,0,20,Flames,15,0/4
CGY,DAL,2,27,0.484,16,25,Stars,4,2/2,13,0.516,19,1,20,Flames,4,0/2
CGY,ANA,1,18,0.442,18,24,Ducks,6,0/1,12,0.5579999999999999,14,6,20,Flames,2,1/3
SJS,CGY,5,20,0.654,20,20,Flames,4,0/6,11,0.34600000000000003,22,3,28,Sharks,22,0/2
LAK,CGY,7,12,0.536,15,20,Flames,6,0/1,12,0.46399999999999997,15,2,26,Kings,2,0/3
ANA,CGY,1,10,0.392,12,20,Flames,4,0/5,9,0.608,17,3,24,Ducks,10,0/2
CGY,EDM,3,12,0.259,14,22,Oilers,6,1/1,8,0.741,9,1,20,Flames,2,0/3
CGY,COL,0,18,0.353,33,21,Avalanche,12,0/4,19,0.647,36,4,20,Flames,10,2/5
CGY,COL,3,12,0.35200000000000004,20,21,Avalanche,14,0/4,29,0.648,24,2,20,Flames,12,1/5
COL,CGY,2,15,0.607,43,20,Flames,50,1/6,20,0.39299999999999996,36,6,21,Avalanche,36,2/8
COL,CGY,2,19,0.486,34,20,Flames,10,1/3,16,0.514,46,3,21,Avalanche,8,1/4
CGY,COL,5,17,0.414,11,21,Avalanche,6,2/5,10,0.586,44,1,20,Flames,10,0/3
