abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TBL,CAR,4,7,0.45299999999999996,17,12,Hurricanes,10,2/6,8,0.547,15,1,14,Lightning,12,1/5
CAR,TBL,1,10,0.424,44,14,Lightning,14,0/5,7,0.5760000000000001,28,6,12,Hurricanes,12,3/6
CAR,WSH,1,16,0.489,20,15,Capitals,10,0/4,9,0.511,35,5,12,Hurricanes,8,2/5
NSH,CAR,4,17,0.45799999999999996,21,12,Hurricanes,6,1/6,10,0.542,20,1,18,Predators,14,0/3
WSH,CAR,5,15,0.574,17,12,Hurricanes,14,2/3,8,0.426,17,4,15,Capitals,8,1/6
CAR,NSH,5,6,0.40700000000000003,23,18,Predators,14,2/8,14,0.593,24,4,12,Hurricanes,18,1/6
CAR,NYI,2,22,0.4,32,2,Islanders,6,1/3,8,0.6,29,1,12,Hurricanes,6,0/3
CBJ,CAR,3,10,0.46,17,12,Hurricanes,6,0/1,14,0.54,10,1,29,Blue Jackets,2,0/3
CAR,NYR,5,13,0.415,27,3,Rangers,12,1/4,16,0.585,30,8,12,Hurricanes,10,1/4
CAR,VAN,3,16,0.5429999999999999,23,23,Canucks,6,2/4,11,0.457,33,5,12,Hurricanes,10,0/2
MIN,CAR,5,8,0.455,12,12,Hurricanes,14,1/9,18,0.545,19,4,30,Wild,22,2/5
WPG,CAR,1,12,0.41200000000000003,21,12,Hurricanes,4,0/2,21,0.588,22,3,52,Jets,4,1/2
TBL,CAR,2,13,0.507,16,12,Hurricanes,2,0/4,20,0.493,16,4,14,Lightning,8,1/1
CAR,COL,3,23,0.359,30,21,Avalanche,17,1/4,13,0.6409999999999999,34,1,12,Hurricanes,15,0/5
DET,CAR,3,12,0.446,15,12,Hurricanes,8,2/3,18,0.5539999999999999,18,1,17,Red Wings,6,0/4
CAR,SJS,3,16,0.386,22,28,Sharks,4,2/3,12,0.614,30,4,12,Hurricanes,6,0/2
CAR,NYI,2,20,0.4,31,2,Islanders,6,1/4,12,0.6,36,1,12,Hurricanes,8,0/3
CAR,BOS,3,12,0.439,23,6,Bruins,8,2/5,17,0.561,28,2,12,Hurricanes,10,2/4
ARI,CAR,3,8,0.5539999999999999,16,12,Hurricanes,6,0/6,26,0.446,25,4,53,Coyotes,12,1/3
VGK,CAR,0,15,0.55,36,12,Hurricanes,8,0/3,28,0.45,25,3,54,Golden Knights,6,0/4
STL,CAR,1,12,0.40399999999999997,16,12,Hurricanes,8,1/5,17,0.596,16,4,19,Blues,10,1/4
CHI,CAR,4,16,0.489,24,12,Hurricanes,4,1/2,13,0.511,18,3,16,Blackhawks,4,0/2
CAR,DET,4,20,0.551,28,17,Red Wings,10,0/2,12,0.449,35,3,12,Hurricanes,4,1/5
CAR,CHI,2,13,0.40399999999999997,27,16,Blackhawks,6,0/0,12,0.596,32,3,12,Hurricanes,2,2/2
CAR,CBJ,4,19,0.462,30,29,Blue Jackets,6,1/5,9,0.5379999999999999,34,1,12,Hurricanes,10,0/3
CAR,NJD,1,20,0.49200000000000005,25,1,Devils,6,0/3,14,0.508,37,2,12,Hurricanes,6,0/3
CAR,TOR,2,12,0.563,22,10,Maple Leafs,4,0/2,15,0.43799999999999994,32,5,12,Hurricanes,6,1/1
CAR,FLA,1,16,0.48200000000000004,31,13,Panthers,8,0/1,16,0.518,31,4,12,Hurricanes,4,1/3
NYI,CAR,1,7,0.556,31,12,Hurricanes,7,1/3,20,0.444,26,4,2,Islanders,11,0/1
MTL,CAR,2,26,0.5,30,12,Hurricanes,6,0/1,15,0.5,31,1,8,Canadiens,2,0/3
CAR,ANA,2,17,0.441,27,24,Ducks,12,0/3,4,0.5589999999999999,42,1,12,Hurricanes,6,0/6
LAK,CAR,0,10,0.5,17,12,Hurricanes,8,0/3,20,0.5,21,2,26,Kings,6,0/4
SJS,CAR,1,10,0.537,18,12,Hurricanes,6,1/3,20,0.46299999999999997,17,5,28,Sharks,8,1/2
ANA,CAR,4,12,0.40700000000000003,28,12,Hurricanes,19,0/4,12,0.593,36,1,24,Ducks,27,0/5
CAR,TOR,4,19,0.426,16,10,Maple Leafs,10,0/4,17,0.574,24,1,12,Hurricanes,8,1/5
MTL,CAR,4,17,0.46299999999999997,23,12,Hurricanes,14,0/1,11,0.537,28,6,8,Canadiens,6,0/6
