abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CGY,EDM,7,13.0,0.444,13.0,22,Oilers,34.0,1/5,17.0,0.556,19.0,4,20,Flames,40.0,0/2
VAN,EDM,4,10.0,0.452,21.0,22,Oilers,14.0,1/3,4.0,0.5479999999999999,30.0,2,23,Canucks,6.0,1/7
EDM,WPG,3,14.0,0.509,25.0,52,Jets,10.0,1/5,10.0,0.491,27.0,7,22,Oilers,10.0,2/5
WPG,EDM,3,12.0,0.361,16.0,22,Oilers,8.0,1/3,15.0,0.639,13.0,5,52,Jets,6.0,2/4
EDM,VAN,0,14.0,0.474,25.0,23,Canucks,8.0,0/3,22.0,0.526,19.0,6,22,Oilers,6.0,2/4
EDM,ARI,2,4.0,0.537,22.0,53,Coyotes,4.0,1/2,10.0,0.46299999999999997,27.0,3,22,Oilers,4.0,0/2
EDM,CGY,3,7.0,0.536,23.0,20,Flames,6.0,1/7,18.0,0.46399999999999997,17.0,4,22,Oilers,14.0,2/3
KLH,EDM,4,0.0,0.0,0.0,22,Oilers,0.0,0,0.0,0.0,0.0,3,7202,Haie,0.0,0
NJD,EDM,2,8.0,0.508,28.0,22,Oilers,4.0,1/4,8.0,0.49200000000000005,24.0,5,1,Devils,8.0,1/2
BOS,EDM,1,8.0,0.377,27.0,22,Oilers,15.0,0/2,11.0,0.623,21.0,4,6,Bruins,11.0,2/4
NYR,EDM,2,14.0,0.473,31.0,22,Oilers,4.0,1/4,15.0,0.527,23.0,1,3,Rangers,8.0,0/2
WPG,EDM,5,15.0,0.621,12.0,22,Oilers,6.0,2/2,12.0,0.379,17.0,4,52,Jets,4.0,1/3
EDM,BOS,2,14.0,0.48100000000000004,29.0,6,Bruins,8.0,0/3,17.0,0.519,35.0,3,22,Oilers,10.0,1/2
EDM,NSH,3,12.0,0.508,10.0,18,Predators,8.0,0/4,18.0,0.49200000000000005,20.0,0,22,Oilers,8.0,0/4
EDM,PIT,6,7.0,0.53,30.0,5,Penguins,15.0,1/3,23.0,0.47,28.0,5,22,Oilers,11.0,2/5
