abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
FLA,NSH,5,12,0.509,22,18,Predators,12,1/4,9,0.491,18,0,13,Panthers,10,0/5
FLA,NSH,5,14,0.5,18,18,Predators,8,1/5,10,0.5,14,3,13,Panthers,10,1/4
MTL,FLA,5,16,0.556,20,13,Panthers,21,1/6,15,0.444,32,2,8,Canadiens,29,1/6
DAL,FLA,4,0,0.0,0,13,Panthers,8,1/2,0,0.0,0,3,25,Stars,4,1/4
TBL,FLA,3,14,0.48100000000000004,18,13,Panthers,10,0/4,13,0.519,18,2,14,Lightning,10,1/4
TBL,FLA,2,0,0.0,0,13,Panthers,8,1/2,0,0.0,0,6,14,Lightning,8,1/2
FLA,TBL,3,15,0.433,13,14,Lightning,4,0/1,17,0.5670000000000001,10,2,13,Panthers,2,1/2
TBL,FLA,1,13,0.526,22,13,Panthers,6,0/5,9,0.474,37,2,14,Lightning,10,0/3
FLA,CBJ,5,5,0.409,7,29,Blue Jackets,4,2/3,14,0.591,18,4,13,Panthers,6,0/2
FLA,VAN,3,23,0.578,15,23,Canucks,10,1/4,6,0.42200000000000004,18,2,13,Panthers,8,0/5
PHI,FLA,5,14,0.5379999999999999,29,13,Panthers,16,1/3,13,0.462,23,6,4,Flyers,18,0/2
WSH,FLA,6,20,0.508,20,13,Panthers,8,2/7,12,0.49200000000000005,28,5,15,Capitals,16,1/3
FLA,DET,4,12,0.5379999999999999,15,17,Red Wings,10,2/3,10,0.462,17,3,13,Panthers,6,0/5
NYR,FLA,2,17,0.466,28,13,Panthers,17,1/4,18,0.534,28,5,3,Rangers,23,2/6
NYI,FLA,3,12,0.5,23,13,Panthers,8,2/5,13,0.5,20,2,2,Islanders,12,1/3
NJD,FLA,2,8,0.57,20,13,Panthers,12,0/4,30,0.43,15,3,1,Devils,12,0/4
FLA,WPG,4,26,0.5760000000000001,17,52,Jets,12,2/6,13,0.424,10,2,13,Panthers,14,1/5
WPG,FLA,4,21,0.485,18,13,Panthers,19,3/5,13,0.515,14,2,52,Jets,23,1/1
FLA,EDM,1,10,0.373,23,22,Oilers,13,0/3,12,0.627,12,4,13,Panthers,11,1/4
FLA,NYI,2,9,0.517,16,2,Islanders,12,0/4,11,0.483,7,4,13,Panthers,10,1/5
FLA,OTT,1,11,0.414,12,9,Senators,6,1/5,13,0.586,20,5,13,Panthers,10,1/3
PHI,FLA,2,21,0.317,25,13,Panthers,2,1/3,15,0.6829999999999999,30,1,4,Flyers,6,0/1
CBJ,FLA,3,6,0.5479999999999999,12,13,Panthers,2,2/4,15,0.452,15,7,29,Blue Jackets,8,0/1
NYR,FLA,2,13,0.649,21,13,Panthers,6,1/3,21,0.35100000000000003,30,4,3,Rangers,8,1/2
OTT,FLA,7,20,0.44299999999999995,26,13,Panthers,12,1/2,11,0.557,17,5,9,Senators,6,1/5
TBL,FLA,3,17,0.397,18,13,Panthers,8,2/4,7,0.603,15,7,14,Lightning,8,1/4
CAR,FLA,1,16,0.48200000000000004,31,13,Panthers,8,0/1,16,0.518,31,4,12,Hurricanes,4,1/3
FLA,CHI,5,7,0.484,13,16,Blackhawks,11,0/2,13,0.516,25,4,13,Panthers,9,1/3
FLA,NJD,3,12,0.479,17,1,Devils,8,0/2,14,0.521,24,4,13,Panthers,4,1/4
FLA,ANA,3,10,0.585,16,24,Ducks,6,0/2,6,0.415,15,2,13,Panthers,4,1/3
FLA,BUF,2,21,0.424,26,7,Sabres,8,1/4,10,0.5760000000000001,37,3,13,Panthers,8,2/4
FLA,TBL,5,18,0.579,24,14,Lightning,10,2/3,15,0.42100000000000004,28,4,13,Panthers,8,1/4
FLA,BOS,0,8,0.557,26,6,Bruins,14,0/4,16,0.44299999999999995,22,5,13,Panthers,10,2/6
FLA,COL,5,15,0.431,14,21,Avalanche,10,0/4,14,0.569,23,2,13,Panthers,8,1/5
FLA,NYR,5,16,0.517,26,3,Rangers,8,0/1,15,0.483,26,4,13,Panthers,2,2/4
STL,FLA,3,14,0.5,12,13,Panthers,6,0/2,19,0.5,17,4,19,Blues,4,0/3
MIN,FLA,1,12,0.522,20,13,Panthers,2,0/2,21,0.478,15,5,30,Wild,6,0/0
FLA,TOR,3,12,0.508,12,10,Maple Leafs,10,0/4,22,0.49200000000000005,24,4,13,Panthers,20,2/4
BUF,FLA,5,11,0.442,20,13,Panthers,11,1/3,5,0.5579999999999999,11,2,7,Sabres,11,0/3
TOR,FLA,1,22,0.491,30,13,Panthers,6,1/3,13,0.509,9,6,10,Maple Leafs,6,3/3
DET,FLA,2,15,0.525,21,13,Panthers,10,1/2,8,0.475,11,1,17,Red Wings,6,0/4
CHI,FLA,6,14,0.45799999999999996,25,13,Panthers,6,1/3,11,0.542,21,3,16,Blackhawks,6,1/3
