abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WPG,MIN,1,10,0.379,13,30,Wild,15,0/3,11,0.621,19,2,52,Jets,11,0/5
MIN,STL,3,0,0.0,0,19,Blues,6,1/2,0,0.0,0,2,30,Wild,6,0/2
MIN,DAL,3,9,0.45299999999999996,19,25,Stars,6,0/3,17,0.547,19,1,30,Wild,6,0/3
MIN,COL,0,17,0.46799999999999997,14,21,Avalanche,12,0/3,8,0.532,8,7,30,Wild,6,1/6
DAL,MIN,3,12,0.455,23,30,Wild,6,2/4,16,0.545,14,5,25,Stars,8,1/3
MIN,WPG,3,14,0.5660000000000001,18,52,Jets,6,1/2,9,0.434,15,4,30,Wild,4,1/3
COL,MIN,3,13,0.469,15,30,Wild,10,0/2,11,0.531,12,4,21,Avalanche,4,2/5
COL,MIN,1,13,0.5589999999999999,26,30,Wild,10,0/3,17,0.441,20,4,21,Avalanche,10,1/3
MIN,VGK,2,4,0.5,19,54,Golden Knights,9,0/3,18,0.5,18,1,30,Wild,11,0/2
MIN,CHI,3,12,0.527,8,16,Blackhawks,4,1/5,9,0.473,18,4,30,Wild,10,0/2
MIN,CAR,5,8,0.455,12,12,Hurricanes,14,1/9,18,0.545,19,4,30,Wild,22,2/5
NSH,MIN,2,17,0.516,20,30,Wild,11,1/4,12,0.484,9,4,18,Predators,13,1/3
MIN,ARI,1,10,0.606,12,53,Coyotes,6,1/3,18,0.39399999999999996,15,2,30,Wild,8,0/2
DAL,MIN,3,21,0.488,16,30,Wild,6,0/2,19,0.512,16,1,25,Stars,4,0/3
MIN,TBL,4,14,0.451,7,14,Lightning,6,1/5,10,0.5489999999999999,24,5,30,Wild,12,0/2
MIN,LAK,1,13,0.467,22,26,Kings,15,0/4,15,0.5329999999999999,22,4,30,Wild,15,0/4
MIN,COL,2,15,0.44299999999999995,22,21,Avalanche,10,0/6,18,0.557,14,3,30,Wild,12,1/5
VAN,MIN,2,14,0.523,21,30,Wild,10,1/5,15,0.47700000000000004,17,5,23,Canucks,12,1/4
EDM,MIN,4,18,0.469,20,30,Wild,10,3/3,16,0.531,30,3,22,Oilers,6,0/5
STL,MIN,5,15,0.5,17,30,Wild,4,0/4,13,0.5,22,1,19,Blues,10,1/1
SJS,MIN,3,15,0.654,27,30,Wild,0,1/3,21,0.34600000000000003,23,4,28,Sharks,6,0/0
LAK,MIN,3,18,0.467,18,30,Wild,6,1/3,14,0.5329999999999999,18,1,26,Kings,6,0/3
ANA,MIN,5,11,0.569,15,30,Wild,9,0/4,15,0.431,35,1,24,Ducks,13,1/2
STL,MIN,3,23,0.47,24,30,Wild,6,0/2,8,0.53,17,2,19,Blues,6,0/2
MIN,WSH,5,20,0.508,9,15,Capitals,19,0/2,9,0.49200000000000005,21,2,30,Wild,11,1/6
MIN,VAN,2,11,0.42,14,23,Canucks,4,1/6,8,0.58,15,6,30,Wild,12,2/2
MIN,BUF,3,12,0.4,17,7,Sabres,6,0/1,12,0.6,20,2,30,Wild,2,1/3
CHI,MIN,1,9,0.552,16,30,Wild,6,1/3,14,0.44799999999999995,16,3,16,Blackhawks,6,1/3
MIN,OTT,4,14,0.5710000000000001,9,9,Senators,8,0/4,25,0.429,14,6,30,Wild,10,2/4
MIN,WPG,2,15,0.433,20,52,Jets,16,1/4,17,0.5670000000000001,17,4,30,Wild,12,0/6
MIN,ARI,4,14,0.42100000000000004,24,53,Coyotes,4,0/1,12,0.579,16,3,30,Wild,2,1/2
CBJ,MIN,2,15,0.5,11,30,Wild,4,0/1,12,0.5,13,4,29,Blue Jackets,2,1/2
MIN,TOR,5,16,0.532,8,10,Maple Leafs,6,1/1,12,0.46799999999999997,20,3,30,Wild,2,0/3
VAN,MIN,3,17,0.556,21,30,Wild,6,3/3,14,0.444,27,2,23,Canucks,6,0/3
