abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
MTL,NJD,1,16,0.49,32,1,Devils,11,0/4,13,0.51,31,3,8,Canadiens,13,0/3
MTL,FLA,5,16,0.556,20,13,Panthers,21,1/6,15,0.444,32,2,8,Canadiens,29,1/6
MTL,WSH,2,0,0.0,0,15,Capitals,12,2/4,0,0.0,0,5,8,Canadiens,8,1/6
MTL,OTT,2,17,0.455,18,9,Senators,8,0/3,11,0.545,24,3,8,Canadiens,6,0/4
TOR,MTL,5,13,0.375,35,8,Canadiens,10,0/4,11,0.625,31,1,10,Maple Leafs,10,0/4
MTL,TOR,5,13,0.545,16,10,Maple Leafs,10,2/6,15,0.455,23,3,8,Canadiens,14,2/4
OTT,MTL,0,10,0.48200000000000004,35,8,Canadiens,11,0/1,16,0.518,25,3,9,Senators,7,1/3
TOR,MTL,2,16,0.413,34,8,Canadiens,6,1/4,24,0.5870000000000001,18,3,10,Maple Leafs,8,1/3
PIT,MTL,5,22,0.397,32,8,Canadiens,6,0/3,7,0.603,24,1,5,Penguins,6,0/3
MTL,LAK,3,22,0.617,24,26,Kings,8,0/3,11,0.38299999999999995,36,0,8,Canadiens,16,0/4
MTL,PIT,3,25,0.48,32,5,Penguins,12,1/2,10,0.52,26,4,8,Canadiens,4,1/6
MTL,DET,3,20,0.5710000000000001,39,17,Red Wings,17,1/2,20,0.429,18,7,8,Canadiens,11,1/5
MTL,STL,2,23,0.604,21,19,Blues,13,2/5,19,0.396,19,3,8,Canadiens,15,1/4
OTT,MTL,3,11,0.418,27,8,Canadiens,8,1/3,20,0.5820000000000001,33,4,9,Senators,6,1/4
MTL,CGY,2,14,0.46399999999999997,23,20,Flames,10,0/5,20,0.536,35,3,8,Canadiens,10,2/5
BUF,MTL,3,9,0.5,14,8,Canadiens,8,0/2,13,0.5,16,4,7,Sabres,4,2/4
BOS,MTL,3,12,0.507,28,8,Canadiens,8,0/3,8,0.493,20,0,6,Bruins,8,0/3
MTL,DAL,4,15,0.565,28,25,Stars,10,1/6,9,0.435,43,1,8,Canadiens,14,0/4
MTL,WSH,4,22,0.61,25,15,Capitals,6,0/1,18,0.39,32,6,8,Canadiens,4,0/2
MTL,TBL,4,23,0.456,32,14,Lightning,8,0/3,17,0.544,25,1,8,Canadiens,6,0/4
NYI,MTL,4,15,0.48100000000000004,29,8,Canadiens,10,1/3,23,0.519,23,3,2,Islanders,8,0/4
NYR,MTL,3,16,0.462,17,8,Canadiens,16,1/7,14,0.5379999999999999,14,5,3,Rangers,28,0/6
MTL,BUF,6,16,0.537,17,7,Sabres,10,0/3,15,0.46299999999999997,16,5,8,Canadiens,6,0/5
MTL,VGK,4,23,0.609,31,54,Golden Knights,4,2/3,11,0.391,25,5,8,Canadiens,6,0/2
EDM,MTL,2,18,0.41,28,8,Canadiens,10,0/3,14,0.59,24,6,22,Oilers,10,0/3
CGY,MTL,3,15,0.49200000000000005,22,8,Canadiens,2,0/2,20,0.508,21,2,20,Flames,4,1/1
VAN,MTL,3,16,0.435,18,8,Canadiens,8,1/3,15,0.565,22,2,23,Canucks,6,1/4
MTL,WSH,5,18,0.514,27,15,Capitals,15,1/2,15,0.486,20,4,8,Canadiens,11,1/4
NJD,MTL,2,11,0.596,19,8,Canadiens,2,0/2,11,0.40399999999999997,13,5,1,Devils,4,1/1
BUF,MTL,2,12,0.508,12,8,Canadiens,8,1/2,16,0.49200000000000005,17,3,7,Sabres,4,1/4
MTL,BOS,3,28,0.5,27,6,Bruins,14,1/6,17,0.5,51,2,8,Canadiens,16,1/5
MTL,CAR,2,26,0.5,30,12,Hurricanes,6,0/1,15,0.5,31,1,8,Canadiens,2,0/3
MTL,NYR,2,10,0.466,28,3,Rangers,6,1/2,15,0.534,36,5,8,Canadiens,6,1/2
MTL,SJS,3,22,0.396,16,28,Sharks,4,1/4,19,0.604,35,1,8,Canadiens,8,0/2
MTL,OTT,2,26,0.5379999999999999,20,9,Senators,13,0/3,10,0.462,33,5,8,Canadiens,15,0/2
OTT,MTL,5,12,0.434,37,8,Canadiens,2,0/3,16,0.5660000000000001,36,2,9,Senators,6,1/1
CHI,MTL,3,20,0.397,26,8,Canadiens,16,0/4,9,0.603,21,2,16,Blackhawks,8,1/8
MIN,MTL,1,8,0.462,19,8,Canadiens,33,0/1,17,0.5379999999999999,17,7,30,Wild,17,4/4
MTL,CAR,4,17,0.46299999999999997,23,12,Hurricanes,14,0/1,11,0.537,28,6,8,Canadiens,6,0/6
MTL,OTT,2,25,0.429,25,9,Senators,12,0/2,9,0.5710000000000001,32,5,8,Canadiens,8,0/4
MTL,BOS,4,17,0.56,32,6,Bruins,8,1/3,18,0.44,46,0,8,Canadiens,8,0/3
COL,MTL,1,7,0.45299999999999996,17,8,Canadiens,8,1/4,26,0.547,21,2,21,Avalanche,8,0/4
ARI,MTL,2,13,0.5,36,8,Canadiens,8,1/3,17,0.5,28,1,53,Coyotes,6,1/4
VGK,MTL,4,17,0.45799999999999996,25,8,Canadiens,4,0/2,22,0.542,33,3,54,Golden Knights,4,0/2
FLA,MTL,5,11,0.509,28,8,Canadiens,11,1/3,11,0.491,20,3,13,Panthers,11,1/3
TBL,MTL,5,15,0.479,17,8,Canadiens,6,1/3,14,0.521,23,6,14,Lightning,6,1/3
