abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
BUF,PIT,2,13,0.47200000000000003,16,5,Penguins,8,0/2,6,0.528,32,3,7,Sabres,4,1/4
DET,PIT,2,19,0.439,22,5,Penguins,6,0/2,9,0.561,26,3,17,Red Wings,4,0/3
PIT,CBJ,3,9,0.514,23,29,Blue Jackets,4,1/4,10,0.486,26,7,5,Penguins,8,0/2
PIT,DET,3,17,0.493,30,17,Red Wings,12,0/5,6,0.507,21,2,5,Penguins,12,0/5
PIT,BUF,1,10,0.5,22,7,Sabres,4,0/0,11,0.5,22,5,5,Penguins,0,1/2
CBJ,PIT,6,6,0.526,12,5,Penguins,12,1/3,13,0.474,9,7,29,Blue Jackets,6,1/6
PIT,WSH,6,18,0.47100000000000003,32,15,Capitals,12,0/2,12,0.529,21,7,5,Penguins,4,2/6
PIT,MTL,5,22,0.397,32,8,Canadiens,6,0/3,7,0.603,24,1,5,Penguins,6,0/3
PIT,VGK,2,10,0.467,26,54,Golden Knights,2,0/2,27,0.5329999999999999,33,4,5,Penguins,4,0/1
MTL,PIT,3,25,0.48,32,5,Penguins,12,1/2,10,0.52,26,4,8,Canadiens,4,1/6
PIT,VAN,3,17,0.389,33,23,Canucks,4,0/0,12,0.611,34,2,5,Penguins,2,0/1
TOR,PIT,3,22,0.446,30,5,Penguins,2,1/2,7,0.5539999999999999,21,0,10,Maple Leafs,4,0/1
EDM,PIT,6,7,0.53,30,5,Penguins,15,1/3,23,0.47,28,5,22,Oilers,11,2/5
CGY,PIT,9,23,0.433,11,5,Penguins,6,2/2,13,0.5670000000000001,16,1,20,Flames,4,0/3
VAN,PIT,5,10,0.54,26,5,Penguins,8,0/4,8,0.46,24,0,23,Canucks,8,0/3
PIT,NYI,6,20,0.47200000000000003,27,2,Islanders,6,1/4,10,0.528,33,3,5,Penguins,8,0/3
NYI,PIT,2,12,0.516,27,5,Penguins,6,2/4,11,0.484,27,3,2,Islanders,10,0/2
PIT,TOR,5,12,0.563,25,10,Maple Leafs,10,1/3,13,0.43799999999999994,46,0,5,Penguins,6,0/5
PIT,NJD,5,22,0.424,44,1,Devils,8,2/4,15,0.5760000000000001,49,1,5,Penguins,10,0/3
WSH,PIT,1,17,0.525,28,5,Penguins,20,1/3,21,0.475,22,2,15,Capitals,6,1/6
PIT,ARI,0,10,0.5,31,53,Coyotes,6,0/4,25,0.5,32,4,5,Penguins,10,0/2
NJD,PIT,2,8,0.507,32,5,Penguins,6,1/3,14,0.493,16,4,1,Devils,8,0/2
PIT,TBL,4,14,0.541,32,14,Lightning,12,4/7,13,0.45899999999999996,24,3,5,Penguins,18,2/4
OTT,PIT,4,6,0.45299999999999996,31,5,Penguins,8,1/4,16,0.547,16,6,9,Senators,10,0/3
PIT,BUF,5,7,0.47700000000000004,28,7,Sabres,11,0/3,15,0.523,46,4,5,Penguins,11,0/3
PIT,DAL,1,10,0.563,43,25,Stars,6,0/2,10,0.43799999999999994,36,5,5,Penguins,4,1/3
