abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TOR,OTT,1,0,0.0,0,9,Senators,4,0/2,0,0.0,0,4,10,Maple Leafs,14,1/2
OTT,TOR,4,10,0.5770000000000001,21,10,Maple Leafs,8,0/2,10,0.423,29,1,9,Senators,6,1/3
TOR,BUF,3,14,0.386,23,7,Sabres,2,0/3,15,0.614,25,5,10,Maple Leafs,6,0/1
BUF,TOR,3,14,0.418,9,10,Maple Leafs,18,1/2,14,0.5820000000000001,24,2,7,Sabres,14,1/4
TOR,MTL,5,13,0.375,35,8,Canadiens,10,0/4,11,0.625,31,1,10,Maple Leafs,10,0/4
MTL,TOR,5,13,0.545,16,10,Maple Leafs,10,2/6,15,0.455,23,3,8,Canadiens,14,2/4
TOR,DET,2,14,0.517,40,17,Red Wings,34,1/4,15,0.483,22,6,10,Maple Leafs,30,3/6
DET,TOR,1,6,0.5820000000000001,17,10,Maple Leafs,13,0/6,14,0.418,21,5,17,Red Wings,19,3/3
TOR,MTL,2,16,0.413,34,8,Canadiens,6,1/4,24,0.5870000000000001,18,3,10,Maple Leafs,8,1/3
TOR,OTT,5,27,0.493,26,9,Senators,4,0/2,8,0.507,30,3,10,Maple Leafs,4,1/2
CHI,TOR,7,29,0.5,23,10,Maple Leafs,6,1/2,14,0.5,23,6,16,Blackhawks,4,0/3
DAL,TOR,7,11,0.475,12,10,Maple Leafs,2,2/3,15,0.525,23,4,25,Stars,6,1/1
DET,TOR,5,11,0.5,17,10,Maple Leafs,13,2/4,7,0.5,23,3,17,Red Wings,15,0/3
WSH,TOR,4,19,0.469,14,10,Maple Leafs,6,1/3,18,0.531,28,2,15,Capitals,6,1/3
TOR,LAK,1,21,0.517,29,26,Kings,4,0/3,21,0.483,26,4,10,Maple Leafs,6,1/2
TOR,PIT,3,22,0.446,30,5,Penguins,2,1/2,7,0.5539999999999999,21,0,10,Maple Leafs,4,0/1
TOR,STL,4,23,0.5329999999999999,33,19,Blues,8,0/4,14,0.467,22,1,10,Maple Leafs,8,0/4
WPG,TOR,4,16,0.45299999999999996,8,10,Maple Leafs,6,0/1,16,0.547,21,2,52,Jets,2,1/3
TOR,WPG,2,16,0.525,27,52,Jets,8,1/2,8,0.475,20,3,10,Maple Leafs,6,0/3
TOR,CGY,3,13,0.508,22,20,Flames,8,1/3,10,0.49200000000000005,31,1,10,Maple Leafs,8,1/3
TOR,DAL,2,13,0.63,34,25,Stars,10,0/2,9,0.37,18,1,10,Maple Leafs,4,1/5
PIT,TOR,5,12,0.563,25,10,Maple Leafs,10,1/3,13,0.43799999999999994,46,0,5,Penguins,6,0/5
TOR,VGK,1,11,0.39,23,54,Golden Knights,2,0/3,20,0.61,25,3,10,Maple Leafs,6,0/1
TOR,NJD,1,16,0.397,39,1,Devils,8,0/3,16,0.603,23,6,10,Maple Leafs,6,0/4
BOS,TOR,1,12,0.47100000000000003,20,10,Maple Leafs,8,0/3,12,0.529,22,5,6,Bruins,6,2/4
LAK,TOR,5,15,0.48200000000000004,8,10,Maple Leafs,4,3/6,15,0.518,12,1,26,Kings,12,0/2
SJS,TOR,5,10,0.621,19,10,Maple Leafs,12,0/3,20,0.379,32,3,28,Sharks,12,1/3
ANA,TOR,2,18,0.475,11,10,Maple Leafs,2,0/2,19,0.525,16,1,24,Ducks,4,0/1
TOR,CBJ,2,15,0.415,24,29,Blue Jackets,0,0/0,8,0.585,17,4,10,Maple Leafs,0,0/0
CAR,TOR,2,12,0.563,22,10,Maple Leafs,4,0/2,15,0.43799999999999994,32,5,12,Hurricanes,6,1/1
CBJ,TOR,2,8,0.462,13,10,Maple Leafs,4,0/3,15,0.5379999999999999,21,4,29,Blue Jackets,6,0/2
TOR,PHI,0,17,0.5870000000000001,27,4,Flyers,0,0/0,10,0.413,4,6,10,Maple Leafs,0,0/0
