abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NJD,BOS,3,14,0.5329999999999999,17,6,Bruins,8,0/4,4,0.467,12,4,1,Devils,10,1/3
MTL,NJD,2,14,0.0,30,1,Devils,4,1/6,14,0.0,28,4,8,Canadiens,12,0/2
NYR,NJD,4,15,0.516,25,1,Devils,18,0/1,9,0.484,27,3,3,Rangers,12,1/4
NJD,NYR,2,13,0.431,27,3,Rangers,19,1/3,8,0.569,17,4,1,Devils,11,1/7
NJD,NYI,3,9,0.439,18,2,Islanders,10,0/2,7,0.561,18,4,1,Devils,6,2/4
BOS,NJD,0,8,0.5539999999999999,26,1,Devils,5,0/4,12,0.446,22,2,6,Bruins,13,0/0
CBJ,NJD,2,16,0.40700000000000003,13,1,Devils,8,1/3,8,0.593,18,0,29,Blue Jackets,6,0/4
NJD,WPG,5,6,0.491,13,52,Jets,4,0/2,8,0.509,21,4,1,Devils,4,0/2
BUF,NJD,2,11,0.51,11,1,Devils,20,0/2,10,0.49,14,7,7,Sabres,16,3/4
PHI,NJD,0,16,0.414,24,1,Devils,8,0/5,10,0.586,19,4,4,Flyers,10,2/4
NJD,EDM,4,14,0.47200000000000003,26,22,Oilers,4,2/3,12,0.528,31,3,1,Devils,6,0/2
BOS,NJD,0,11,0.46,11,1,Devils,6,0/4,13,0.54,23,3,6,Bruins,8,1/3
NJD,FLA,6,10,0.48100000000000004,30,13,Panthers,6,1/5,12,0.519,25,4,1,Devils,10,0/3
NJD,NYR,2,9,0.561,11,3,Rangers,18,0/6,6,0.439,17,5,1,Devils,16,1/7
NJD,VAN,0,12,0.662,13,23,Canucks,17,0/6,23,0.33799999999999997,12,1,1,Devils,23,1/4
NJD,ARI,5,12,0.47,23,53,Coyotes,10,0/3,8,0.53,14,3,1,Devils,6,1/5
NJD,TBL,7,10,0.40700000000000003,16,14,Lightning,10,1/1,12,0.593,19,6,1,Devils,2,1/5
NJD,PHI,4,13,0.425,27,4,Flyers,13,0/3,9,0.575,29,3,1,Devils,21,2/4
CAR,NJD,5,13,0.556,20,1,Devils,12,1/4,10,0.444,9,3,12,Hurricanes,12,1/4
WPG,NJD,2,13,0.33899999999999997,9,1,Devils,2,0/3,17,0.6609999999999999,29,1,52,Jets,6,0/1
