abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
PHI,NYI,3,6,0.583,6,2,Islanders,13,0/5,6,0.41700000000000004,4,1,4,Flyers,15,0/4
NYI,PHI,2,10,0.46,28,4,Flyers,11,0/4,14,0.54,41,3,2,Islanders,25,0/2
DET,NYI,4,11,0.5,24,2,Islanders,6,1/3,14,0.5,21,3,17,Red Wings,6,1/3
NJD,NYI,3,9,0.439,18,2,Islanders,10,0/2,7,0.561,18,4,1,Devils,6,2/4
NYI,DET,2,27,0.47700000000000004,35,17,Red Wings,18,1/1,15,0.523,25,3,2,Islanders,12,1/4
NYR,NYI,1,6,0.368,30,2,Islanders,6,0/4,10,0.632,18,3,3,Rangers,8,0/3
NYI,NYR,2,0,0.0,0,3,Rangers,29,0/7,0,0.0,0,4,2,Islanders,31,2/6
NYI,WSH,2,11,0.52,21,15,Capitals,2,1/2,20,0.48,29,1,2,Islanders,4,0/1
NYI,WPG,1,8,0.5,25,52,Jets,2,0/2,19,0.5,24,4,2,Islanders,4,1/1
NYI,EDM,5,17,0.42,12,22,Oilers,4,2/5,16,0.58,19,2,2,Islanders,10,0/2
CAR,NYI,2,15,0.515,20,2,Islanders,6,2/5,21,0.485,17,5,12,Hurricanes,10,0/2
NYI,FLA,2,16,0.5329999999999999,28,13,Panthers,7,0/3,20,0.467,24,3,2,Islanders,11,0/1
NYI,STL,2,22,0.614,22,19,Blues,2,1/2,18,0.386,33,3,2,Islanders,4,0/1
WPG,NYI,3,15,0.397,23,2,Islanders,4,1/1,6,0.603,23,1,52,Jets,2,1/2
CBJ,NYI,3,33,0.36700000000000005,30,2,Islanders,2,0/0,9,0.633,14,2,29,Blue Jackets,0,0/1
NYI,ARI,2,14,0.396,18,53,Coyotes,2,0/3,16,0.604,32,4,2,Islanders,6,0/1
OTT,NYI,4,19,0.386,27,2,Islanders,31,1/3,10,0.614,26,2,9,Senators,25,1/6
NYI,PHI,3,8,0.545,14,4,Flyers,11,0/3,23,0.455,34,5,2,Islanders,13,0/2
NYI,TBL,2,12,0.5870000000000001,23,14,Lightning,11,0/3,21,0.413,36,5,2,Islanders,11,0/3
BUF,NYI,1,14,0.5,19,2,Islanders,6,0/1,9,0.5,12,0,7,Sabres,2,0/3
NYI,OTT,1,16,0.413,27,9,Senators,4,0/4,10,0.5870000000000001,27,4,2,Islanders,18,0/2
NYI,PIT,4,12,0.489,19,5,Penguins,2,0/2,16,0.511,26,3,2,Islanders,4,0/1
NYI,FLA,1,15,0.429,6,13,Panthers,6,1/4,20,0.5710000000000001,20,2,2,Islanders,8,0/3
NYI,TOR,4,8,0.455,22,10,Maple Leafs,6,0/2,22,0.545,40,5,2,Islanders,4,2/3
PHI,NYI,4,13,0.531,22,2,Islanders,6,1/3,20,0.469,35,3,4,Flyers,6,1/3
PIT,NYI,5,20,0.5489999999999999,62,2,Islanders,8,0/3,12,0.451,35,4,5,Penguins,6,2/4
NYI,PIT,3,11,0.452,28,5,Penguins,16,0/3,13,0.5479999999999999,39,4,2,Islanders,8,2/7
SJS,NYI,1,14,0.467,31,2,Islanders,7,0/6,18,0.5329999999999999,22,2,28,Sharks,17,0/1
ANA,NYI,0,10,0.49,30,2,Islanders,9,0/2,20,0.51,26,3,24,Ducks,9,0/2
LAK,NYI,1,13,0.509,29,2,Islanders,10,0/3,16,0.491,11,4,26,Kings,8,1/4
NYI,CBJ,0,8,0.568,17,29,Blue Jackets,0,0/1,14,0.43200000000000005,37,2,2,Islanders,2,0/0
DET,NYI,4,14,0.551,19,2,Islanders,12,1/5,10,0.449,14,1,17,Red Wings,10,1/6
