abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NYR,NJD,4,15,0.516,25,1,Devils,18,0/1,9,0.484,27,3,3,Rangers,12,1/4
NJD,NYR,2,13,0.431,27,3,Rangers,19,1/3,8,0.569,17,4,1,Devils,11,1/7
PHI,NYR,1,8,0.40399999999999997,15,3,Rangers,19,0/3,7,0.596,24,4,4,Flyers,15,2/5
NYR,NYI,1,6,0.368,30,2,Islanders,6,0/4,10,0.632,18,3,3,Rangers,8,0/3
NYR,PHI,1,13,0.524,30,4,Flyers,14,0/3,9,0.47600000000000003,21,2,3,Rangers,16,0/2
NYI,NYR,2,0,0.0,0,3,Rangers,29,0/7,0,0.0,0,4,2,Islanders,31,2/6
NYR,WPG,4,10,0.5329999999999999,31,52,Jets,4,1/5,18,0.467,24,6,3,Rangers,10,1/2
OTT,NYR,4,22,0.667,22,3,Rangers,10,2/3,21,0.33299999999999996,37,1,9,Senators,6,0/5
NYR,EDM,4,9,0.5,18,22,Oilers,8,1/2,11,0.5,21,1,3,Rangers,4,0/4
NJD,NYR,2,9,0.561,11,3,Rangers,18,0/6,6,0.439,17,5,1,Devils,16,1/7
WSH,NYR,2,19,0.509,19,3,Rangers,18,1/4,10,0.491,22,5,15,Capitals,18,2/4
NYR,VAN,3,13,0.674,22,23,Canucks,6,1/3,14,0.326,22,2,3,Rangers,6,0/3
NYR,ARI,3,10,0.48,11,53,Coyotes,4,1/5,21,0.52,26,2,3,Rangers,10,1/2
NYR,BUF,2,5,0.591,28,7,Sabres,8,0/3,22,0.409,34,6,3,Rangers,8,0/4
NYR,BOS,7,12,0.515,15,6,Bruins,12,0/2,16,0.485,21,4,3,Rangers,6,1/5
NYR,TBL,1,10,0.537,21,14,Lightning,13,0/2,15,0.46299999999999997,20,4,3,Rangers,9,1/4
NSH,NYR,2,16,0.5710000000000001,14,3,Rangers,15,0/4,10,0.429,22,1,18,Predators,13,1/5
NYR,OTT,6,18,0.449,24,9,Senators,22,2/6,7,0.551,18,2,3,Rangers,36,1/4
NYR,DET,1,12,0.583,23,17,Red Wings,6,0/2,17,0.41700000000000004,14,5,3,Rangers,4,2/3
CAR,NYR,4,17,0.392,18,3,Rangers,4,1/2,4,0.608,22,2,12,Hurricanes,4,0/2
NYR,FLA,6,9,0.759,28,13,Panthers,13,1/3,15,0.24100000000000002,25,5,3,Rangers,11,2/4
NYR,PIT,2,15,0.511,37,5,Penguins,4,1/3,18,0.489,29,3,3,Rangers,6,0/2
TBL,NYR,3,13,0.433,22,3,Rangers,55,0/4,10,0.5670000000000001,18,9,14,Lightning,37,5/8
FLA,NYR,3,16,0.484,18,3,Rangers,8,0/3,12,0.516,15,4,13,Panthers,6,2/3
NYR,WSH,1,7,0.5710000000000001,29,15,Capitals,11,1/3,13,0.429,27,4,3,Rangers,11,2/3
OTT,NYR,1,6,0.455,24,3,Rangers,10,0/4,12,0.545,21,4,9,Senators,8,2/5
MTL,NYR,6,27,0.5,29,3,Rangers,10,0/3,12,0.5,19,5,8,Canadiens,6,0/5
NYR,MIN,2,18,0.5,14,30,Wild,8,0/2,13,0.5,23,3,3,Rangers,4,1/4
NYR,CAR,2,11,0.6,27,12,Hurricanes,10,1/5,22,0.4,20,3,3,Rangers,10,1/5
BOS,NYR,2,10,0.491,17,3,Rangers,7,0/6,7,0.509,26,3,6,Bruins,17,0/1
NJD,NYR,4,11,0.5660000000000001,17,3,Rangers,34,1/2,2,0.434,32,0,1,Devils,13,0/8
NYR,VGK,4,21,0.5579999999999999,23,54,Golden Knights,12,2/2,11,0.442,17,1,3,Rangers,6,0/6
CBJ,NYR,3,13,0.462,22,3,Rangers,10,1/2,9,0.5379999999999999,19,2,29,Blue Jackets,4,0/5
NYR,MTL,2,18,0.605,25,8,Canadiens,4,0/1,11,0.395,19,1,3,Rangers,2,0/2
VGK,NYR,5,18,0.39299999999999996,36,3,Rangers,13,2/5,6,0.607,21,0,54,Golden Knights,15,0/4
LAK,NYR,1,13,0.5579999999999999,16,3,Rangers,12,1/2,8,0.442,22,3,26,Kings,14,0/1
SJS,NYR,6,11,0.385,19,3,Rangers,4,1/3,20,0.615,21,3,28,Sharks,6,0/2
ANA,NYR,3,12,0.33899999999999997,14,3,Rangers,10,0/2,13,0.6609999999999999,19,4,24,Ducks,6,2/4
NYR,NSH,5,18,0.65,16,18,Predators,10,0/2,11,0.35,29,2,3,Rangers,16,0/4
NYR,TOR,6,11,0.491,13,10,Maple Leafs,6,1/3,15,0.509,23,3,3,Rangers,6,0/3
NYR,ANA,1,8,0.45899999999999996,30,24,Ducks,31,0/4,12,0.541,28,5,3,Rangers,29,0/5
PHI,NYR,1,10,0.493,18,3,Rangers,12,0/4,10,0.507,8,5,4,Flyers,8,1/6
NYR,CAR,3,6,0.542,17,12,Hurricanes,8,0/5,15,0.45799999999999996,14,5,3,Rangers,10,2/4
TOR,NYR,5,21,0.319,30,3,Rangers,8,0/1,9,0.6809999999999999,12,4,10,Maple Leafs,6,1/2
EDM,NYR,5,13,0.561,23,3,Rangers,16,0/1,24,0.439,17,7,22,Oilers,6,3/6
CGY,NYR,3,9,0.542,15,3,Rangers,10,2/3,9,0.45799999999999996,15,4,20,Flames,8,0/4
VAN,NYR,1,15,0.344,21,3,Rangers,6,0/2,20,0.6559999999999999,29,2,23,Canucks,4,0/3
NYR,COL,3,12,0.45,19,21,Avalanche,21,0/3,12,0.55,28,5,3,Rangers,11,1/3
NYR,NJD,3,19,0.45799999999999996,20,1,Devils,12,0/2,17,0.542,19,6,3,Rangers,6,2/5
STL,NYR,2,14,0.56,16,3,Rangers,31,0/3,8,0.44,12,5,19,Blues,18,1/3
NYR,NYI,2,16,0.47700000000000004,25,2,Islanders,38,1/3,18,0.523,28,6,3,Rangers,50,1/2
NYI,NYR,3,14,0.39299999999999996,30,3,Rangers,12,2/5,15,0.607,38,2,2,Islanders,12,0/5
NYR,CBJ,2,14,0.591,24,29,Blue Jackets,0,0/1,15,0.409,26,1,3,Rangers,2,0/0
NYR,NYI,4,16,0.648,25,2,Islanders,10,2/2,11,0.35200000000000004,16,2,3,Rangers,4,2/5
NYR,DET,2,20,0.642,19,17,Red Wings,6,0/0,18,0.358,17,4,3,Rangers,0,1/3
DET,NYR,1,6,0.6890000000000001,24,3,Rangers,6,1/2,7,0.311,25,0,17,Red Wings,6,0/2
NYR,DAL,5,18,0.46299999999999997,21,25,Stars,10,2/4,11,0.537,27,3,3,Rangers,12,3/3
NYR,TOR,3,8,0.5,12,10,Maple Leafs,11,1/2,21,0.5,29,5,3,Rangers,11,0/2
NYR,BUF,3,18,0.469,25,7,Sabres,4,0/1,17,0.531,25,2,3,Rangers,2,1/2
NYR,LAK,1,14,0.556,27,26,Kings,2,0/2,22,0.444,21,4,3,Rangers,4,0/1
WPG,NYR,4,19,0.408,15,3,Rangers,10,1/1,12,0.5920000000000001,16,1,52,Jets,4,0/4
MIN,NYR,4,12,0.322,16,3,Rangers,8,0/1,17,0.6779999999999999,17,3,30,Wild,6,0/2
CBJ,NYR,3,11,0.51,17,3,Rangers,4,0/3,15,0.49,8,1,29,Blue Jackets,6,0/2
NYR,BOS,3,12,0.552,25,6,Bruins,10,0/2,16,0.44799999999999995,29,1,3,Rangers,4,1/5
CHI,NYR,6,19,0.429,30,3,Rangers,6,1/4,13,0.5710000000000001,29,3,16,Blackhawks,8,0/3
CAR,NYR,5,24,0.469,23,3,Rangers,12,1/4,8,0.531,16,2,12,Hurricanes,12,1/4
NYR,SJS,2,9,0.455,17,28,Sharks,4,1/4,16,0.545,18,3,3,Rangers,8,0/2
NYI,NYR,4,23,0.375,17,3,Rangers,11,0/2,13,0.625,19,3,2,Islanders,19,1/3
MTL,NYR,5,25,0.436,22,3,Rangers,6,1/3,11,0.564,15,2,8,Canadiens,6,0/3
PHI,NYR,2,17,0.321,31,3,Rangers,10,0/3,13,0.679,26,5,4,Flyers,10,1/3
NYR,PHI,5,13,0.49,25,4,Flyers,12,3/5,6,0.51,27,3,3,Rangers,20,3/6
NYR,STL,3,9,0.639,34,19,Blues,6,1/1,12,0.361,24,1,3,Rangers,2,1/3
NYR,WSH,5,15,0.419,16,15,Capitals,14,0/2,5,0.581,15,6,3,Rangers,6,2/6
NYR,NJD,6,16,0.423,24,1,Devils,6,1/1,22,0.5770000000000001,28,4,3,Rangers,2,0/3
DAL,NYR,4,14,0.5,17,3,Rangers,15,0/2,14,0.5,23,2,25,Stars,13,1/3
COL,NYR,2,15,0.491,13,3,Rangers,12,0/4,20,0.509,20,3,21,Avalanche,10,2/5
NYR,NYI,2,10,0.625,25,2,Islanders,13,0/5,11,0.375,18,1,3,Rangers,17,0/3
CAR,NYR,2,15,0.456,40,3,Rangers,21,0/7,9,0.544,28,3,12,Hurricanes,21,1/7
CAR,NYR,1,11,0.46399999999999997,37,3,Rangers,22,1/4,13,0.536,33,4,12,Hurricanes,12,1/4
NYR,CAR,4,15,0.507,17,12,Hurricanes,6,0/3,18,0.493,39,1,3,Rangers,6,0/3
