abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
COL,STL,4,19,0.456,20,19,Blues,8,0/2,11,0.544,21,1,21,Avalanche,4,1/4
COL,STL,0,7,0.5,21,19,Blues,16,0/4,10,0.5,21,8,21,Avalanche,10,5/7
LAK,COL,3,14,0.519,12,21,Avalanche,6,2/6,12,0.48100000000000004,18,2,26,Kings,12,1/3
LAK,COL,2,15,0.537,14,21,Avalanche,10,1/4,19,0.46299999999999997,15,4,26,Kings,8,2/5
ANA,COL,3,11,0.5379999999999999,20,21,Avalanche,10,1/4,21,0.462,19,2,24,Ducks,8,0/5
ANA,COL,1,16,0.545,22,21,Avalanche,6,0/4,23,0.455,32,3,24,Ducks,8,0/3
COL,SJS,3,14,0.529,14,28,Sharks,10,0/5,6,0.47100000000000003,12,7,21,Avalanche,20,1/5
COL,SJS,0,18,0.44799999999999995,15,28,Sharks,8,0/4,15,0.552,12,3,21,Avalanche,8,1/4
MIN,COL,5,4,0.47700000000000004,5,21,Avalanche,4,2/7,18,0.523,21,1,30,Wild,14,0/2
MIN,COL,3,8,0.47,9,21,Avalanche,6,0/4,14,0.53,14,4,30,Wild,8,0/3
COL,MIN,1,23,0.41700000000000004,23,30,Wild,11,1/3,14,0.583,17,2,21,Avalanche,11,0/3
VGK,COL,0,19,0.5579999999999999,33,21,Avalanche,6,0/1,16,0.442,34,1,54,Golden Knights,2,0/3
VGK,COL,3,22,0.491,10,21,Avalanche,9,0/3,21,0.509,17,2,54,Golden Knights,11,1/2
COL,VGK,2,11,0.494,23,54,Golden Knights,12,0/4,14,0.506,15,3,21,Avalanche,10,0/4
COL,VGK,3,17,0.442,14,54,Golden Knights,4,1/3,11,0.5579999999999999,12,0,21,Avalanche,8,0/1
COL,MIN,6,22,0.49200000000000005,10,30,Wild,8,0/2,7,0.508,13,2,21,Avalanche,4,1/4
ARI,COL,3,12,0.586,23,21,Avalanche,11,1/3,11,0.414,26,2,53,Coyotes,13,0/2
ARI,COL,6,5,0.5660000000000001,19,21,Avalanche,4,1/3,15,0.434,33,2,53,Coyotes,6,0/2
SJS,COL,2,9,0.588,21,21,Avalanche,8,1/4,13,0.41200000000000003,13,6,28,Sharks,10,1/3
SJS,COL,4,10,0.604,15,21,Avalanche,6,1/4,22,0.396,15,0,28,Sharks,14,0/3
COL,ANA,2,16,0.545,18,24,Ducks,6,0/2,9,0.455,18,3,21,Avalanche,4,0/3
COL,ANA,5,20,0.493,20,24,Ducks,6,2/2,19,0.507,25,4,21,Avalanche,4,1/3
COL,ARI,3,21,0.441,24,53,Coyotes,8,1/2,10,0.5589999999999999,20,2,21,Avalanche,4,1/4
COL,ARI,1,20,0.522,11,53,Coyotes,10,0/2,17,0.478,6,2,21,Avalanche,4,0/5
COL,LAK,0,23,0.508,14,26,Kings,9,0/3,9,0.49200000000000005,5,2,21,Avalanche,11,0/2
COL,LAK,1,11,0.462,21,26,Kings,2,0/5,20,0.5379999999999999,16,4,21,Avalanche,10,0/1
COL,ANA,4,24,0.532,19,24,Ducks,8,0/2,12,0.46799999999999997,21,8,21,Avalanche,6,2/3
COL,MIN,1,12,0.446,12,30,Wild,6,1/4,9,0.5539999999999999,9,5,21,Avalanche,10,1/2
COL,MIN,0,13,0.44299999999999995,15,30,Wild,14,0/4,14,0.557,16,6,21,Avalanche,8,1/2
ARI,COL,5,10,0.5529999999999999,16,21,Avalanche,4,0/3,23,0.447,32,1,53,Coyotes,6,1/2
ARI,COL,4,10,0.479,25,21,Avalanche,8,1/4,19,0.521,35,5,53,Coyotes,8,0/4
COL,VGK,1,12,0.5670000000000001,23,54,Golden Knights,8,0/1,20,0.433,16,5,21,Avalanche,2,1/4
COL,VGK,3,18,0.37,18,54,Golden Knights,9,1/4,11,0.63,8,2,21,Avalanche,13,0/2
COL,ANA,2,11,0.5,10,24,Ducks,31,0/2,13,0.5,8,5,21,Avalanche,13,1/6
