abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
DAL,NSH,0,14,0.563,14,18,Predators,16,0/5,13,0.43700000000000006,21,7,25,Stars,10,5/8
DAL,NSH,2,26,0.508,24,18,Predators,8,1/4,17,0.49200000000000005,18,3,25,Stars,8,3/4
DAL,DET,1,14,0.462,18,17,Red Wings,8,0/3,12,0.5379999999999999,22,2,25,Stars,6,1/4
DAL,DET,3,7,0.5,8,17,Red Wings,6,1/7,21,0.5,14,7,25,Stars,14,1/2
CAR,DAL,1,14,0.47,38,25,Stars,10,1/6,12,0.53,26,4,12,Hurricanes,12,3/5
CAR,DAL,3,11,0.47100000000000003,31,25,Stars,10,0/5,9,0.529,17,4,12,Hurricanes,10,1/5
CBJ,DAL,6,14,0.564,10,25,Stars,6,2/3,7,0.436,12,3,29,Blue Jackets,6,1/3
CBJ,DAL,3,6,0.491,14,25,Stars,6,1/3,18,0.509,23,4,29,Blue Jackets,6,0/3
DAL,CHI,2,15,0.5,17,16,Blackhawks,11,1/4,8,0.5,13,1,25,Stars,13,0/3
DAL,CHI,2,19,0.396,11,16,Blackhawks,4,1/4,13,0.604,25,1,25,Stars,8,0/2
DAL,CAR,5,17,0.534,19,12,Hurricanes,10,1/3,11,0.466,39,3,25,Stars,6,1/5
DAL,CAR,4,20,0.523,17,12,Hurricanes,6,1/4,12,0.47700000000000004,13,3,25,Stars,8,1/3
FLA,DAL,1,17,0.439,32,25,Stars,11,0/1,6,0.561,24,3,13,Panthers,7,0/3
FLA,DAL,3,15,0.507,38,25,Stars,8,0/4,8,0.493,42,0,13,Panthers,10,0/3
FLA,DAL,2,7,0.557,33,25,Stars,2,1/2,11,0.44299999999999995,30,3,13,Panthers,4,0/1
TBL,DAL,0,6,0.5479999999999999,22,25,Stars,11,0/6,12,0.452,22,5,14,Lightning,19,2/2
DAL,TBL,2,15,0.5870000000000001,21,14,Lightning,11,1/5,14,0.413,26,0,25,Stars,15,0/3
DAL,CBJ,3,19,0.447,13,29,Blue Jackets,4,0/2,13,0.5529999999999999,20,2,25,Stars,4,0/2
DAL,CBJ,0,16,0.42200000000000004,13,29,Blue Jackets,20,0/3,9,0.578,18,5,25,Stars,16,1/5
DAL,NSH,4,17,0.5,18,18,Predators,13,2/5,13,0.5,18,3,25,Stars,17,1/3
DAL,CHI,1,12,0.386,19,16,Blackhawks,11,0/2,9,0.614,17,6,25,Stars,9,1/3
DAL,CHI,4,20,0.46,15,16,Blackhawks,10,2/5,11,0.54,25,2,25,Stars,10,0/5
CBJ,DAL,3,12,0.41200000000000003,29,25,Stars,0,0/0,21,0.588,27,4,29,Blue Jackets,0,0/0
CBJ,DAL,2,13,0.381,18,25,Stars,2,0/1,23,0.619,21,1,29,Blue Jackets,2,0/1
DAL,TBL,4,13,0.478,23,14,Lightning,6,1/2,13,0.522,22,3,25,Stars,4,1/3
DET,DAL,2,10,0.51,28,25,Stars,4,0/3,6,0.49,16,3,17,Red Wings,8,0/1
