abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
DET,CAR,3,9,0.596,27,12,Hurricanes,9,1/3,16,0.40399999999999997,19,0,17,Red Wings,11,0/2
DET,CAR,2,9,0.46799999999999997,23,12,Hurricanes,4,1/5,16,0.532,14,4,17,Red Wings,10,0/2
DET,CBJ,3,11,0.41,11,29,Blue Jackets,24,0/1,15,0.59,14,2,17,Red Wings,22,0/2
DET,CBJ,2,17,0.35700000000000004,15,29,Blue Jackets,2,0/2,10,0.643,12,3,17,Red Wings,4,1/1
CHI,DET,1,10,0.569,31,17,Red Wings,10,0/5,17,0.431,24,4,16,Blackhawks,10,2/5
CHI,DET,2,11,0.5,34,17,Red Wings,4,2/5,14,0.5,26,6,16,Blackhawks,10,1/2
DAL,DET,1,14,0.462,18,17,Red Wings,8,0/3,12,0.5379999999999999,22,2,25,Stars,6,1/4
DAL,DET,3,7,0.5,8,17,Red Wings,6,1/7,21,0.5,14,7,25,Stars,14,1/2
DET,FLA,3,8,0.475,19,13,Panthers,8,2/3,12,0.525,14,2,17,Red Wings,6,0/4
DET,FLA,3,9,0.518,16,13,Panthers,8,2/4,9,0.48200000000000004,11,2,17,Red Wings,10,0/3
TBL,DET,1,12,0.54,15,17,Red Wings,8,0/4,10,0.46,18,5,14,Lightning,8,0/4
TBL,DET,1,4,0.532,20,17,Red Wings,6,0/2,6,0.46799999999999997,23,3,14,Lightning,4,0/3
FLA,DET,4,12,0.491,24,17,Red Wings,11,0/0,6,0.509,25,1,13,Panthers,9,0/1
FLA,DET,1,8,0.5479999999999999,28,17,Red Wings,2,0/3,10,0.452,35,2,13,Panthers,6,1/1
NSH,DET,2,14,0.462,12,17,Red Wings,8,0/4,16,0.5379999999999999,15,3,18,Predators,8,1/4
NSH,DET,4,12,0.585,13,17,Red Wings,4,0/4,14,0.415,19,2,18,Predators,8,0/2
DET,CHI,3,9,0.444,10,16,Blackhawks,4,0/3,11,0.556,11,2,17,Red Wings,6,0/2
DET,CHI,2,9,0.319,16,16,Blackhawks,8,1/3,9,0.6809999999999999,26,0,17,Red Wings,8,0/3
DET,FLA,7,5,0.431,21,13,Panthers,8,1/2,9,0.569,12,2,17,Red Wings,4,0/4
DET,FLA,1,9,0.455,9,13,Panthers,4,1/3,17,0.545,13,2,17,Red Wings,6,0/2
DET,NSH,2,15,0.54,33,18,Predators,2,2/4,15,0.46,16,0,17,Red Wings,8,0/1
DET,NSH,2,13,0.42100000000000004,13,18,Predators,8,1/3,9,0.579,15,5,17,Red Wings,8,0/3
CHI,DET,5,20,0.588,33,17,Red Wings,2,1/1,7,0.41200000000000003,34,3,16,Blackhawks,2,0/1
CHI,DET,2,12,0.5,26,17,Red Wings,6,1/1,14,0.5,28,7,16,Blackhawks,6,1/1
CBJ,DET,1,12,0.569,23,17,Red Wings,10,1/3,9,0.431,17,4,29,Blue Jackets,6,1/5
CAR,DET,2,15,0.42700000000000005,21,17,Red Wings,4,1/4,12,0.573,18,5,12,Hurricanes,8,1/2
DET,TBL,4,12,0.5,16,14,Lightning,11,1/3,7,0.5,16,3,17,Red Wings,11,1/3
DET,TBL,4,7,0.606,18,14,Lightning,13,1/6,21,0.39399999999999996,10,6,17,Red Wings,17,0/4
DET,CAR,2,10,0.564,9,12,Hurricanes,4,0/1,10,0.436,11,1,17,Red Wings,2,0/2
DET,CAR,2,11,0.542,10,12,Hurricanes,12,1/3,14,0.45799999999999996,12,4,17,Red Wings,6,2/6
DET,DAL,2,10,0.51,28,25,Stars,4,0/3,6,0.49,16,3,17,Red Wings,8,0/1
DET,DAL,3,12,0.596,26,25,Stars,4,1/3,17,0.40399999999999997,29,0,17,Red Wings,6,0/2
NSH,DET,0,9,0.491,11,17,Red Wings,6,0/3,13,0.509,7,2,18,Predators,8,1/2
NSH,DET,1,10,0.509,10,17,Red Wings,8,1/4,9,0.491,10,7,18,Predators,8,1/4
DET,CBJ,1,16,0.479,25,29,Blue Jackets,8,0/2,10,0.521,15,3,17,Red Wings,6,0/3
DET,CBJ,1,12,0.56,31,29,Blue Jackets,4,0/1,20,0.44,18,4,17,Red Wings,4,0/1
FLA,DET,1,14,0.51,27,17,Red Wings,8,1/4,11,0.49,29,4,13,Panthers,8,0/4
FLA,DET,2,9,0.5,21,17,Red Wings,20,0/2,15,0.5,32,3,13,Panthers,16,1/4
TBL,DET,1,19,0.596,19,17,Red Wings,6,0/2,15,0.40399999999999997,24,2,14,Lightning,4,0/3
TBL,DET,5,18,0.48100000000000004,24,17,Red Wings,6,1/2,9,0.519,21,1,14,Lightning,4,0/3
DET,NSH,3,10,0.682,28,18,Predators,6,1/4,9,0.318,13,2,17,Red Wings,10,0/2
DET,NSH,7,14,0.725,13,18,Predators,23,0/1,5,0.275,10,1,17,Red Wings,11,0/2
CAR,DET,5,15,0.483,18,17,Red Wings,4,0/2,11,0.517,19,4,12,Hurricanes,4,0/2
CAR,DET,3,17,0.419,29,17,Red Wings,8,1/5,6,0.581,30,1,12,Hurricanes,10,0/4
DET,CHI,1,6,0.381,9,16,Blackhawks,2,0/3,24,0.619,19,4,17,Red Wings,6,0/1
DET,CHI,4,15,0.473,15,16,Blackhawks,12,0/2,12,0.527,11,0,17,Red Wings,4,0/6
DAL,DET,2,17,0.429,15,17,Red Wings,4,0/1,12,0.5710000000000001,18,3,25,Stars,2,1/2
DAL,DET,2,9,0.556,14,17,Red Wings,11,0/2,20,0.444,21,5,25,Stars,11,0/2
