abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NSH,CBJ,1,15,0.54,18,29,Blue Jackets,6,0/2,20,0.46,16,3,18,Predators,4,0/3
NSH,CBJ,2,17,0.456,11,29,Blue Jackets,6,0/2,10,0.544,16,5,18,Predators,4,0/3
NSH,CAR,4,12,0.33299999999999996,10,12,Hurricanes,10,1/4,17,0.667,13,2,18,Predators,8,1/5
DAL,NSH,0,14,0.563,14,18,Predators,16,0/5,13,0.43700000000000006,21,7,25,Stars,10,5/8
DAL,NSH,2,26,0.508,24,18,Predators,8,1/4,17,0.49200000000000005,18,3,25,Stars,8,3/4
NSH,CHI,2,17,0.46799999999999997,9,16,Blackhawks,8,1/2,10,0.532,12,3,18,Predators,4,0/4
NSH,CHI,1,14,0.405,10,16,Blackhawks,8,0/4,18,0.595,18,2,18,Predators,8,0/4
TBL,NSH,3,11,0.382,17,18,Predators,34,2/5,11,0.618,21,4,14,Lightning,30,2/7
TBL,NSH,2,11,0.5579999999999999,19,18,Predators,8,0/3,17,0.442,18,5,14,Lightning,6,1/4
FLA,NSH,6,10,0.607,20,18,Predators,8,2/4,14,0.39299999999999996,21,5,13,Panthers,8,2/4
FLA,NSH,1,17,0.40299999999999997,25,18,Predators,6,0/1,16,0.597,40,2,13,Panthers,4,0/2
NSH,TBL,4,18,0.527,10,14,Lightning,15,1/3,19,0.473,14,1,18,Predators,13,1/4
NSH,TBL,6,15,0.491,24,14,Lightning,10,3/5,11,0.509,20,1,18,Predators,22,0/4
NSH,DET,2,14,0.462,12,17,Red Wings,8,0/4,16,0.5379999999999999,15,3,18,Predators,8,1/4
NSH,DET,4,12,0.585,13,17,Red Wings,4,0/4,14,0.415,19,2,18,Predators,8,0/2
CBJ,NSH,0,6,0.5770000000000001,23,18,Predators,0,0/1,15,0.423,37,3,29,Blue Jackets,2,0/0
CBJ,NSH,4,6,0.609,24,18,Predators,7,1/4,16,0.391,13,2,29,Blue Jackets,13,0/1
DET,NSH,2,15,0.54,33,18,Predators,2,2/4,15,0.46,16,0,17,Red Wings,8,0/1
DET,NSH,2,13,0.42100000000000004,13,18,Predators,8,1/3,9,0.579,15,5,17,Red Wings,8,0/3
NSH,CBJ,1,17,0.491,15,29,Blue Jackets,8,0/3,9,0.509,11,2,18,Predators,6,0/4
NSH,CBJ,1,8,0.46,12,29,Blue Jackets,12,0/3,10,0.54,10,3,18,Predators,16,1/1
NSH,CAR,4,8,0.484,17,12,Hurricanes,8,2/3,12,0.516,12,2,18,Predators,8,1/3
NSH,FLA,5,14,0.358,9,13,Panthers,4,2/4,12,0.642,10,4,18,Predators,8,0/2
NSH,FLA,6,16,0.469,14,13,Panthers,9,1/4,11,0.531,13,2,18,Predators,13,1/2
DAL,NSH,4,17,0.5,18,18,Predators,13,2/5,13,0.5,18,3,25,Stars,17,1/3
CAR,NSH,2,21,0.39,19,18,Predators,12,0/5,20,0.61,26,3,12,Hurricanes,10,2/6
CAR,NSH,1,11,0.35700000000000004,34,18,Predators,6,0/1,13,0.643,21,5,12,Hurricanes,2,3/3
TBL,NSH,3,11,0.5,17,18,Predators,2,1/2,5,0.5,21,6,14,Lightning,4,1/1
TBL,NSH,4,12,0.491,17,18,Predators,16,1/2,8,0.509,20,1,14,Lightning,14,0/3
FLA,NSH,2,12,0.5,25,18,Predators,6,0/3,12,0.5,18,1,13,Panthers,6,0/3
FLA,NSH,0,21,0.519,20,18,Predators,12,0/3,10,0.48100000000000004,23,2,13,Panthers,8,0/5
DAL,NSH,4,12,0.507,21,18,Predators,4,1/2,11,0.493,20,3,25,Stars,4,0/2
NSH,DET,0,9,0.491,11,17,Red Wings,6,0/3,13,0.509,7,2,18,Predators,8,1/2
NSH,DET,1,10,0.509,10,17,Red Wings,8,1/4,9,0.491,10,7,18,Predators,8,1/4
CHI,NSH,3,17,0.479,27,18,Predators,4,0/0,14,0.521,22,1,16,Blackhawks,0,0/2
CHI,NSH,3,13,0.45299999999999996,39,18,Predators,8,0/1,14,0.547,25,2,16,Blackhawks,4,0/3
NSH,DAL,2,6,0.593,28,25,Stars,2,1/1,10,0.40700000000000003,23,3,18,Predators,2,1/1
NSH,DAL,4,10,0.527,26,25,Stars,11,1/2,11,0.473,21,1,18,Predators,19,0/3
NSH,CHI,0,11,0.431,6,16,Blackhawks,2,0/4,10,0.569,17,3,18,Predators,8,1/1
DET,NSH,3,10,0.682,28,18,Predators,6,1/4,9,0.318,13,2,17,Red Wings,10,0/2
DET,NSH,7,14,0.725,13,18,Predators,23,0/1,5,0.275,10,1,17,Red Wings,11,0/2
NSH,TBL,3,9,0.474,12,14,Lightning,8,0/4,7,0.526,25,0,18,Predators,16,0/3
NSH,DAL,2,10,0.5,22,25,Stars,7,0/3,7,0.5,33,3,18,Predators,11,0/1
NSH,TBL,2,2,0.309,14,14,Lightning,8,1/2,17,0.691,19,7,18,Predators,6,0/3
CAR,NSH,1,7,0.517,32,18,Predators,10,0/4,11,0.483,32,4,12,Hurricanes,12,1/3
CAR,NSH,1,20,0.45299999999999996,30,18,Predators,4,0/2,17,0.547,28,3,12,Hurricanes,4,0/2
NSH,CHI,2,10,0.48100000000000004,22,16,Blackhawks,10,1/5,16,0.519,19,5,18,Predators,20,0/5
CHI,NSH,4,22,0.5770000000000001,36,18,Predators,8,0/2,13,0.423,29,5,16,Blackhawks,4,0/4
CHI,NSH,3,14,0.5660000000000001,43,18,Predators,2,0/2,20,0.434,36,1,16,Blackhawks,4,0/1
NSH,FLA,1,5,0.45299999999999996,14,13,Panthers,6,0/2,13,0.547,18,4,18,Predators,6,1/2
NSH,FLA,7,4,0.5539999999999999,13,13,Panthers,4,3/5,13,0.446,17,4,18,Predators,10,0/2
NSH,DAL,0,15,0.51,17,25,Stars,10,0/1,10,0.49,24,1,18,Predators,8,0/2
CBJ,NSH,4,11,0.5579999999999999,21,18,Predators,6,1/4,11,0.442,13,3,29,Blue Jackets,8,1/3
CBJ,NSH,2,11,0.509,17,18,Predators,4,0/1,16,0.491,17,4,29,Blue Jackets,2,1/2
NSH,CAR,1,6,0.551,14,12,Hurricanes,6,0/1,16,0.449,23,3,18,Predators,2,0/3
NSH,CAR,0,7,0.444,14,12,Hurricanes,17,0/4,10,0.556,22,5,18,Predators,17,1/4
CAR,NSH,2,13,0.486,49,18,Predators,22,0/3,13,0.514,56,5,12,Hurricanes,20,0/4
CAR,NSH,0,10,0.525,39,18,Predators,10,0/7,17,0.475,52,3,12,Hurricanes,18,1/3
NSH,CAR,4,21,0.5,32,12,Hurricanes,14,1/3,20,0.5,33,5,18,Predators,6,1/7
NSH,CAR,3,15,0.5489999999999999,33,12,Hurricanes,6,0/4,31,0.451,32,4,18,Predators,10,1/2
CAR,NSH,2,16,0.413,40,18,Predators,8,0/3,12,0.5870000000000001,66,3,12,Hurricanes,8,1/2
NSH,CAR,4,11,0.45,32,12,Hurricanes,8,1/3,20,0.55,28,3,18,Predators,6,1/4
