abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
EDM,VAN,5,14,0.48200000000000004,19,23,Canucks,8,0/2,17,0.518,18,3,22,Oilers,4,0/4
EDM,VAN,2,10,0.536,24,23,Canucks,18,0/5,29,0.46399999999999997,37,5,22,Oilers,20,2/4
CGY,VAN,0,11,0.6,11,23,Canucks,12,0/4,14,0.4,16,3,20,Flames,8,3/6
CGY,VAN,2,12,0.469,14,23,Canucks,14,0/4,8,0.531,10,5,20,Flames,8,2/7
VAN,MTL,5,15,0.536,38,8,Canadiens,12,1/1,12,0.46399999999999997,34,6,23,Canucks,2,3/6
VAN,MTL,7,5,0.508,17,8,Canadiens,12,1/9,18,0.49200000000000005,24,3,23,Canucks,26,1/5
VAN,MTL,5,12,0.39299999999999996,20,8,Canadiens,23,0/3,18,0.607,32,2,23,Canucks,23,0/3
VAN,OTT,1,11,0.364,23,9,Senators,16,0/5,14,0.636,29,7,23,Canucks,22,0/2
VAN,OTT,1,13,0.5,25,9,Senators,6,1/4,11,0.5,16,5,23,Canucks,8,1/3
VAN,OTT,1,11,0.455,36,9,Senators,15,0/5,19,0.545,22,4,23,Canucks,17,1/4
WPG,VAN,4,12,0.55,14,23,Canucks,6,0/3,12,0.45,10,1,52,Jets,10,0/1
MTL,VAN,2,9,0.491,30,23,Canucks,6,0/3,13,0.509,26,6,8,Canadiens,6,1/3
MTL,VAN,3,13,0.486,26,23,Canucks,8,1/3,11,0.514,20,5,8,Canadiens,6,0/4
TOR,VAN,3,8,0.439,27,23,Canucks,15,1/3,6,0.561,15,7,10,Maple Leafs,11,1/5
TOR,VAN,1,10,0.46399999999999997,25,23,Canucks,8,1/4,15,0.536,16,5,10,Maple Leafs,8,1/4
TOR,VAN,1,8,0.5,31,23,Canucks,4,1/4,12,0.5,21,3,10,Maple Leafs,8,0/2
VAN,CGY,3,10,0.5710000000000001,21,20,Flames,10,0/3,8,0.429,12,1,23,Canucks,8,0/4
VAN,CGY,1,19,0.45299999999999996,20,20,Flames,2,0/3,12,0.547,19,3,23,Canucks,6,0/1
VAN,CGY,4,13,0.39,20,20,Flames,14,1/4,16,0.61,15,3,23,Canucks,10,2/6
CGY,VAN,5,13,0.6459999999999999,14,23,Canucks,4,0/1,8,0.354,20,1,20,Flames,2,0/2
VAN,WPG,2,18,0.532,19,52,Jets,16,0/2,6,0.46799999999999997,24,0,23,Canucks,16,0/2
VAN,WPG,4,19,0.424,25,52,Jets,13,1/3,10,0.5760000000000001,17,3,23,Canucks,11,1/4
VAN,EDM,4,18,0.42200000000000004,29,22,Oilers,4,1/4,15,0.578,19,3,23,Canucks,8,0/2
VAN,EDM,3,21,0.569,17,22,Oilers,8,2/5,16,0.431,17,0,23,Canucks,10,0/4
WPG,VAN,4,15,0.46299999999999997,12,23,Canucks,2,1/2,6,0.537,23,0,52,Jets,4,0/1
WPG,VAN,2,15,0.5770000000000001,11,23,Canucks,6,1/2,13,0.423,24,5,52,Jets,4,1/3
VAN,TOR,1,13,0.46,18,10,Maple Leafs,2,0/2,18,0.54,20,3,23,Canucks,4,1/1
VAN,TOR,2,14,0.439,14,10,Maple Leafs,4,0/1,22,0.561,20,4,23,Canucks,2,2/2
VAN,MTL,1,10,0.42100000000000004,24,8,Canadiens,6,1/2,22,0.579,17,2,23,Canucks,4,0/3
VAN,MTL,5,10,0.424,24,8,Canadiens,11,1/5,19,0.5760000000000001,18,1,23,Canucks,15,1/3
VAN,EDM,1,19,0.40399999999999997,17,22,Oilers,4,1/4,25,0.596,24,2,23,Canucks,8,1/2
OTT,VAN,3,14,0.5,11,23,Canucks,8,0/1,14,0.5,28,2,9,Senators,2,0/4
OTT,VAN,3,21,0.604,30,23,Canucks,4,0/2,9,0.396,36,2,9,Senators,4,0/2
MTL,VAN,3,20,0.33899999999999997,11,23,Canucks,8,0/2,10,0.6609999999999999,27,2,8,Canadiens,4,2/4
MTL,VAN,4,21,0.47200000000000003,26,23,Canucks,2,1/1,14,0.528,28,5,8,Canadiens,2,1/1
VAN,WPG,4,15,0.536,15,52,Jets,2,0/1,20,0.46399999999999997,19,0,23,Canucks,2,0/1
VAN,WPG,5,20,0.46299999999999997,17,52,Jets,9,2/3,9,0.537,20,1,23,Canucks,11,0/2
VAN,TOR,2,13,0.531,13,10,Maple Leafs,2,1/4,23,0.469,11,3,23,Canucks,19,0/1
VAN,TOR,3,12,0.455,21,10,Maple Leafs,4,1/2,14,0.545,11,6,23,Canucks,4,1/2
VAN,OTT,3,19,0.355,28,9,Senators,17,2/4,13,0.645,24,0,23,Canucks,27,0/4
VAN,OTT,2,9,0.315,17,9,Senators,13,0/6,19,0.685,19,4,23,Canucks,17,1/4
OTT,VAN,1,14,0.5870000000000001,25,23,Canucks,7,0/1,11,0.413,34,2,9,Senators,7,0/1
OTT,VAN,3,15,0.48,23,23,Canucks,16,0/2,12,0.52,21,6,9,Senators,14,0/3
TOR,VAN,1,15,0.5529999999999999,19,23,Canucks,5,1/2,16,0.447,18,4,10,Maple Leafs,9,0/0
TOR,VAN,1,6,0.583,23,23,Canucks,2,0/1,13,0.41700000000000004,25,5,10,Maple Leafs,2,0/1
VAN,EDM,5,17,0.48200000000000004,13,22,Oilers,2,0/1,17,0.518,19,3,23,Canucks,2,0/1
VAN,EDM,4,15,0.51,15,22,Oilers,8,2/3,16,0.49,14,1,23,Canucks,6,0/4
EDM,VAN,6,12,0.534,23,23,Canucks,20,0/4,5,0.466,26,3,22,Oilers,18,1/5
EDM,VAN,3,17,0.47100000000000003,13,23,Canucks,8,0/5,15,0.529,18,4,22,Oilers,10,2/4
WPG,VAN,3,18,0.355,17,23,Canucks,6,0/1,13,0.645,25,1,52,Jets,2,0/3
WPG,VAN,0,15,0.479,18,23,Canucks,6,0/2,5,0.521,22,5,52,Jets,6,0/2
CGY,VAN,1,12,0.614,11,23,Canucks,8,0/1,8,0.386,7,4,20,Flames,2,1/4
EDM,VAN,4,6,0.449,14,23,Canucks,6,0/2,16,0.551,20,1,22,Oilers,4,0/3
VAN,CGY,6,14,0.493,13,20,Flames,15,0/6,19,0.507,8,5,23,Canucks,29,2/4
VAN,CGY,2,8,0.525,17,20,Flames,11,0/3,10,0.475,8,4,23,Canucks,11,0/3
CGY,VAN,2,8,0.475,9,23,Canucks,6,1/5,9,0.525,6,6,20,Flames,14,0/2
