abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
ANA,SJS,3,10,0.526,10,28,Sharks,14,1/5,16,0.474,22,6,24,Ducks,20,1/2
ANA,ARI,4,11,0.51,32,53,Coyotes,30,1/3,10,0.49,33,1,24,Ducks,10,0/8
ANA,SJS,3,7,0.451,24,28,Sharks,19,1/4,13,0.5489999999999999,22,1,24,Ducks,21,0/3
ARI,ANA,3,14,0.41200000000000003,22,24,Ducks,4,2/3,11,0.588,40,4,53,Coyotes,6,0/2
SJS,ANA,3,16,0.33799999999999997,27,24,Ducks,24,1/4,8,0.662,27,2,28,Sharks,24,1/4
ANA,LAK,6,14,0.40399999999999997,24,26,Kings,6,2/3,10,0.596,30,3,24,Ducks,16,0/3
LAK,ANA,4,10,0.521,13,24,Ducks,6,1/4,15,0.479,16,3,26,Kings,8,1/3
ANA,WPG,1,6,0.528,25,52,Jets,14,0/5,19,0.47200000000000003,17,4,24,Ducks,24,2/5
ANA,MIN,2,15,0.462,17,30,Wild,23,1/5,14,0.5379999999999999,21,1,24,Ducks,25,1/4
CGY,ANA,3,19,0.462,14,24,Ducks,11,1/2,6,0.5379999999999999,14,2,20,Flames,9,0/3
EDM,ANA,5,14,0.419,29,24,Ducks,12,0/1,17,0.581,22,6,22,Oilers,4,2/6
WPG,ANA,1,12,0.52,23,24,Ducks,4,1/3,18,0.48,26,5,52,Jets,6,1/2
MIN,ANA,3,20,0.5,10,24,Ducks,12,1/3,19,0.5,17,4,30,Wild,10,0/4
ANA,WPG,4,11,0.542,34,52,Jets,6,0/1,14,0.45799999999999996,19,3,24,Ducks,2,0/3
ANA,BUF,4,9,0.36,13,7,Sabres,2,1/2,11,0.64,23,3,24,Ducks,4,0/1
VGK,ANA,4,15,0.5,31,24,Ducks,5,0/3,21,0.5,20,5,54,Golden Knights,11,0/0
