abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WSH,BOS,3,17,0.507,19,6,Bruins,10,0/3,14,0.493,21,2,15,Capitals,14,0/4
NYR,BOS,2,11,0.442,20,6,Bruins,10,0/5,11,0.5579999999999999,37,3,3,Rangers,10,0/5
BOS,PHI,2,15,0.43200000000000005,15,4,Flyers,10,2/6,5,0.568,26,4,6,Bruins,12,2/5
BOS,NYR,4,12,0.415,34,3,Rangers,8,1/2,7,0.585,18,3,6,Bruins,4,1/4
PHI,BOS,1,18,0.49,32,6,Bruins,15,1/2,11,0.51,24,2,4,Flyers,9,1/5
BOS,WSH,4,6,0.39,17,15,Capitals,6,1/7,6,0.61,20,3,6,Bruins,14,0/3
BOS,DAL,1,11,0.532,33,25,Stars,8,0/6,8,0.46799999999999997,25,3,6,Bruins,14,0/3
PHI,BOS,3,18,0.48,32,6,Bruins,4,0/1,23,0.52,35,6,4,Flyers,2,2/2
BUF,BOS,4,22,0.63,14,6,Bruins,8,1/2,6,0.37,12,1,7,Sabres,4,0/4
BOS,SJS,3,6,0.484,25,28,Sharks,13,0/2,14,0.516,23,4,6,Bruins,11,1/3
FLA,BOS,1,13,0.6609999999999999,37,6,Bruins,2,0/2,17,0.33899999999999997,34,4,13,Panthers,4,0/1
CAR,BOS,0,9,0.44299999999999995,46,6,Bruins,12,0/5,11,0.557,29,3,12,Hurricanes,12,1/5
BOS,FLA,2,14,0.368,25,13,Panthers,6,1/1,11,0.632,28,3,6,Bruins,2,1/3
BOS,DET,1,10,0.40700000000000003,25,17,Red Wings,12,1/4,11,0.593,24,5,6,Bruins,10,3/5
TOR,BOS,2,13,0.491,32,6,Bruins,8,1/4,16,0.509,22,5,10,Maple Leafs,8,2/4
BOS,OTT,2,19,0.42100000000000004,26,9,Senators,13,0/6,4,0.579,27,3,6,Bruins,19,1/3
BOS,EDM,5,8,0.327,30,22,Oilers,6,0/2,7,0.6729999999999999,34,3,6,Bruins,4,0/3
NJD,BOS,5,25,0.5379999999999999,16,6,Bruins,8,1/2,8,0.462,11,2,1,Devils,6,0/3
BOS,MTL,2,7,0.5379999999999999,29,8,Canadiens,18,0/1,10,0.462,31,5,6,Bruins,2,1/4
PHI,BOS,5,9,0.509,33,6,Bruins,17,0/3,8,0.491,29,2,4,Flyers,13,1/5
BOS,CGY,4,15,0.46799999999999997,28,20,Flames,6,0/2,14,0.532,37,0,6,Bruins,4,0/3
BUF,BOS,5,10,0.688,27,6,Bruins,7,2/3,10,0.313,18,1,7,Sabres,22,0/1
BOS,NYR,5,17,0.429,23,3,Rangers,18,0/2,4,0.5710000000000001,21,2,6,Bruins,16,0/3
BOS,VAN,2,11,0.49200000000000005,18,23,Canucks,6,1/4,12,0.508,28,3,6,Bruins,8,2/3
BOS,DET,2,14,0.524,28,17,Red Wings,8,0/1,9,0.47600000000000003,30,1,6,Bruins,4,1/3
NSH,BOS,2,20,0.508,13,6,Bruins,4,1/4,11,0.49200000000000005,24,0,18,Predators,10,0/1
BOS,TBL,3,19,0.418,31,14,Lightning,2,0/2,11,0.5820000000000001,33,2,6,Bruins,4,0/1
VAN,BOS,1,19,0.522,28,6,Bruins,8,1/4,15,0.478,20,2,23,Canucks,8,1/4
EDM,BOS,3,19,0.569,23,6,Bruins,12,1/3,9,0.431,17,2,22,Oilers,8,2/5
CGY,BOS,4,21,0.488,26,6,Bruins,10,0/2,7,0.513,22,2,20,Flames,4,1/5
BOS,VGK,4,14,0.396,20,54,Golden Knights,2,1/1,12,0.604,38,1,6,Bruins,2,0/1
NYI,BOS,1,13,0.423,26,6,Bruins,15,0/3,11,0.5770000000000001,22,3,2,Islanders,11,1/5
BOS,BUF,3,10,0.486,15,7,Sabres,8,1/4,10,0.514,14,4,6,Bruins,8,0/4
DET,BOS,5,14,0.491,15,6,Bruins,17,0/3,10,0.509,26,1,17,Red Wings,15,0/4
BOS,NJD,3,13,0.358,25,1,Devils,2,0/1,9,0.642,29,5,6,Bruins,2,0/1
BOS,MIN,3,10,0.40299999999999997,23,30,Wild,22,2/8,9,0.597,33,2,6,Bruins,28,2/5
TBL,BOS,5,9,0.541,26,6,Bruins,8,0/2,7,0.45899999999999996,31,2,14,Lightning,4,0/4
WSH,BOS,7,11,0.5710000000000001,27,6,Bruins,6,2/4,12,0.429,35,3,15,Capitals,8,0/2
BOS,MTL,1,10,0.478,29,8,Canadiens,21,0/5,4,0.522,21,5,6,Bruins,21,0/5
BOS,PHI,2,7,0.5,23,4,Flyers,17,1/4,16,0.5,18,3,6,Bruins,17,2/4
BOS,NSH,3,8,0.608,46,18,Predators,7,0/2,12,0.392,45,4,6,Bruins,9,1/1
BOS,CAR,7,16,0.44799999999999995,26,12,Hurricanes,10,2/3,9,0.552,26,1,6,Bruins,6,1/5
BOS,WSH,3,14,0.446,36,15,Capitals,6,0/4,17,0.5539999999999999,27,4,6,Bruins,8,2/3
BOS,WPG,2,13,0.478,25,52,Jets,14,0/4,17,0.522,28,3,6,Bruins,18,1/2
BOS,ANA,5,23,0.414,25,24,Ducks,9,1/3,3,0.586,30,3,6,Bruins,11,1/2
COL,BOS,3,21,0.583,23,6,Bruins,12,1/4,5,0.41700000000000004,24,4,21,Avalanche,12,1/4
ARI,BOS,2,9,0.589,22,6,Bruins,8,1/4,10,0.41100000000000003,28,1,53,Coyotes,10,0/3
DAL,BOS,1,15,0.44299999999999995,23,6,Bruins,6,0/1,16,0.557,19,6,25,Stars,2,1/3
BOS,SEA,2,9,0.491,16,55,Kraken,13,0/6,14,0.509,26,3,6,Bruins,19,2/3
BOS,PIT,4,19,0.446,30,5,Penguins,8,1/4,13,0.5539999999999999,22,2,6,Bruins,20,1/3
BOS,CAR,6,13,0.507,32,12,Hurricanes,15,2/4,4,0.493,42,0,6,Bruins,15,0/4
OTT,BOS,2,19,0.564,42,6,Bruins,6,0/2,13,0.436,44,0,9,Senators,6,0/2
NYR,BOS,1,13,0.452,25,6,Bruins,6,0/1,13,0.5479999999999999,36,2,3,Rangers,6,0/1
NYI,BOS,1,11,0.6,20,6,Bruins,4,0/2,15,0.4,35,4,2,Islanders,4,1/2
OTT,BOS,3,13,0.509,19,6,Bruins,10,0/0,11,0.491,28,2,9,Senators,6,0/2
BOS,COL,1,3,0.387,28,21,Avalanche,6,1/4,11,0.613,20,5,6,Bruins,8,1/3
SEA,BOS,3,9,0.611,19,6,Bruins,6,0/5,12,0.389,18,2,55,Kraken,10,0/3
SJS,BOS,3,17,0.547,20,6,Bruins,10,0/3,15,0.45299999999999996,24,1,28,Sharks,8,1/4
LAK,BOS,7,12,0.5,33,6,Bruins,9,2/3,13,0.5,30,0,26,Kings,11,0/2
ANA,BOS,3,14,0.49200000000000005,23,6,Bruins,11,0/1,16,0.508,24,4,24,Ducks,7,2/3
