abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CBJ,BUF,5,18,0.424,13,7,Sabres,8,0/2,10,0.5760000000000001,24,4,29,Blue Jackets,4,1/4
DET,BUF,2,11,0.431,20,7,Sabres,10,1/2,9,0.569,19,6,17,Red Wings,16,0/4
BUF,PIT,2,14,0.5,7,5,Penguins,9,0/2,8,0.5,9,1,7,Sabres,9,1/2
BUF,CBJ,5,7,0.5660000000000001,8,29,Blue Jackets,2,2/3,8,0.434,4,3,7,Sabres,6,0/1
PIT,BUF,4,11,0.46299999999999997,19,7,Sabres,4,1/2,9,0.537,19,5,5,Penguins,4,0/2
BUF,DET,1,10,0.48100000000000004,7,17,Red Wings,2,0/1,6,0.519,2,3,7,Sabres,2,0/1
BUF,MTL,1,9,0.475,18,8,Canadiens,12,0/4,16,0.525,9,5,7,Sabres,8,3/6
BUF,ARI,1,10,0.425,15,53,Coyotes,4,0/2,9,0.575,15,2,7,Sabres,4,1/2
BUF,VAN,2,10,0.479,10,23,Canucks,6,0/3,5,0.521,14,5,7,Sabres,6,0/3
BUF,BOS,4,22,0.63,14,6,Bruins,8,1/2,6,0.37,12,1,7,Sabres,4,0/4
NJD,BUF,1,13,0.34,30,7,Sabres,8,1/2,10,0.66,25,2,1,Devils,6,1/3
BUF,TBL,1,8,0.451,17,14,Lightning,4,0/2,18,0.5489999999999999,12,5,7,Sabres,6,0/1
ANA,BUF,4,9,0.36,13,7,Sabres,2,1/2,11,0.64,23,3,24,Ducks,4,0/1
LAK,BUF,2,12,0.429,20,7,Sabres,17,0/2,8,0.5710000000000001,17,3,26,Kings,9,1/6
SJS,BUF,3,12,0.34600000000000003,19,7,Sabres,4,0/2,11,0.654,24,5,28,Sharks,6,0/1
SEA,BUF,2,7,0.586,16,7,Sabres,19,1/3,13,0.414,20,5,55,Kraken,17,0/4
BUF,DET,4,12,0.5710000000000001,13,17,Red Wings,4,0/1,12,0.429,7,3,7,Sabres,2,1/2
WSH,BUF,3,6,0.441,11,7,Sabres,6,0/3,15,0.5589999999999999,20,5,15,Capitals,6,1/3
BUF,EDM,2,6,0.649,8,22,Oilers,6,2/6,21,0.35100000000000003,6,3,7,Sabres,12,0/3
BUF,TOR,5,12,0.636,7,10,Maple Leafs,4,1/1,9,0.364,7,4,7,Sabres,2,0/2
PIT,BUF,2,18,0.44799999999999995,25,7,Sabres,13,0/5,7,0.552,31,1,5,Penguins,15,1/4
BUF,CGY,5,15,0.583,14,20,Flames,4,1/2,16,0.41700000000000004,12,0,7,Sabres,4,0/2
NYR,BUF,4,15,0.56,16,7,Sabres,2,1/3,10,0.44,34,5,3,Rangers,6,1/1
BUF,CBJ,7,13,0.45299999999999996,8,29,Blue Jackets,10,0/3,13,0.547,13,4,7,Sabres,8,2/4
BUF,BOS,5,10,0.688,27,6,Bruins,7,2/3,10,0.313,18,1,7,Sabres,22,0/1
BUF,MTL,1,13,0.509,18,8,Canadiens,2,0/2,10,0.491,7,4,7,Sabres,4,0/1
DET,BUF,2,8,0.442,9,7,Sabres,8,0/0,15,0.5579999999999999,12,3,17,Red Wings,2,0/3
BUF,SEA,7,11,0.46799999999999997,9,55,Kraken,8,0/0,9,0.532,21,4,7,Sabres,0,1/4
FLA,BUF,4,20,0.524,15,7,Sabres,8,0/3,15,0.47600000000000003,16,7,13,Panthers,8,1/3
CAR,BUF,2,11,0.371,16,7,Sabres,0,1/3,11,0.629,19,6,12,Hurricanes,17,0/0
BUF,ANA,2,24,0.51,14,24,Ducks,6,0/1,10,0.49,9,0,7,Sabres,2,0/3
BUF,NYR,2,16,0.527,17,3,Rangers,11,1/2,10,0.473,5,1,7,Sabres,11,0/2
BUF,WSH,3,8,0.38299999999999995,20,15,Capitals,2,0/3,14,0.617,10,2,7,Sabres,6,0/1
WPG,BUF,4,11,0.38799999999999996,17,7,Sabres,6,1/2,3,0.612,27,2,52,Jets,4,0/3
MIN,BUF,3,8,0.491,20,7,Sabres,4,0/2,11,0.509,23,2,30,Wild,4,0/2
PIT,BUF,2,12,0.455,32,7,Sabres,18,0/3,8,0.545,28,3,5,Penguins,16,1/4
BUF,NJD,4,13,0.513,6,1,Devils,7,1/2,15,0.48700000000000004,17,3,7,Sabres,19,0/1
NYI,BUF,1,10,0.34,12,7,Sabres,4,1/2,11,0.66,24,4,2,Islanders,4,1/2
BOS,BUF,3,10,0.486,15,7,Sabres,8,1/4,10,0.514,14,4,6,Bruins,8,0/4
BUF,SJS,3,21,0.40399999999999997,16,28,Sharks,11,0/1,7,0.596,10,2,7,Sabres,7,1/3
BUF,TBL,6,11,0.45799999999999996,7,14,Lightning,8,1/2,8,0.542,12,1,7,Sabres,4,1/4
NSH,BUF,4,11,0.44,21,7,Sabres,8,1/4,13,0.56,45,1,18,Predators,8,1/4
DET,BUF,0,9,0.385,7,7,Sabres,10,0/5,17,0.615,11,4,17,Red Wings,10,2/5
BUF,DET,3,6,0.652,9,17,Red Wings,8,0/1,13,0.348,10,2,7,Sabres,6,0/2
OTT,BUF,3,15,0.524,10,7,Sabres,25,0/2,17,0.47600000000000003,22,1,9,Senators,9,1/5
BUF,DAL,5,8,0.579,23,25,Stars,6,4/5,14,0.42100000000000004,12,4,7,Sabres,10,1/3
BUF,PHI,3,9,0.5,13,4,Flyers,10,1/5,14,0.5,16,6,7,Sabres,12,3/4
OTT,BUF,0,17,0.42200000000000004,23,7,Sabres,12,0/5,9,0.578,38,5,9,Senators,14,1/4
ARI,BUF,3,13,0.489,16,7,Sabres,6,1/3,10,0.511,20,1,53,Coyotes,8,1/2
COL,BUF,1,11,0.485,15,7,Sabres,13,0/4,19,0.515,19,4,21,Avalanche,13,1/4
VGK,BUF,2,14,0.531,26,7,Sabres,18,0/2,21,0.469,15,5,54,Golden Knights,14,1/4
BUF,CBJ,4,8,0.519,19,29,Blue Jackets,2,1/2,9,0.48100000000000004,12,3,7,Sabres,4,0/1
MTL,BUF,5,15,0.375,19,7,Sabres,6,1/3,8,0.625,24,3,8,Canadiens,6,0/3
BUF,NYI,3,13,0.5760000000000001,17,2,Islanders,4,0/2,8,0.424,9,6,7,Sabres,4,1/2
BUF,OTT,3,12,0.5539999999999999,13,9,Senators,17,0/2,13,0.446,12,1,7,Sabres,19,1/6
