abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
ARI,LAK,1,12,0.509,16,26,Kings,15,0/4,15,0.491,20,2,53,Coyotes,13,0/5
SJS,LAK,4,19,0.292,15,26,Kings,27,1/4,13,0.708,22,3,28,Sharks,25,0/5
LAK,VGK,1,0,0.0,0,54,Golden Knights,8,0/4,0,0.0,0,3,26,Kings,8,1/4
VGK,LAK,0,9,0.455,17,26,Kings,4,0/3,18,0.545,27,4,54,Golden Knights,6,1/2
LAK,ARI,4,21,0.33299999999999996,20,53,Coyotes,10,1/3,8,0.667,6,1,26,Kings,8,1/4
ANA,LAK,6,14,0.40399999999999997,24,26,Kings,6,2/3,10,0.596,30,3,24,Ducks,16,0/3
LAK,ANA,4,10,0.521,13,24,Ducks,6,1/4,15,0.479,16,3,26,Kings,8,1/3
LAK,VGK,2,22,0.508,41,54,Golden Knights,9,0/1,12,0.49200000000000005,22,6,26,Kings,7,2/2
LAK,MIN,3,15,0.49,25,30,Wild,10,0/1,6,0.51,24,2,26,Kings,4,1/4
NSH,LAK,1,18,0.40399999999999997,16,26,Kings,4,0/2,12,0.596,14,2,18,Predators,4,1/2
DAL,LAK,2,18,0.5329999999999999,14,26,Kings,10,1/6,18,0.467,25,3,25,Stars,23,2/4
STL,LAK,3,13,0.47,7,26,Kings,14,0/4,7,0.53,17,7,19,Blues,8,4/7
STL,LAK,0,13,0.418,14,26,Kings,4,0/3,7,0.5820000000000001,21,3,19,Blues,6,0/2
LAK,WPG,3,12,0.37200000000000005,35,52,Jets,4,1/4,11,0.628,21,2,26,Kings,8,0/2
LAK,MTL,2,16,0.385,32,8,Canadiens,10,0/3,13,0.615,16,5,26,Kings,6,3/5
LAK,BUF,2,12,0.429,20,7,Sabres,17,0/2,8,0.5710000000000001,17,3,26,Kings,9,1/6
LAK,STL,2,20,0.414,22,19,Blues,10,1/1,11,0.586,18,3,26,Kings,4,0/4
LAK,NJD,2,14,0.414,26,1,Devils,12,0/4,17,0.586,30,3,26,Kings,8,1/6
TOR,LAK,5,22,0.589,34,26,Kings,4,0/3,10,0.41100000000000003,36,1,10,Maple Leafs,6,1/2
MTL,LAK,3,24,0.49200000000000005,16,26,Kings,8,0/4,18,0.508,33,2,8,Canadiens,10,0/3
OTT,LAK,2,11,0.5870000000000001,17,26,Kings,8,1/2,12,0.413,26,0,9,Senators,8,0/2
WPG,LAK,2,11,0.5,19,26,Kings,2,0/2,15,0.5,39,3,52,Jets,4,0/1
LAK,WSH,2,15,0.4,33,15,Capitals,6,0/2,13,0.6,20,0,26,Kings,8,0/1
LAK,CAR,5,10,0.40399999999999997,31,12,Hurricanes,8,0/2,8,0.596,13,4,26,Kings,4,0/4
