abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
ANA,SJS,3,10,0.526,10,28,Sharks,14,1/5,16,0.474,22,6,24,Ducks,20,1/2
VGK,SJS,4,13,0.49200000000000005,30,28,Sharks,6,2/3,8,0.508,23,2,54,Golden Knights,6,1/3
SJS,LAK,4,19,0.292,15,26,Kings,27,1/4,13,0.708,22,3,28,Sharks,25,0/5
ANA,SJS,3,7,0.451,24,28,Sharks,19,1/4,13,0.5489999999999999,22,1,24,Ducks,21,0/3
SJS,ANA,3,16,0.33799999999999997,27,24,Ducks,24,1/4,8,0.662,27,2,28,Sharks,24,1/4
SJS,VGK,0,8,0.444,31,54,Golden Knights,6,0/2,14,0.556,34,4,28,Sharks,4,1/3
SJS,WPG,3,14,0.41200000000000003,26,52,Jets,17,0/3,21,0.588,33,4,28,Sharks,13,2/5
MTL,SJS,5,19,0.62,20,28,Sharks,6,2/4,11,0.38,31,0,8,Canadiens,10,0/2
OTT,SJS,2,19,0.473,28,28,Sharks,10,1/3,17,0.527,39,1,9,Senators,10,0/3
TOR,SJS,5,18,0.47600000000000003,23,28,Sharks,4,0/3,11,0.524,10,3,10,Maple Leafs,6,0/2
BOS,SJS,3,6,0.484,25,28,Sharks,13,0/2,14,0.516,23,4,6,Bruins,11,1/3
NSH,SJS,1,9,0.537,12,28,Sharks,2,0/3,16,0.46299999999999997,11,3,18,Predators,6,1/1
SJS,MTL,4,18,0.484,26,8,Canadiens,13,1/4,12,0.516,18,0,28,Sharks,23,0/4
SJS,WPG,1,10,0.62,20,52,Jets,8,0/0,16,0.38,15,2,28,Sharks,2,1/3
SJS,BUF,3,12,0.34600000000000003,19,7,Sabres,4,0/2,11,0.654,24,5,28,Sharks,6,0/1
SJS,STL,5,9,0.42100000000000004,15,19,Blues,10,0/4,13,0.579,11,3,28,Sharks,8,1/5
SJS,NJD,3,21,0.542,17,1,Devils,6,0/4,20,0.45799999999999996,22,2,28,Sharks,8,1/3
CGY,SJS,4,15,0.47600000000000003,17,28,Sharks,6,0/2,10,0.524,16,1,20,Flames,4,0/3
WPG,SJS,1,17,0.574,19,28,Sharks,13,0/0,16,0.426,28,4,52,Jets,7,0/3
COL,SJS,2,18,0.516,19,28,Sharks,10,1/2,11,0.484,13,6,21,Avalanche,4,1/5
MIN,SJS,4,18,0.588,13,28,Sharks,14,0/3,10,0.41200000000000003,18,1,30,Wild,16,0/2
STL,SJS,1,17,0.483,18,28,Sharks,13,0/0,3,0.517,15,4,19,Blues,5,1/4
SJS,WSH,4,10,0.45,39,15,Capitals,8,1/3,4,0.55,40,0,28,Sharks,6,0/4
SJS,CAR,1,12,0.41200000000000003,19,12,Hurricanes,2,0/2,23,0.588,28,2,28,Sharks,4,0/1
SJS,OTT,3,14,0.462,24,9,Senators,17,0/4,21,0.5379999999999999,17,6,28,Sharks,15,1/5
SJS,TOR,4,12,0.596,17,10,Maple Leafs,8,1/2,9,0.40399999999999997,25,1,28,Sharks,6,0/3
CHI,SJS,2,32,0.532,32,28,Sharks,4,0/1,18,0.46799999999999997,25,0,16,Blackhawks,2,0/2
NJD,SJS,5,15,0.586,23,28,Sharks,2,1/3,20,0.414,21,2,1,Devils,6,0/1
NYI,SJS,2,18,0.447,20,28,Sharks,0,0/3,17,0.5529999999999999,30,1,2,Islanders,6,0/0
NYR,SJS,0,17,0.578,14,28,Sharks,6,0/2,9,0.42200000000000004,22,1,3,Rangers,4,1/3
CBJ,SJS,4,16,0.493,10,28,Sharks,2,0/0,11,0.507,25,6,29,Blue Jackets,0,0/1
SJS,CGY,3,16,0.5920000000000001,23,20,Flames,4,0/3,22,0.408,21,5,28,Sharks,6,2/2
SJS,MIN,5,10,0.429,19,30,Wild,6,2/3,14,0.5710000000000001,31,2,28,Sharks,6,1/3
