abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
STL,MIN,2,9,0.46799999999999997,17,30,Wild,2,0/1,13,0.532,15,6,19,Blues,2,0/1
STL,DAL,1,18,0.5379999999999999,16,25,Stars,8,0/3,7,0.462,13,2,19,Blues,8,1/3
CBJ,STL,2,9,0.365,20,19,Blues,11,1/2,12,0.635,6,5,29,Blue Jackets,9,1/3
CHI,STL,6,13,0.37,34,19,Blues,16,1/3,12,0.63,32,3,16,Blackhawks,16,1/3
STL,CHI,5,0,0.0,0,16,Blackhawks,6,0/5,0,0.0,0,1,19,Blues,10,0/3
DAL,STL,1,11,0.574,13,19,Blues,6,0/4,12,0.426,12,3,25,Stars,8,0/3
MIN,STL,3,12,0.40299999999999997,6,19,Blues,13,0/3,6,0.597,16,4,30,Wild,11,1/4
STL,CBJ,3,7,0.5329999999999999,11,29,Blue Jackets,6,0/2,7,0.467,9,7,19,Blues,4,1/3
COL,STL,5,15,0.484,14,19,Blues,11,1/2,8,0.516,11,3,21,Avalanche,9,0/3
ARI,STL,7,13,0.491,15,19,Blues,16,1/2,6,0.509,12,4,53,Coyotes,18,1/4
VGK,STL,3,12,0.5820000000000001,31,19,Blues,4,0/3,20,0.418,13,1,54,Golden Knights,6,0/2
STL,LAK,3,13,0.47,7,26,Kings,14,0/4,7,0.53,17,7,19,Blues,8,4/7
STL,LAK,0,13,0.418,14,26,Kings,4,0/3,7,0.5820000000000001,21,3,19,Blues,6,0/2
STL,COL,4,14,0.46799999999999997,22,21,Avalanche,19,1/5,21,0.532,24,3,19,Blues,37,0/1
STL,CHI,0,15,0.45299999999999996,22,16,Blackhawks,6,0/2,15,0.547,17,1,19,Blues,4,1/3
LAK,STL,2,20,0.414,22,19,Blues,10,1/1,11,0.586,18,3,26,Kings,4,0/4
SJS,STL,5,9,0.42100000000000004,15,19,Blues,10,0/4,13,0.579,11,3,28,Sharks,8,1/5
ANA,STL,1,8,0.569,15,19,Blues,14,0/1,15,0.431,27,4,24,Ducks,2,1/2
WPG,STL,3,14,0.48100000000000004,15,19,Blues,4,1/1,14,0.519,20,2,52,Jets,2,0/2
STL,NSH,4,16,0.45,29,18,Predators,7,0/0,11,0.55,26,3,19,Blues,5,1/1
CAR,STL,2,9,0.529,23,19,Blues,4,1/4,6,0.47100000000000003,10,3,12,Hurricanes,8,1/2
STL,EDM,5,5,0.623,13,22,Oilers,10,1/3,6,0.377,11,4,19,Blues,6,1/5
STL,ARI,3,12,0.484,14,53,Coyotes,8,2/2,8,0.516,7,2,19,Blues,6,0/3
STL,SJS,1,17,0.483,18,28,Sharks,13,0/0,3,0.517,15,4,19,Blues,5,1/4
DAL,STL,1,8,0.39299999999999996,11,19,Blues,8,1/6,11,0.607,18,4,25,Stars,12,1/4
STL,VGK,2,14,0.444,16,54,Golden Knights,4,0/3,6,0.556,24,5,19,Blues,6,1/2
DET,STL,2,13,0.456,15,19,Blues,0,1/3,16,0.544,13,4,17,Red Wings,6,0/0
CHI,STL,2,16,0.51,17,19,Blues,11,1/1,13,0.49,33,3,16,Blackhawks,7,0/3
STL,CBJ,3,5,0.536,13,29,Blue Jackets,4,2/4,17,0.46399999999999997,13,6,19,Blues,10,0/2
STL,TBL,3,13,0.475,17,14,Lightning,8,1/3,14,0.525,15,4,19,Blues,8,1/3
TBL,STL,2,9,0.456,25,19,Blues,6,2/4,22,0.544,23,4,14,Lightning,8,1/3
FLA,STL,3,17,0.524,24,19,Blues,10,0/1,8,0.47600000000000003,19,4,13,Panthers,4,0/4
STL,FLA,3,8,0.5,12,13,Panthers,12,0/5,16,0.5,23,4,19,Blues,12,1/5
STL,DET,2,10,0.628,16,17,Red Wings,6,0/1,13,0.37200000000000005,11,6,19,Blues,2,0/3
STL,MTL,1,8,0.5,35,8,Canadiens,6,0/1,6,0.5,16,4,19,Blues,2,2/3
STL,ANA,3,7,0.563,16,24,Ducks,2,0/1,9,0.43799999999999994,15,2,19,Blues,2,0/1
DAL,STL,4,11,0.564,25,19,Blues,2,2/5,14,0.436,17,1,25,Stars,10,0/1
STL,DAL,1,8,0.525,22,25,Stars,4,0/3,20,0.475,38,4,19,Blues,6,1/2
WPG,STL,2,13,0.5820000000000001,27,19,Blues,11,0/3,10,0.418,29,4,52,Jets,11,1/3
STL,EDM,2,8,0.44,14,22,Oilers,8,0/1,10,0.56,16,4,19,Blues,2,1/4
MIN,STL,6,14,0.484,13,19,Blues,8,1/3,9,0.516,17,4,30,Wild,6,0/4
PIT,STL,3,14,0.433,25,19,Blues,22,1/1,9,0.5670000000000001,28,5,5,Penguins,4,2/5
STL,WSH,1,8,0.51,11,15,Capitals,4,0/3,12,0.49,19,5,19,Blues,6,0/2
STL,DAL,1,14,0.531,17,25,Stars,10,0/3,7,0.469,21,2,19,Blues,6,2/5
STL,SEA,1,14,0.447,16,55,Kraken,10,0/3,6,0.5529999999999999,21,2,19,Blues,6,1/5
STL,TOR,6,10,0.61,13,10,Maple Leafs,6,1/3,10,0.39,24,5,19,Blues,8,0/2
STL,NSH,3,8,0.509,31,18,Predators,9,0/4,13,0.491,28,5,19,Blues,13,1/2
SEA,STL,5,21,0.581,19,19,Blues,12,1/4,12,0.419,22,0,55,Kraken,12,0/4
VAN,STL,3,20,0.585,24,19,Blues,8,1/3,8,0.415,23,1,23,Canucks,6,0/4
CGY,STL,1,12,0.396,16,19,Blues,10,0/2,7,0.604,13,7,20,Flames,4,2/5
STL,CGY,1,7,0.607,19,20,Flames,10,0/3,13,0.39299999999999996,18,5,19,Blues,8,1/4
STL,WPG,4,11,0.542,9,52,Jets,12,1/3,9,0.45799999999999996,19,1,19,Blues,8,1/5
STL,NJD,7,12,0.552,4,1,Devils,10,0/3,14,0.44799999999999995,25,4,19,Blues,8,0/4
STL,CHI,1,21,0.489,17,16,Blackhawks,6,1/3,13,0.511,25,5,19,Blues,6,1/3
OTT,STL,5,11,0.49200000000000005,17,19,Blues,8,1/4,18,0.508,19,2,9,Senators,8,1/4
MTL,STL,2,21,0.456,25,19,Blues,14,0/3,10,0.544,13,3,8,Canadiens,10,0/5
TOR,STL,6,16,0.38299999999999995,30,19,Blues,4,0/1,8,0.617,23,3,10,Maple Leafs,4,0/1
PHI,STL,4,16,0.33299999999999996,16,19,Blues,4,0/1,16,0.667,22,1,4,Flyers,2,0/2
STL,BUF,3,9,0.49,11,7,Sabres,8,1/5,13,0.51,15,5,19,Blues,12,1/3
CHI,STL,4,13,0.5,17,19,Blues,8,1/3,10,0.5,24,0,16,Blackhawks,8,0/3
