abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CAR,TBL,1,17,0.284,34,14,Lightning,6,0/3,7,0.716,21,3,12,Hurricanes,6,2/3
TBL,NSH,6,8,0.365,21,18,Predators,21,0/2,4,0.635,31,2,14,Lightning,11,1/7
TBL,CAR,5,12,0.485,18,12,Hurricanes,6,0/4,11,0.515,27,8,14,Lightning,8,1/3
NSH,TBL,1,19,0.544,16,14,Lightning,10,0/7,13,0.456,18,6,18,Predators,14,2/5
TBL,FLA,3,0,0.0,0,13,Panthers,49,0/4,0,0.0,0,2,14,Lightning,47,1/5
TBL,FLA,2,6,0.47200000000000003,22,13,Panthers,13,0/3,5,0.528,26,6,14,Lightning,11,2/4
FLA,TBL,4,17,0.436,25,14,Lightning,8,2/5,14,0.564,20,2,13,Panthers,12,0/3
TBL,PIT,6,15,0.493,28,5,Penguins,2,0/1,11,0.507,31,2,14,Lightning,2,0/1
DET,TBL,7,10,0.536,13,14,Lightning,20,3/7,12,0.46399999999999997,16,6,17,Red Wings,26,1/5
WSH,TBL,2,15,0.518,19,14,Lightning,8,0/1,16,0.48200000000000004,17,1,15,Capitals,2,0/4
TBL,FLA,4,10,0.391,25,13,Panthers,12,1/3,15,0.609,26,1,14,Lightning,6,0/6
TBL,COL,4,7,0.47700000000000004,32,21,Avalanche,8,1/6,12,0.523,43,3,14,Lightning,14,0/3
BUF,TBL,1,8,0.451,17,14,Lightning,4,0/2,18,0.5489999999999999,12,5,7,Sabres,6,0/1
PIT,TBL,5,13,0.518,34,14,Lightning,15,0/2,11,0.48200000000000004,27,1,5,Penguins,11,1/4
TBL,ARI,1,10,0.607,19,53,Coyotes,20,0/3,7,0.39299999999999996,22,5,14,Lightning,28,1/4
TBL,WSH,2,13,0.426,27,15,Capitals,10,1/4,11,0.574,30,3,14,Lightning,10,1/4
TOR,TBL,1,19,0.491,20,14,Lightning,8,0/1,8,0.509,13,2,10,Maple Leafs,4,1/3
OTT,TBL,5,12,0.484,20,14,Lightning,8,1/2,10,0.516,29,3,9,Senators,4,0/4
TBL,CAR,2,8,0.65,31,12,Hurricanes,10,1/5,18,0.35,26,1,14,Lightning,12,0/4
TBL,FLA,2,6,0.544,25,13,Panthers,11,0/1,16,0.456,30,3,14,Lightning,11,1/1
TBL,NYI,1,11,0.556,41,2,Islanders,30,0/3,12,0.444,41,4,14,Lightning,38,1/4
PHI,TBL,4,20,0.48200000000000004,24,14,Lightning,4,1/3,20,0.518,20,3,4,Flyers,6,0/2
TBL,NJD,5,5,0.429,25,1,Devils,8,0/3,7,0.5710000000000001,26,3,14,Lightning,6,1/4
TBL,MIN,4,14,0.547,31,30,Wild,15,1/4,16,0.45299999999999996,26,5,14,Lightning,13,1/4
TBL,PHI,0,8,0.5589999999999999,28,4,Flyers,4,0/1,10,0.441,29,4,14,Lightning,2,0/2
TBL,SEA,0,17,0.513,38,55,Kraken,4,0/2,10,0.48700000000000004,31,3,14,Lightning,4,0/2
MIN,TBL,2,9,0.585,21,14,Lightning,6,0/3,15,0.415,27,4,30,Wild,6,0/3
STL,TBL,3,13,0.475,17,14,Lightning,8,1/3,14,0.525,15,4,19,Blues,8,1/3
TBL,STL,2,9,0.456,25,19,Blues,6,2/4,22,0.544,23,4,14,Lightning,8,1/3
BOS,TBL,3,19,0.418,31,14,Lightning,2,0/2,11,0.5820000000000001,33,2,6,Bruins,4,0/1
PHI,TBL,7,20,0.509,12,14,Lightning,10,1/2,10,0.491,21,1,4,Flyers,8,1/3
MTL,TBL,3,7,0.49,14,14,Lightning,19,0/3,21,0.51,18,2,8,Canadiens,13,0/1
TOR,TBL,5,15,0.33299999999999996,44,14,Lightning,4,1/3,9,0.667,25,3,10,Maple Leafs,6,2/2
OTT,TBL,0,11,0.545,25,14,Lightning,13,0/5,10,0.455,15,4,9,Senators,15,2/4
TBL,LAK,2,8,0.511,26,26,Kings,6,1/2,9,0.489,29,3,14,Lightning,4,0/3
TBL,OTT,1,8,0.5,33,9,Senators,10,0/2,9,0.5,27,2,14,Lightning,4,1/5
VGK,TBL,4,14,0.625,31,14,Lightning,4,1/2,16,0.375,22,3,54,Golden Knights,4,1/2
TBL,MTL,4,14,0.485,34,8,Canadiens,8,0/4,6,0.515,37,5,14,Lightning,8,0/4
FLA,TBL,3,13,0.5589999999999999,29,14,Lightning,42,1/4,11,0.441,40,9,13,Panthers,24,1/3
TBL,NYR,4,13,0.49200000000000005,29,3,Rangers,10,0/4,11,0.508,31,3,14,Lightning,10,1/4
NYR,TBL,0,3,0.38799999999999996,33,14,Lightning,8,0/2,18,0.612,23,4,3,Rangers,6,2/3
CBJ,TBL,7,11,0.491,14,14,Lightning,6,3/4,13,0.509,17,2,29,Blue Jackets,8,0/3
TBL,CGY,1,11,0.431,43,20,Flames,31,0/3,12,0.569,34,4,14,Lightning,25,0/3
TBL,BOS,5,9,0.541,26,6,Bruins,8,0/2,7,0.45899999999999996,31,2,14,Lightning,4,0/4
BUF,TBL,6,11,0.45799999999999996,7,14,Lightning,8,1/2,8,0.542,12,1,7,Sabres,4,1/4
TBL,VAN,2,9,0.519,22,23,Canucks,8,0/4,20,0.48100000000000004,29,4,14,Lightning,10,1/3
TBL,DAL,1,9,0.491,36,25,Stars,8,0/1,7,0.509,24,3,14,Lightning,4,1/3
LAK,TBL,6,10,0.5,28,14,Lightning,13,1/3,11,0.5,21,4,26,Kings,13,1/3
ANA,TBL,1,12,0.563,16,14,Lightning,17,0/7,14,0.43799999999999994,18,5,24,Ducks,19,1/5
SJS,TBL,7,10,0.608,9,14,Lightning,4,1/2,18,0.392,25,1,28,Sharks,4,0/2
TBL,NJD,2,6,0.41700000000000004,25,1,Devils,2,1/3,18,0.583,35,3,14,Lightning,6,1/1
TBL,VGK,3,14,0.537,27,54,Golden Knights,6,0/1,11,0.46299999999999997,39,2,14,Lightning,2,0/3
TBL,SJS,2,11,0.5329999999999999,43,28,Sharks,12,1/3,10,0.467,37,3,14,Lightning,10,1/4
COL,TBL,2,22,0.485,18,14,Lightning,8,0/3,21,0.515,23,3,21,Avalanche,8,0/3
ARI,TBL,4,15,0.529,16,14,Lightning,2,0/3,13,0.47100000000000003,23,3,53,Coyotes,6,0/1
NJD,TBL,6,17,0.524,20,14,Lightning,16,0/1,9,0.47600000000000003,16,3,1,Devils,22,1/3
TBL,EDM,3,9,0.5660000000000001,34,22,Oilers,8,1/1,12,0.434,29,5,14,Lightning,4,1/4
NSH,TBL,3,18,0.40700000000000003,26,14,Lightning,18,2/4,11,0.593,33,2,18,Predators,18,2/4
TBL,OTT,2,11,0.473,27,9,Senators,26,0/4,5,0.527,28,5,14,Lightning,26,1/4
TBL,PIT,5,12,0.508,15,5,Penguins,21,1/3,16,0.49200000000000005,29,1,14,Lightning,25,0/1
TBL,DET,1,10,0.47200000000000003,23,17,Red Wings,8,0/2,10,0.528,31,3,14,Lightning,4,3/4
CHI,TBL,6,16,0.565,22,14,Lightning,6,0/2,11,0.435,20,3,16,Blackhawks,4,0/3
WPG,TBL,4,13,0.551,17,14,Lightning,10,0/3,12,0.449,21,7,52,Jets,8,1/4
CGY,TBL,1,13,0.5,14,14,Lightning,10,0/3,14,0.5,17,4,20,Flames,6,1/4
EDM,TBL,1,16,0.425,25,14,Lightning,19,0/4,7,0.575,26,4,22,Oilers,13,1/7
VAN,TBL,2,18,0.509,23,14,Lightning,6,0/2,6,0.491,23,1,23,Canucks,6,0/2
SEA,TBL,4,9,0.519,15,14,Lightning,10,2/6,16,0.48100000000000004,9,1,55,Kraken,12,1/5
TBL,NYR,2,10,0.44,30,3,Rangers,13,1/6,9,0.56,36,1,14,Lightning,19,1/3
CAR,TBL,2,11,0.629,26,14,Lightning,12,0/2,10,0.371,21,3,12,Hurricanes,8,2/4
BOS,TBL,2,14,0.435,26,14,Lightning,14,0/3,12,0.565,29,3,6,Bruins,10,0/5
DET,TBL,2,17,0.639,20,14,Lightning,10,2/3,20,0.361,17,1,17,Red Wings,6,0/5
NYI,TBL,4,15,0.45899999999999996,17,14,Lightning,15,1/4,16,0.541,13,1,2,Islanders,17,0/3
TBL,CAR,3,8,0.475,27,12,Hurricanes,12,0/2,9,0.525,37,4,14,Lightning,8,3/4
TBL,CHI,2,13,0.5429999999999999,19,16,Blackhawks,4,1/4,7,0.457,25,5,14,Lightning,8,0/2
TBL,MTL,5,15,0.532,32,8,Canadiens,6,0/2,12,0.46799999999999997,30,4,14,Lightning,4,2/3
TBL,TOR,6,10,0.426,39,10,Maple Leafs,14,0/1,9,0.574,42,2,14,Lightning,12,0/2
WSH,TBL,3,19,0.452,37,14,Lightning,12,1/3,22,0.5479999999999999,30,4,15,Capitals,10,2/5
TBL,BOS,2,13,0.48200000000000004,32,6,Bruins,10,0/3,9,0.518,36,1,14,Lightning,6,0/5
TBL,BUF,0,11,0.396,30,7,Sabres,4,0/2,8,0.604,27,5,14,Lightning,4,0/2
DAL,TBL,0,17,0.49200000000000005,15,14,Lightning,11,0/3,21,0.508,12,1,25,Stars,11,0/3
TBL,ANA,3,17,0.48100000000000004,34,24,Ducks,6,0/1,7,0.519,24,4,14,Lightning,2,0/3
TBL,WPG,4,13,0.511,31,52,Jets,18,1/1,9,0.489,29,7,14,Lightning,16,1/2
TBL,DET,4,14,0.45799999999999996,27,17,Red Wings,6,0/2,11,0.542,18,3,14,Lightning,4,1/3
TBL,TOR,1,13,0.49200000000000005,26,10,Maple Leafs,65,1/5,17,0.508,34,8,14,Lightning,49,3/5
TBL,NSH,2,14,0.557,35,18,Predators,13,2/4,15,0.44299999999999995,27,6,14,Lightning,17,2/2
FLA,TBL,8,21,0.521,29,14,Lightning,24,3/7,13,0.479,35,4,13,Panthers,66,1/6
TBL,CBJ,1,8,0.5,31,29,Blue Jackets,4,1/3,25,0.5,29,4,14,Lightning,6,1/2
CBJ,TBL,2,8,0.375,14,14,Lightning,10,2/7,11,0.625,9,5,29,Blue Jackets,16,1/4
NYI,TBL,6,13,0.509,19,14,Lightning,2,1/1,12,0.491,14,4,2,Islanders,2,1/1
TOR,TBL,0,10,0.442,56,14,Lightning,51,0/5,26,0.5579999999999999,36,5,10,Maple Leafs,62,1/6
TOR,TBL,5,17,0.44799999999999995,39,14,Lightning,8,3/7,8,0.552,36,3,10,Maple Leafs,14,0/4
TBL,TOR,5,17,0.508,36,10,Maple Leafs,6,1/5,9,0.49200000000000005,41,2,14,Lightning,10,1/3
TBL,TOR,3,21,0.589,40,10,Maple Leafs,30,1/3,8,0.41100000000000003,32,7,14,Lightning,22,1/8
TOR,TBL,3,16,0.382,41,14,Lightning,12,1/5,7,0.618,31,4,10,Maple Leafs,10,1/6
TBL,TOR,3,21,0.534,48,10,Maple Leafs,8,0/1,21,0.466,60,4,14,Lightning,4,1/3
TOR,TBL,2,26,0.387,37,14,Lightning,6,0/2,13,0.613,39,1,10,Maple Leafs,4,0/3
FLA,TBL,4,16,0.49200000000000005,30,14,Lightning,8,3/6,11,0.508,30,1,13,Panthers,14,0/3
FLA,TBL,2,24,0.43200000000000005,35,14,Lightning,8,1/3,14,0.568,52,1,13,Panthers,6,0/4
TBL,FLA,1,10,0.5539999999999999,45,13,Panthers,4,1/3,19,0.446,33,5,14,Lightning,6,0/2
TBL,FLA,0,9,0.418,41,13,Panthers,8,0/3,18,0.5820000000000001,29,2,14,Lightning,6,0/4
NYR,TBL,2,15,0.4,26,14,Lightning,14,0/3,13,0.6,26,6,3,Rangers,16,1/2
NYR,TBL,2,17,0.583,32,14,Lightning,8,1/1,18,0.41700000000000004,23,3,3,Rangers,2,0/4
TBL,NYR,2,19,0.509,37,3,Rangers,12,2/5,9,0.491,38,3,14,Lightning,12,2/4
TBL,NYR,1,11,0.483,35,3,Rangers,13,1/2,17,0.517,27,4,14,Lightning,11,0/3
