abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WSH,BOS,3,17,0.507,19,6,Bruins,10,0/3,14,0.493,21,2,15,Capitals,14,0/4
WSH,NJD,5,13,0.33899999999999997,18,1,Devils,8,1/5,8,0.6609999999999999,18,4,15,Capitals,10,2/4
PHI,WSH,1,12,0.36200000000000004,19,15,Capitals,8,1/3,11,0.638,23,3,4,Flyers,8,1/3
NJD,WSH,1,15,0.396,17,15,Capitals,10,1/3,5,0.604,16,4,1,Devils,6,2/5
BOS,WSH,4,6,0.39,17,15,Capitals,6,1/7,6,0.61,20,3,6,Bruins,14,0/3
WSH,PHI,3,8,0.657,22,4,Flyers,18,0/4,9,0.34299999999999997,21,5,15,Capitals,20,1/3
WSH,NYR,1,8,0.608,27,3,Rangers,18,1/5,15,0.392,12,5,15,Capitals,16,3/6
WSH,TBL,2,15,0.518,19,14,Lightning,8,0/1,16,0.48200000000000004,17,1,15,Capitals,2,0/4
WSH,COL,3,14,0.44799999999999995,15,21,Avalanche,8,1/4,11,0.552,20,6,15,Capitals,10,0/3
NJD,WSH,4,16,0.563,11,15,Capitals,4,0/3,9,0.43799999999999994,18,1,1,Devils,8,1/1
WSH,CGY,4,22,0.508,25,20,Flames,8,1/3,18,0.49200000000000005,23,3,15,Capitals,6,0/4
OTT,WSH,7,12,0.38,30,15,Capitals,16,0/1,17,0.62,25,5,9,Senators,14,1/3
WSH,DET,3,6,0.5770000000000001,12,17,Red Wings,8,0/2,11,0.423,10,2,15,Capitals,4,2/4
WSH,ARI,0,13,0.5,19,53,Coyotes,12,0/3,17,0.5,16,2,15,Capitals,6,1/6
TBL,WSH,2,13,0.426,27,15,Capitals,10,1/4,11,0.574,30,3,14,Lightning,10,1/4
FLA,WSH,4,13,0.511,36,15,Capitals,6,0/2,9,0.489,29,5,13,Panthers,4,1/3
WSH,PHI,2,12,0.529,15,4,Flyers,6,0/1,20,0.47100000000000003,19,1,15,Capitals,2,0/3
WSH,BUF,3,6,0.441,11,7,Sabres,6,0/3,15,0.5589999999999999,20,5,15,Capitals,6,1/3
DET,WSH,2,15,0.48,17,15,Capitals,8,0/4,8,0.52,11,0,17,Red Wings,8,0/4
CBJ,WSH,4,16,0.389,27,15,Capitals,4,0/1,13,0.611,12,3,29,Blue Jackets,2,0/2
WSH,PIT,1,18,0.51,18,5,Penguins,6,0/2,12,0.49,27,6,15,Capitals,4,1/3
ANA,WSH,2,14,0.327,22,15,Capitals,2,0/0,15,0.6729999999999999,23,3,24,Ducks,10,0/1
LAK,WSH,2,15,0.4,33,15,Capitals,6,0/2,13,0.6,20,0,26,Kings,8,0/1
SJS,WSH,4,10,0.45,39,15,Capitals,8,1/3,4,0.55,40,0,28,Sharks,6,0/4
SEA,WSH,2,7,0.515,17,15,Capitals,2,0/4,12,0.485,21,5,55,Kraken,8,1/1
WSH,MTL,3,13,0.46399999999999997,22,8,Canadiens,2,0/3,7,0.536,20,6,15,Capitals,6,1/1
WSH,FLA,3,13,0.47600000000000003,13,13,Panthers,6,0/3,12,0.524,21,4,15,Capitals,6,1/3
CAR,WSH,4,13,0.452,30,15,Capitals,8,1/5,14,0.5479999999999999,23,2,12,Hurricanes,12,0/3
FLA,WSH,4,7,0.485,35,15,Capitals,12,0/2,10,0.515,35,5,13,Panthers,8,2/4
WSH,CHI,4,14,0.5,22,16,Blackhawks,2,1/2,15,0.5,32,3,15,Capitals,4,0/1
WSH,CBJ,1,19,0.659,18,29,Blue Jackets,2,0/0,14,0.341,30,3,15,Capitals,0,0/1
WSH,ANA,3,15,0.509,24,24,Ducks,7,0/1,10,0.491,27,4,15,Capitals,7,0/1
WSH,PIT,4,12,0.593,24,5,Penguins,4,0/1,11,0.40700000000000003,32,2,15,Capitals,2,0/2
BUF,WSH,3,8,0.38299999999999995,20,15,Capitals,2,0/3,14,0.617,10,2,7,Sabres,6,0/1
CHI,WSH,4,14,0.37,29,15,Capitals,12,1/3,16,0.63,20,5,16,Blackhawks,6,3/6
WPG,WSH,5,20,0.484,16,15,Capitals,6,0/2,12,0.516,26,2,52,Jets,4,1/3
WSH,LAK,3,24,0.614,34,26,Kings,21,0/4,12,0.386,30,2,15,Capitals,17,0/6
WSH,NSH,3,17,0.5589999999999999,25,18,Predators,41,0/4,14,0.441,20,5,15,Capitals,27,0/6
DET,WSH,3,15,0.348,19,15,Capitals,8,1/3,13,0.652,18,1,17,Red Wings,8,0/3
WSH,NJD,4,17,0.532,13,1,Devils,6,0/1,14,0.46799999999999997,29,3,15,Capitals,6,0/1
STL,WSH,1,8,0.51,11,15,Capitals,4,0/3,12,0.49,19,5,19,Blues,6,0/2
MIN,WSH,2,17,0.507,8,15,Capitals,2,1/5,13,0.493,15,3,30,Wild,10,0/1
WSH,BOS,7,11,0.5710000000000001,27,6,Bruins,6,2/4,12,0.429,35,3,15,Capitals,8,0/2
NYI,WSH,2,11,0.51,20,15,Capitals,6,0/2,14,0.49,26,0,2,Islanders,4,0/3
WSH,VAN,4,16,0.588,27,23,Canucks,8,2/4,20,0.41200000000000003,25,2,15,Capitals,12,2/2
WSH,WPG,3,13,0.54,18,52,Jets,4,1/4,12,0.46,21,4,15,Capitals,8,0/2
BOS,WSH,3,14,0.446,36,15,Capitals,6,0/4,17,0.5539999999999999,27,4,6,Bruins,8,2/3
WSH,OTT,2,17,0.28300000000000003,26,9,Senators,4,0/2,16,0.7170000000000001,33,3,15,Capitals,4,0/2
WSH,VGK,1,14,0.508,22,54,Golden Knights,10,0/4,14,0.49200000000000005,31,0,15,Capitals,8,0/5
WSH,SJS,4,23,0.542,35,28,Sharks,11,0/1,11,0.45799999999999996,40,1,15,Capitals,7,0/3
DAL,WSH,5,19,0.373,14,15,Capitals,6,2/2,12,0.627,17,0,25,Stars,4,0/3
PIT,WSH,4,17,0.485,28,15,Capitals,10,1/2,12,0.515,20,3,5,Penguins,4,3/5
WSH,EDM,5,14,0.47200000000000003,26,22,Oilers,6,1/1,13,0.528,19,3,15,Capitals,2,0/3
WSH,CBJ,5,18,0.381,27,29,Blue Jackets,8,2/3,11,0.619,17,4,15,Capitals,6,1/4
MTL,WSH,5,15,0.509,15,15,Capitals,10,0/3,11,0.491,32,2,8,Canadiens,6,1/5
WSH,OTT,4,21,0.40700000000000003,29,9,Senators,13,0/5,14,0.593,36,1,15,Capitals,15,1/4
NSH,WSH,4,17,0.452,21,15,Capitals,4,1/4,9,0.5479999999999999,37,1,18,Predators,8,0/2
PHI,WSH,5,15,0.39,14,15,Capitals,25,1/3,14,0.61,22,3,4,Flyers,13,1/4
