abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WPG,OTT,3,10,0.48,20,9,Senators,35,0/4,10,0.52,24,2,52,Jets,20,1/5
WPG,EDM,1,17,0.467,15,22,Oilers,4,0/2,18,0.5329999999999999,24,5,52,Jets,4,0/2
EDM,WPG,3,10,0.365,24,52,Jets,8,0/1,13,0.635,17,4,22,Oilers,6,1/3
VAN,WPG,2,15,0.51,25,52,Jets,26,0/3,8,0.49,21,3,23,Canucks,10,0/6
WPG,CGY,2,10,0.46799999999999997,21,20,Flames,22,1/2,19,0.532,17,3,52,Jets,16,1/5
CGY,WPG,1,10,0.491,10,52,Jets,10,0/4,6,0.509,6,3,20,Flames,10,2/4
ANA,WPG,1,6,0.528,25,52,Jets,14,0/5,19,0.47200000000000003,17,4,24,Ducks,24,2/5
SJS,WPG,3,14,0.41200000000000003,26,52,Jets,17,0/3,21,0.588,33,4,28,Sharks,13,2/5
MIN,WPG,5,16,0.39299999999999996,16,52,Jets,17,2/6,22,0.607,25,6,30,Wild,19,3/5
WPG,ANA,1,12,0.52,23,24,Ducks,4,1/3,18,0.48,26,5,52,Jets,6,1/2
WPG,NSH,4,11,0.373,23,18,Predators,11,2/4,22,0.627,24,6,52,Jets,13,2/3
ANA,WPG,4,11,0.542,34,52,Jets,6,0/1,14,0.45799999999999996,19,3,24,Ducks,2,0/3
LAK,WPG,3,12,0.37200000000000005,35,52,Jets,4,1/4,11,0.628,21,2,26,Kings,8,0/2
SJS,WPG,1,10,0.62,20,52,Jets,8,0/0,16,0.38,15,2,28,Sharks,2,1/3
WPG,DAL,3,16,0.5,23,25,Stars,8,1/2,12,0.5,21,4,52,Jets,4,2/4
WPG,CHI,1,14,0.469,25,16,Blackhawks,6,0/2,14,0.531,24,5,52,Jets,4,1/3
WPG,NYI,2,19,0.423,26,2,Islanders,7,0/1,7,0.5770000000000001,21,0,52,Jets,7,0/1
WPG,STL,3,14,0.48100000000000004,15,19,Blues,4,1/1,14,0.519,20,2,52,Jets,2,0/2
WPG,SJS,1,17,0.574,19,28,Sharks,13,0/0,16,0.426,28,4,52,Jets,7,0/3
WPG,LAK,2,11,0.5,19,26,Kings,2,0/2,15,0.5,39,3,52,Jets,4,0/1
WPG,EDM,2,9,0.55,14,22,Oilers,8,2/4,15,0.45,25,5,52,Jets,8,1/4
EDM,WPG,1,11,0.45899999999999996,17,52,Jets,11,0/5,15,0.541,39,2,22,Oilers,17,0/2
VAN,WPG,2,7,0.327,24,52,Jets,8,0/0,18,0.6729999999999999,22,3,23,Canucks,2,2/3
WPG,PIT,3,7,0.551,25,5,Penguins,4,0/2,13,0.449,23,1,52,Jets,4,0/2
CBJ,WPG,0,5,0.5760000000000001,22,52,Jets,8,0/4,16,0.424,8,3,29,Blue Jackets,10,1/3
MIN,WPG,1,8,0.547,11,52,Jets,10,1/3,11,0.45299999999999996,6,7,30,Wild,8,0/4
CGY,WPG,4,18,0.47200000000000003,12,52,Jets,8,0/3,7,0.528,16,2,20,Flames,19,1/4
WPG,ARI,1,16,0.449,15,53,Coyotes,12,0/1,6,0.551,16,0,52,Jets,2,0/6
WPG,NJD,4,11,0.373,20,1,Devils,8,1/2,11,0.627,30,8,52,Jets,4,1/4
WPG,TOR,3,7,0.47700000000000004,15,10,Maple Leafs,31,2/5,18,0.523,25,6,52,Jets,21,3/5
WPG,CAR,4,15,0.5710000000000001,25,12,Hurricanes,23,2/3,20,0.429,31,2,52,Jets,6,1/5
SEA,WPG,3,17,0.473,10,52,Jets,10,0/2,14,0.527,13,0,55,Kraken,4,0/5
VAN,WPG,3,16,0.45299999999999996,22,52,Jets,4,1/3,15,0.547,28,4,23,Canucks,6,0/2
WPG,BUF,4,11,0.38799999999999996,17,7,Sabres,6,1/2,3,0.612,27,2,52,Jets,4,0/3
WPG,WSH,5,20,0.484,16,15,Capitals,6,0/2,12,0.516,26,2,52,Jets,4,1/3
WPG,STL,2,13,0.5820000000000001,27,19,Blues,11,0/3,10,0.418,29,4,52,Jets,11,1/3
VGK,WPG,5,20,0.483,31,52,Jets,2,1/3,21,0.517,20,4,54,Golden Knights,6,0/1
ARI,WPG,3,15,0.542,21,52,Jets,6,1/4,12,0.45799999999999996,20,1,53,Coyotes,10,0/2
COL,WPG,1,12,0.528,15,52,Jets,14,1/5,14,0.47200000000000003,24,7,21,Avalanche,16,3/4
DET,WPG,3,18,0.397,14,52,Jets,14,0/1,22,0.603,10,0,17,Red Wings,6,0/5
WSH,WPG,3,13,0.54,18,52,Jets,4,1/4,12,0.46,21,4,15,Capitals,8,0/2
