home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Philadelphia Flyers,32,32,0.0,0.0,6.0,0.5660000000000001,12,6,4,35,2,Boston Bruins,1
Boston Bruins,2,26,0.0,0.0,4.0,0.519,10,3,6,32,3,New York Rangers,2
Boston Bruins,15,21,0.0,0.0,4.0,0.513,6,5,6,15,4,Philadelphia Flyers,0
New Jersey Devils,4,24,0.0,0.0,4.0,0.691,9,7,5,23,1,Boston Bruins,0
New York Rangers,8,26,0.0,0.0,2.0,0.447,8,5,1,27,4,Boston Bruins,5
Boston Bruins,4,27,0.0,0.0,2.0,0.254,11,6,13,21,3,New Jersey Devils,5
Washington Capitals,8,30,0.33299999999999996,1.0,3.0,0.627,20,6,8,32,2,Boston Bruins,5
Boston Bruins,11,24,0.33299999999999996,1.0,3.0,0.446,18,6,5,29,6,Arizona Coyotes,3
Boston Bruins,10,41,0.0,0.0,4.0,0.35600000000000004,19,1,3,22,5,Florida Panthers,3
Ottawa Senators,13,34,0.33299999999999996,1.0,3.0,0.5,13,4,10,23,7,Boston Bruins,5
Boston Bruins,10,31,0.0,0.0,4.0,0.364,15,7,6,18,1,Anaheim Ducks,1
Boston Bruins,10,27,0.2,1.0,5.0,0.39,20,4,4,21,4,Minnesota Wild,3
Boston Bruins,13,31,0.0,0.0,3.0,0.47200000000000003,5,10,12,32,3,Dallas Stars,1
Boston Bruins,14,29,0.0,0.0,5.0,0.517,9,8,5,34,5,Detroit Red Wings,1
Columbus Blue Jackets,6,35,0.0,0.0,2.0,0.5820000000000001,19,4,4,23,0,Boston Bruins,4
Pittsburgh Penguins,8,40,0.33299999999999996,1.0,3.0,0.551,21,6,4,38,5,Boston Bruins,6
New York Rangers,24,37,0.0,0.0,3.0,0.61,11,9,18,21,2,Boston Bruins,5
Toronto Maple Leafs,6,21,0.33299999999999996,1.0,3.0,0.455,9,6,6,47,2,Boston Bruins,1
Boston Bruins,6,27,0.0,0.0,3.0,0.434,19,6,11,33,3,St. Louis Blues,1
Boston Bruins,15,32,0.0,0.0,6.0,0.321,7,6,6,25,3,Calgary Flames,1
Buffalo Sabres,8,30,0.33299999999999996,1.0,3.0,0.475,12,4,5,14,1,Boston Bruins,3
Boston Bruins,22,31,0.33299999999999996,2.0,6.0,0.36200000000000004,15,5,6,16,5,Vancouver Canucks,2
