home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Washington Capitals,4,28,0.5,2.0,4.0,0.4,11,3,5,13,3,Buffalo Sabres,4
Buffalo Sabres,11,21,0.0,0.0,3.0,0.575,7,5,4,10,2,Philadelphia Flyers,1
Columbus Blue Jackets,2,23,0.0,0.0,4.0,0.5,11,3,3,10,4,Buffalo Sabres,1
Buffalo Sabres,14,33,0.0,0.0,3.0,0.439,9,2,5,8,3,Pittsburgh Penguins,1
Buffalo Sabres,7,25,0.0,0.0,4.0,0.625,12,4,2,9,4,Carolina Hurricanes,2
Pittsburgh Penguins,4,23,0.0,0.0,0.0,0.537,14,7,5,19,7,Buffalo Sabres,1
Buffalo Sabres,8,36,0.0,0.0,4.0,0.551,10,6,3,18,4,Ottawa Senators,1
Buffalo Sabres,12,37,0.33299999999999996,2.0,6.0,0.47600000000000003,10,4,5,11,3,Florida Panthers,4
Edmonton Oilers,10,24,0.25,1.0,4.0,0.444,13,12,11,16,2,Buffalo Sabres,4
Calgary Flames,2,32,0.2,1.0,5.0,0.561,12,8,6,11,3,Buffalo Sabres,6
Vancouver Canucks,8,27,1.0,1.0,1.0,0.446,18,13,7,17,1,Buffalo Sabres,5
Seattle Kraken,6,16,0.0,0.0,4.0,0.6729999999999999,7,5,7,12,5,Buffalo Sabres,1
Buffalo Sabres,8,34,0.0,0.0,3.0,0.569,13,7,2,6,2,Montréal Canadiens,3
Buffalo Sabres,6,26,0.25,1.0,4.0,0.725,23,10,4,11,4,Chicago Blackhawks,3
Buffalo Sabres,12,18,0.0,0.0,1.0,0.508,12,9,3,20,8,Detroit Red Wings,3
Buffalo Sabres,10,21,0.33299999999999996,1.0,3.0,0.542,12,3,3,12,6,Pittsburgh Penguins,3
Carolina Hurricanes,10,25,0.2,1.0,5.0,0.38799999999999996,9,7,3,17,5,Buffalo Sabres,3
Tampa Bay Lightning,4,24,0.33299999999999996,1.0,3.0,0.508,10,10,9,44,5,Buffalo Sabres,3
Buffalo Sabres,12,24,0.33299999999999996,1.0,3.0,0.397,9,6,5,15,1,Arizona Coyotes,4
Buffalo Sabres,6,36,0.5,1.0,2.0,0.586,24,11,3,15,4,Vegas Golden Knights,7
Buffalo Sabres,8,30,0.33299999999999996,1.0,3.0,0.475,12,4,5,14,1,Boston Bruins,3
Buffalo Sabres,6,32,0.667,2.0,3.0,0.562,19,9,2,11,4,Vancouver Canucks,5
