abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CHI,STL,4,13,0.44,16,19,Blues,10,3/3,6,0.56,12,1,16,Blackhawks,10,0/3
DET,CHI,4,10,0.43200000000000005,25,16,Blackhawks,6,1/4,9,0.568,36,2,17,Red Wings,8,0/3
CHI,DET,3,10,0.435,15,17,Red Wings,8,0/4,5,0.565,21,0,16,Blackhawks,10,0/3
CHI,MIN,3,0,0.0,0,30,Wild,14,0/3,0,0.0,0,0,16,Blackhawks,8,0/5
MIN,CHI,1,6,0.489,15,16,Blackhawks,6,0/6,11,0.511,17,4,30,Wild,14,0/2
STL,CHI,0,8,0.391,20,16,Blackhawks,8,0/5,7,0.609,18,6,19,Blues,10,1/4
COL,CHI,2,15,0.612,33,16,Blackhawks,17,2/3,12,0.38799999999999996,32,5,21,Avalanche,11,4/6
VGK,CHI,0,22,0.509,41,16,Blackhawks,6,0/2,19,0.491,20,1,54,Golden Knights,4,0/3
SJS,CHI,5,17,0.47200000000000003,21,16,Blackhawks,18,0/2,3,0.528,16,2,28,Sharks,6,0/3
CHI,DET,3,14,0.382,13,17,Red Wings,10,1/5,17,0.618,27,4,16,Blackhawks,14,0/3
CHI,SEA,4,10,0.305,8,55,Kraken,6,0/4,15,0.695,40,5,16,Blackhawks,8,2/3
CHI,FLA,2,6,0.41700000000000004,17,13,Panthers,6,0/6,20,0.583,29,4,16,Blackhawks,14,1/2
CHI,EDM,6,7,0.45299999999999996,14,22,Oilers,22,3/7,7,0.547,29,5,16,Blackhawks,18,2/10
BUF,CHI,3,23,0.725,11,16,Blackhawks,6,1/4,12,0.275,7,4,7,Sabres,8,2/3
CHI,MIN,4,11,0.375,15,30,Wild,11,0/2,14,0.625,28,3,16,Blackhawks,25,0/0
CHI,NYI,3,13,0.469,20,2,Islanders,21,1/4,17,0.531,25,1,16,Blackhawks,8,1/4
CHI,LAK,1,9,0.604,21,26,Kings,7,0/2,23,0.396,25,2,16,Blackhawks,9,0/1
WPG,CHI,0,13,0.519,27,16,Blackhawks,8,0/3,10,0.48100000000000004,24,4,52,Jets,6,3/4
LAK,CHI,1,22,0.684,35,16,Blackhawks,8,1/4,13,0.316,20,2,26,Kings,8,0/4
ANA,CHI,3,15,0.629,30,16,Blackhawks,8,0/1,7,0.371,18,2,24,Ducks,6,0/2
CHI,CAR,3,7,0.387,7,12,Hurricanes,8,0/3,12,0.613,11,0,16,Blackhawks,6,0/4
CHI,STL,5,18,0.42,10,19,Blues,6,0/2,9,0.58,10,2,16,Blackhawks,4,1/3
BOS,CHI,1,10,0.556,23,16,Blackhawks,6,1/3,10,0.444,16,6,6,Bruins,6,2/3
CHI,PIT,5,15,0.5479999999999999,19,5,Penguins,18,0/2,16,0.452,23,3,16,Blackhawks,14,0/4
DAL,CHI,4,30,0.462,13,16,Blackhawks,9,0/2,13,0.5379999999999999,23,6,25,Stars,9,1/2
CHI,MTL,3,15,0.431,13,8,Canadiens,8,1/2,12,0.569,23,2,16,Blackhawks,4,1/4
CHI,WPG,7,9,0.551,17,52,Jets,8,2/4,16,0.449,25,2,16,Blackhawks,12,1/2
CHI,EDM,5,16,0.391,14,22,Oilers,12,0/4,14,0.609,21,4,16,Blackhawks,8,2/6
NYR,CHI,5,20,0.46299999999999997,30,16,Blackhawks,35,3/4,15,0.537,31,2,3,Rangers,25,1/4
NYI,CHI,0,20,0.579,19,16,Blackhawks,9,0/1,15,0.42100000000000004,19,3,2,Islanders,7,0/2
NJD,CHI,0,22,0.521,13,16,Blackhawks,4,0/3,11,0.479,7,3,1,Devils,6,1/2
CHI,WPG,3,15,0.358,13,52,Jets,10,1/4,16,0.642,21,1,16,Blackhawks,12,0/3
CHI,WSH,7,14,0.39,16,15,Capitals,6,1/1,21,0.61,25,3,16,Blackhawks,2,1/3
CHI,VGK,4,16,0.457,20,54,Golden Knights,4,1/1,10,0.5429999999999999,23,1,16,Blackhawks,2,0/2
MIN,CHI,1,18,0.607,13,16,Blackhawks,6,1/5,12,0.39299999999999996,20,4,30,Wild,12,1/2
CHI,NYR,7,15,0.4,15,3,Rangers,2,1/1,7,0.6,24,1,16,Blackhawks,2,0/1
CHI,NSH,4,13,0.5,20,18,Predators,8,1/2,17,0.5,27,2,16,Blackhawks,4,0/4
CHI,CBJ,2,12,0.354,17,29,Blue Jackets,21,1/4,15,0.6459999999999999,19,5,16,Blackhawks,19,1/5
CAR,CHI,0,14,0.5579999999999999,30,16,Blackhawks,6,0/3,15,0.442,14,3,12,Hurricanes,6,0/3
STL,CHI,1,10,0.512,17,16,Blackhawks,6,1/2,13,0.488,22,3,19,Blues,4,0/3
CBJ,CHI,1,17,0.594,19,16,Blackhawks,6,0/5,5,0.406,20,4,29,Blue Jackets,10,1/3
CHI,SJS,5,15,0.49,16,28,Sharks,6,0/3,16,0.51,22,2,16,Blackhawks,6,0/3
CHI,TBL,4,20,0.44299999999999995,11,14,Lightning,12,1/4,14,0.557,18,1,16,Blackhawks,10,1/5
CHI,ARI,0,13,0.3,19,53,Coyotes,4,0/1,12,0.7,21,2,16,Blackhawks,2,0/2
CHI,CGY,3,14,0.5379999999999999,21,20,Flames,9,2/3,23,0.462,22,4,16,Blackhawks,13,0/1
CHI,COL,2,10,0.446,18,21,Avalanche,6,0/5,18,0.5539999999999999,31,3,16,Blackhawks,10,0/3
CHI,SEA,8,5,0.516,17,55,Kraken,4,0/2,10,0.484,26,5,16,Blackhawks,4,2/2
CHI,BUF,3,15,0.419,13,7,Sabres,12,0/2,12,0.581,28,4,16,Blackhawks,4,0/1
PHI,CHI,4,23,0.5,24,16,Blackhawks,4,0/0,16,0.5,22,1,4,Flyers,0,0/2
STL,CHI,5,15,0.48,33,16,Blackhawks,15,0/2,11,0.52,17,3,19,Blues,11,1/4
CHI,LAK,2,13,0.395,16,26,Kings,6,0/0,7,0.605,27,1,16,Blackhawks,2,0/2
VAN,CHI,2,17,0.522,22,16,Blackhawks,30,0/3,8,0.478,23,5,23,Canucks,16,0/5
CGY,CHI,5,18,0.561,17,16,Blackhawks,6,0/1,6,0.439,12,1,20,Flames,2,0/3
EDM,CHI,3,17,0.426,27,16,Blackhawks,11,1/3,17,0.574,21,7,22,Oilers,11,2/3
CHI,ANA,3,17,0.40399999999999997,15,24,Ducks,6,0/2,9,0.596,21,2,16,Blackhawks,4,0/2
CHI,ARI,3,10,0.462,25,53,Coyotes,4,0/2,12,0.5379999999999999,27,4,16,Blackhawks,4,0/2
WPG,CHI,1,18,0.49200000000000005,24,16,Blackhawks,11,0/3,21,0.508,14,4,52,Jets,11,1/3
MTL,CHI,0,19,0.48100000000000004,19,16,Blackhawks,16,0/4,14,0.519,13,4,8,Canadiens,28,1/3
TOR,CHI,2,11,0.442,42,16,Blackhawks,6,0/3,13,0.5579999999999999,25,5,10,Maple Leafs,6,0/3
OTT,CHI,4,15,0.508,30,16,Blackhawks,6,0/3,7,0.49200000000000005,38,3,9,Senators,6,0/3
CHI,TOR,3,7,0.5579999999999999,20,10,Maple Leafs,6,1/2,21,0.442,27,5,16,Blackhawks,4,0/3
CHI,VGK,2,15,0.534,18,54,Golden Knights,6,0/1,17,0.466,23,3,16,Blackhawks,12,1/3
DAL,CHI,4,22,0.563,17,16,Blackhawks,6,1/2,11,0.43799999999999994,13,3,25,Stars,4,1/3
SJS,CHI,4,19,0.39,17,16,Blackhawks,7,0/4,11,0.61,32,3,28,Sharks,13,0/1
ANA,CHI,2,15,0.46399999999999997,12,16,Blackhawks,10,2/4,10,0.536,11,4,24,Ducks,8,1/5
ARI,CHI,1,13,0.563,21,16,Blackhawks,7,0/2,15,0.43799999999999994,27,4,53,Coyotes,9,0/1
CHI,DAL,5,16,0.519,17,25,Stars,4,2/3,18,0.48100000000000004,26,2,16,Blackhawks,6,0/2
CHI,NSH,3,10,0.5379999999999999,25,18,Predators,8,1/3,11,0.462,27,1,16,Blackhawks,10,0/2
CHI,OTT,0,3,0.569,32,9,Senators,47,0/4,18,0.431,20,5,16,Blackhawks,15,0/5
DET,CHI,3,11,0.42200000000000004,18,16,Blackhawks,6,1/3,12,0.578,11,4,17,Red Wings,6,1/3
FLA,CHI,3,19,0.5660000000000001,18,16,Blackhawks,8,0/6,8,0.434,25,4,13,Panthers,22,1/4
TBL,CHI,1,14,0.429,36,16,Blackhawks,7,0/2,9,0.5710000000000001,30,3,14,Lightning,9,0/1
CHI,BOS,3,9,0.574,20,6,Bruins,6,0/2,10,0.426,36,6,16,Blackhawks,4,1/3
NSH,CHI,2,16,0.35100000000000003,28,16,Blackhawks,4,0/1,15,0.649,32,1,18,Predators,2,0/2
ARI,CHI,2,8,0.622,24,16,Blackhawks,6,1/5,17,0.37799999999999995,30,4,53,Coyotes,10,0/3
COL,CHI,0,16,0.456,22,16,Blackhawks,2,0/2,14,0.544,15,5,21,Avalanche,4,1/1
WSH,CHI,1,13,0.444,20,16,Blackhawks,8,0/5,14,0.556,13,6,15,Capitals,10,2/4
MIN,CHI,1,13,0.4,27,16,Blackhawks,4,0/2,7,0.6,25,3,30,Wild,6,0/1
CHI,VAN,4,11,0.5,21,23,Canucks,6,1/3,19,0.5,24,2,16,Blackhawks,6,0/3
CHI,DAL,4,8,0.574,8,25,Stars,7,1/4,12,0.426,23,1,16,Blackhawks,23,0/1
CHI,STL,5,19,0.609,24,19,Blues,6,0/2,14,0.391,16,3,16,Blackhawks,4,2/3
CHI,NJD,6,7,0.5489999999999999,14,1,Devils,2,0/1,23,0.451,27,3,16,Blackhawks,2,0/1
CGY,CHI,4,23,0.527,29,16,Blackhawks,2,0/0,9,0.473,17,3,20,Flames,0,0/1
VAN,CHI,0,8,0.545,35,16,Blackhawks,8,0/3,12,0.455,42,3,23,Canucks,8,1/3
SEA,CHI,3,12,0.581,13,16,Blackhawks,8,1/3,17,0.419,18,7,55,Kraken,8,1/3
CHI,MIN,4,31,0.35600000000000004,19,30,Wild,21,0/2,12,0.644,21,2,16,Blackhawks,9,0/3
PIT,CHI,5,26,0.39299999999999996,30,16,Blackhawks,10,0/2,6,0.607,20,2,5,Penguins,4,1/5
CHI,PHI,5,24,0.41700000000000004,21,4,Flyers,2,1/1,8,0.583,24,4,16,Blackhawks,2,1/1
