home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Pittsburgh Penguins,9,28,0.667,2.0,3.0,0.519,18,5,5,32,3,Columbus Blue Jackets,2
Columbus Blue Jackets,11,34,0.0,0.0,5.0,0.466,11,10,3,18,5,Pittsburgh Penguins,1
Columbus Blue Jackets,2,23,0.0,0.0,4.0,0.5,11,3,3,10,4,Buffalo Sabres,1
St. Louis Blues,18,35,0.0,0.0,3.0,0.5489999999999999,10,8,4,28,4,Columbus Blue Jackets,2
Columbus Blue Jackets,4,35,0.0,0.0,3.0,0.474,6,6,9,15,2,Washington Capitals,1
Carolina Hurricanes,12,26,0.0,0.0,1.0,0.484,16,6,4,23,8,Columbus Blue Jackets,1
Columbus Blue Jackets,9,24,0.0,0.0,2.0,0.436,13,2,3,9,7,St. Louis Blues,0
Washington Capitals,8,39,0.25,1.0,4.0,0.536,19,6,9,22,4,Columbus Blue Jackets,3
Carolina Hurricanes,4,32,0.0,0.0,2.0,0.39,22,10,11,26,4,Columbus Blue Jackets,1
Columbus Blue Jackets,8,39,0.5,1.0,2.0,0.28600000000000003,4,2,4,18,2,Tampa Bay Lightning,5
St. Louis Blues,6,25,0.0,0.0,2.0,0.574,13,11,10,14,5,Columbus Blue Jackets,2
Columbus Blue Jackets,9,35,0.0,0.0,3.0,0.38299999999999995,14,11,3,13,4,Vancouver Canucks,3
Columbus Blue Jackets,6,26,0.0,0.0,5.0,0.544,19,6,6,15,5,Nashville Predators,3
Columbus Blue Jackets,2,39,0.0,0.0,3.0,0.5329999999999999,17,7,4,12,3,Pittsburgh Penguins,6
New York Rangers,6,21,0.0,0.0,1.0,0.33299999999999996,21,9,6,15,1,Columbus Blue Jackets,5
Columbus Blue Jackets,14,19,0.33299999999999996,2.0,6.0,0.46299999999999997,15,7,4,14,3,Arizona Coyotes,6
Columbus Blue Jackets,6,35,0.0,0.0,2.0,0.5820000000000001,19,4,4,23,0,Boston Bruins,4
New Jersey Devils,8,21,0.0,0.0,2.0,0.446,21,5,4,27,7,Columbus Blue Jackets,1
Colorado Avalanche,10,39,0.14300000000000002,1.0,7.0,0.642,13,4,2,18,6,Columbus Blue Jackets,3
Columbus Blue Jackets,7,45,0.0,0.0,1.0,0.569,13,3,2,10,1,Colorado Avalanche,5
Columbus Blue Jackets,11,34,0.0,0.0,0.0,0.47600000000000003,12,6,6,15,5,Philadelphia Flyers,2
New York Islanders,4,29,0.5,1.0,2.0,0.44299999999999995,20,5,7,19,4,Columbus Blue Jackets,3
Columbus Blue Jackets,4,37,0.5,1.0,2.0,0.475,18,4,0,27,5,Philadelphia Flyers,4
Columbus Blue Jackets,9,42,0.33299999999999996,1.0,3.0,0.485,15,4,2,8,6,Montréal Canadiens,4
Columbus Blue Jackets,6,37,0.667,2.0,3.0,0.419,13,8,2,11,1,Detroit Red Wings,6
Columbus Blue Jackets,4,50,0.0,0.0,3.0,0.467,4,2,2,16,5,Florida Panthers,3
