home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Dallas Stars,6,28,0.0,0.0,1.0,0.43799999999999994,21,4,4,28,0,St. Louis Blues,4
Dallas Stars,15,22,0.667,2.0,3.0,0.0,0,0,0,0,4,Arizona Coyotes,3
Dallas Stars,24,28,0.2,1.0,5.0,0.4,16,9,4,12,2,Minnesota Wild,5
St. Louis Blues,6,27,0.0,0.0,1.0,0.0,0,0,0,0,2,Dallas Stars,5
Dallas Stars,10,30,0.33299999999999996,1.0,3.0,0.47200000000000003,18,7,10,17,1,Colorado Avalanche,3
Colorado Avalanche,10,33,0.0,0.0,1.0,0.47100000000000003,10,8,2,13,2,Dallas Stars,1
Minnesota Wild,17,23,0.0,0.0,3.0,0.5820000000000001,14,5,1,15,5,Dallas Stars,1
Nashville Predators,15,29,0.5,2.0,4.0,0.5,17,8,9,30,1,Dallas Stars,4
Dallas Stars,16,30,0.25,1.0,4.0,0.466,18,10,11,17,5,Nashville Predators,1
Dallas Stars,8,25,0.0,0.0,5.0,0.451,11,8,13,13,4,Winnipeg Jets,1
Toronto Maple Leafs,16,28,0.25,1.0,4.0,0.479,15,14,14,41,3,Dallas Stars,2
Montréal Canadiens,8,30,0.667,2.0,3.0,0.534,13,13,20,16,2,Dallas Stars,5
Ottawa Senators,8,31,0.0,0.0,3.0,0.5,21,5,6,20,4,Dallas Stars,2
Boston Bruins,13,31,0.0,0.0,3.0,0.47200000000000003,5,10,12,32,3,Dallas Stars,1
Dallas Stars,8,27,0.0,0.0,3.0,0.316,15,10,4,21,2,Washington Capitals,0
Dallas Stars,12,27,0.4,2.0,5.0,0.5379999999999999,16,8,8,18,3,New York Rangers,6
Dallas Stars,8,32,0.33299999999999996,1.0,3.0,0.47700000000000004,22,1,7,23,5,Los Angeles Kings,2
Arizona Coyotes,2,36,0.25,1.0,4.0,0.49200000000000005,12,1,7,13,2,Dallas Stars,7
Edmonton Oilers,12,36,0.667,2.0,3.0,0.5,13,9,4,25,2,Dallas Stars,6
Winnipeg Jets,9,22,0.0,0.0,1.0,0.51,10,7,10,24,5,Dallas Stars,1
Dallas Stars,9,18,0.5,1.0,2.0,0.475,24,4,2,23,4,San Jose Sharks,5
Philadelphia Flyers,12,31,0.667,2.0,3.0,0.741,19,5,11,27,1,Dallas Stars,5
Tampa Bay Lightning,12,32,1.0,2.0,2.0,0.48700000000000004,16,7,7,43,5,Dallas Stars,4
Florida Panthers,15,29,0.0,0.0,3.0,0.545,16,5,16,14,4,Dallas Stars,6
Dallas Stars,14,29,0.2,1.0,5.0,0.36200000000000004,14,5,5,17,5,New York Islanders,2
Dallas Stars,7,35,0.16699999999999998,1.0,6.0,0.35200000000000004,20,3,13,16,2,Colorado Avalanche,2
Dallas Stars,9,31,0.0,0.0,2.0,0.462,30,6,7,13,6,Chicago Blackhawks,4
Dallas Stars,20,28,0.0,0.0,2.0,0.308,15,7,4,23,4,Winnipeg Jets,5
Colorado Avalanche,33,42,0.2,1.0,5.0,0.632,10,2,8,33,4,Dallas Stars,1
St. Louis Blues,7,24,0.0,0.0,1.0,0.638,8,14,9,15,1,Dallas Stars,4
Dallas Stars,13,31,0.0,0.0,3.0,0.358,22,9,6,25,5,Anaheim Ducks,0
Dallas Stars,13,31,0.25,1.0,4.0,0.519,21,5,6,28,5,Minnesota Wild,5
Dallas Stars,14,29,0.0,0.0,2.0,0.596,27,7,6,22,0,Toronto Maple Leafs,4
Dallas Stars,4,31,0.0,0.0,3.0,0.467,19,3,6,24,4,Ottawa Senators,3
Dallas Stars,8,26,0.0,0.0,2.0,0.44799999999999995,14,3,5,27,3,Detroit Red Wings,2
Pittsburgh Penguins,6,27,0.0,0.0,2.0,0.534,19,8,2,33,2,Dallas Stars,1
New Jersey Devils,4,32,0.0,0.0,1.0,0.562,23,6,6,19,1,Dallas Stars,4
Washington Capitals,4,26,0.5,1.0,2.0,0.469,14,2,5,15,1,Dallas Stars,2
Carolina Hurricanes,12,30,0.4,2.0,5.0,0.507,17,5,6,14,5,Dallas Stars,4
Columbus Blue Jackets,2,34,0.0,0.0,0.0,0.627,12,5,4,9,1,Dallas Stars,2
Dallas Stars,10,34,0.5,1.0,2.0,0.40700000000000003,12,6,9,28,3,Edmonton Oilers,6
Dallas Stars,20,24,0.5,1.0,2.0,0.397,21,5,5,27,4,Montréal Canadiens,2
Nashville Predators,6,33,0.16699999999999998,1.0,6.0,0.442,16,5,7,17,2,Dallas Stars,3
Minnesota Wild,6,43,0.667,2.0,3.0,0.7190000000000001,17,4,1,11,1,Dallas Stars,4
Dallas Stars,6,31,0.0,0.0,4.0,0.5,17,4,4,27,5,San Jose Sharks,2
Los Angeles Kings,6,30,0.0,0.0,3.0,0.431,15,3,5,39,3,Dallas Stars,2
Anaheim Ducks,2,35,0.0,0.0,4.0,0.618,15,6,8,23,2,Dallas Stars,0
Dallas Stars,4,28,0.0,0.0,4.0,0.485,9,3,5,20,5,Florida Panthers,1
New York Islanders,6,26,0.0,0.0,1.0,0.48200000000000004,22,3,11,15,1,Dallas Stars,1
New York Rangers,8,25,1.0,1.0,1.0,0.429,22,5,10,16,2,Dallas Stars,1
Dallas Stars,4,36,0.4,2.0,5.0,0.508,12,6,7,22,5,Calgary Flames,6
Vegas Golden Knights,4,36,0.0,0.0,2.0,0.5539999999999999,15,9,4,33,0,Dallas Stars,4
San Jose Sharks,6,36,0.0,0.0,3.0,0.5,10,6,8,18,5,Dallas Stars,3
Los Angeles Kings,8,24,0.0,0.0,4.0,0.423,21,2,4,29,0,Dallas Stars,4
Dallas Stars,8,33,0.0,0.0,3.0,0.38799999999999996,7,4,9,24,4,Arizona Coyotes,0
Dallas Stars,2,25,0.0,0.0,3.0,0.38,12,9,13,13,2,Buffalo Sabres,3
Dallas Stars,9,24,0.0,0.0,2.0,0.5870000000000001,8,6,8,18,2,Carolina Hurricanes,3
Dallas Stars,8,29,0.0,0.0,3.0,0.381,24,7,5,14,2,New Jersey Devils,3
Dallas Stars,20,34,0.25,1.0,4.0,0.345,24,8,14,11,2,Anaheim Ducks,2
Dallas Stars,2,39,0.33299999999999996,1.0,3.0,0.4,16,5,10,24,4,Minnesota Wild,1
Dallas Stars,10,31,0.0,0.0,1.0,0.491,15,2,14,15,1,Tampa Bay Lightning,3
Dallas Stars,8,37,0.0,0.0,3.0,0.19399999999999998,22,3,13,21,2,Boston Bruins,3
