home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Edmonton Oilers,6,29,0.0,0.0,4.0,0.462,9,5,8,27,4,Winnipeg Jets,0
Seattle Kraken,14,29,0.0,0.0,4.0,0.444,12,5,2,19,3,Edmonton Oilers,0
Calgary Flames,6,21,0.0,0.0,3.0,0.525,16,7,8,13,4,Edmonton Oilers,0
Edmonton Oilers,18,22,0.0,0.0,3.0,0.45,20,12,8,30,2,Calgary Flames,1
Winnipeg Jets,19,27,0.2,1.0,5.0,0.5,15,4,7,24,2,Edmonton Oilers,2
Edmonton Oilers,8,30,0.2,1.0,5.0,0.371,15,6,15,25,7,Vancouver Canucks,2
Vancouver Canucks,20,21,0.0,0.0,3.0,0.0,0,0,0,0,5,Edmonton Oilers,4
Edmonton Oilers,4,33,0.5,1.0,2.0,0.491,18,2,7,24,5,Seattle Kraken,3
Edmonton Oilers,8,36,0.125,1.0,8.0,0.521,17,9,10,31,5,Vancouver Canucks,3
Edmonton Oilers,10,42,0.25,1.0,4.0,0.455,14,10,7,36,3,Calgary Flames,4
Edmonton Oilers,10,24,0.25,1.0,4.0,0.444,13,12,11,16,2,Buffalo Sabres,4
Edmonton Oilers,10,40,0.4,2.0,5.0,0.48700000000000004,11,9,7,18,6,Carolina Hurricanes,4
Edmonton Oilers,2,22,1.0,1.0,1.0,0.581,25,6,11,29,0,St. Louis Blues,2
Edmonton Oilers,6,35,0.2,1.0,5.0,0.46,8,8,10,32,6,Pittsburgh Penguins,3
St. Louis Blues,6,28,0.0,0.0,2.0,0.5670000000000001,9,9,4,8,1,Edmonton Oilers,3
Chicago Blackhawks,22,38,0.429,3.0,7.0,0.45299999999999996,7,5,2,14,5,Edmonton Oilers,6
Calgary Flames,6,26,0.25,1.0,4.0,0.515,16,14,12,29,2,Edmonton Oilers,3
Edmonton Oilers,17,23,1.0,2.0,2.0,0.46299999999999997,24,11,10,60,7,Nashville Predators,4
Edmonton Oilers,4,43,0.0,0.0,3.0,0.43799999999999994,10,11,17,24,3,New Jersey Devils,4
Edmonton Oilers,12,36,0.667,2.0,3.0,0.5,13,9,4,25,2,Dallas Stars,6
Washington Capitals,12,29,0.0,0.0,1.0,0.478,19,5,7,21,5,Edmonton Oilers,4
Tampa Bay Lightning,10,29,0.5,2.0,4.0,0.467,19,9,4,33,2,Edmonton Oilers,3
Carolina Hurricanes,8,22,0.5,1.0,2.0,0.444,17,4,4,21,7,Edmonton Oilers,2
Florida Panthers,6,32,0.2,1.0,5.0,0.534,14,8,8,15,2,Edmonton Oilers,4
Edmonton Oilers,6,32,0.0,0.0,3.0,0.556,29,6,11,27,1,Los Angeles Kings,3
Edmonton Oilers,6,34,0.0,0.0,3.0,0.556,13,10,11,20,4,Vegas Golden Knights,3
New Jersey Devils,6,30,0.25,1.0,4.0,0.537,13,1,4,18,5,Edmonton Oilers,2
New York Islanders,4,49,0.0,0.0,5.0,0.479,9,3,17,17,3,Edmonton Oilers,0
New York Rangers,6,32,0.33299999999999996,1.0,3.0,0.509,9,4,8,17,3,Edmonton Oilers,4
Edmonton Oilers,10,28,0.25,1.0,4.0,0.42200000000000004,16,11,11,26,4,Florida Panthers,3
Chicago Blackhawks,12,41,0.0,0.0,4.0,0.391,16,4,6,14,4,Edmonton Oilers,5
Minnesota Wild,6,21,0.33299999999999996,1.0,3.0,0.526,14,6,8,19,5,Edmonton Oilers,3
Edmonton Oilers,23,33,0.667,2.0,3.0,0.6,12,11,12,32,5,Montréal Canadiens,3
Edmonton Oilers,2,50,0.33299999999999996,1.0,3.0,0.518,15,7,10,27,2,Washington Capitals,3
Edmonton Oilers,27,18,0.0,0.0,2.0,0.49,16,8,10,29,8,Arizona Coyotes,2
Edmonton Oilers,6,44,0.2,1.0,5.0,0.506,13,4,8,24,5,Minnesota Wild,2
Minnesota Wild,6,21,0.2,1.0,5.0,0.608,7,4,3,11,2,Edmonton Oilers,1
