home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Nashville Predators,10,32,0.0,0.0,3.0,0.429,21,4,6,21,3,Florida Panthers,4
Nashville Predators,6,25,0.0,0.0,2.0,0.322,11,6,7,12,4,Florida Panthers,0
Florida Panthers,12,28,0.5,2.0,4.0,0.5479999999999999,12,5,5,8,2,Carolina Hurricanes,5
Carolina Hurricanes,8,10,0.33299999999999996,1.0,3.0,0.5,16,7,8,18,4,Florida Panthers,3
Florida Panthers,10,28,0.0,0.0,1.0,0.519,16,8,8,20,3,Tampa Bay Lightning,2
Tampa Bay Lightning,8,29,0.0,0.0,1.0,0.489,5,15,7,33,5,Florida Panthers,2
New York Islanders,8,29,0.0,0.0,5.0,0.414,13,5,13,15,1,Florida Panthers,3
Buffalo Sabres,12,37,0.33299999999999996,2.0,6.0,0.47600000000000003,10,4,5,11,3,Florida Panthers,4
Boston Bruins,10,41,0.0,0.0,4.0,0.35600000000000004,19,1,3,22,5,Florida Panthers,3
Florida Panthers,6,33,0.16699999999999998,1.0,6.0,0.373,14,8,8,18,4,Philadelphia Flyers,3
Florida Panthers,14,32,0.28600000000000003,2.0,7.0,0.529,15,7,5,29,2,Tampa Bay Lightning,3
Florida Panthers,8,26,0.33299999999999996,2.0,6.0,0.49,20,5,11,29,3,New York Islanders,2
Chicago Blackhawks,6,31,0.0,0.0,6.0,0.41700000000000004,6,5,9,17,4,Florida Panthers,2
Philadelphia Flyers,8,51,0.25,1.0,4.0,0.5,8,8,4,27,4,Florida Panthers,3
Florida Panthers,16,26,0.5,1.0,2.0,0.444,15,12,11,39,5,Ottawa Senators,3
Arizona Coyotes,12,42,0.0,0.0,3.0,0.569,8,3,10,16,3,Florida Panthers,1
San Jose Sharks,6,44,0.33299999999999996,1.0,3.0,0.5760000000000001,16,10,16,23,3,Florida Panthers,3
Los Angeles Kings,22,38,0.0,0.0,2.0,0.478,15,4,9,22,5,Florida Panthers,4
Anaheim Ducks,6,48,0.4,2.0,5.0,0.6,12,7,9,14,3,Florida Panthers,5
Florida Panthers,8,40,0.0,0.0,3.0,0.547,8,8,5,24,3,Carolina Hurricanes,0
Florida Panthers,6,32,0.2,1.0,5.0,0.534,14,8,8,15,2,Edmonton Oilers,4
Florida Panthers,4,43,0.0,0.0,5.0,0.55,16,4,10,24,5,Washington Capitals,2
Florida Panthers,15,29,0.0,0.0,3.0,0.545,16,5,16,14,4,Dallas Stars,6
Florida Panthers,13,35,0.33299999999999996,1.0,3.0,0.541,16,6,6,33,4,Calgary Flames,4
Columbus Blue Jackets,4,50,0.0,0.0,3.0,0.467,4,2,2,16,5,Florida Panthers,3
Florida Panthers,14,39,0.33299999999999996,2.0,6.0,0.5870000000000001,11,3,6,21,5,Boston Bruins,2
Florida Panthers,11,37,0.0,0.0,4.0,0.54,7,6,9,21,4,St. Louis Blues,5
Edmonton Oilers,10,28,0.25,1.0,4.0,0.42200000000000004,16,11,11,26,4,Florida Panthers,3
Calgary Flames,12,33,0.0,0.0,4.0,0.373,13,4,8,13,6,Florida Panthers,2
Vancouver Canucks,11,32,0.0,0.0,2.0,0.456,12,7,4,10,1,Florida Panthers,5
Seattle Kraken,6,28,0.75,3.0,4.0,0.5,12,8,6,19,1,Florida Panthers,5
Winnipeg Jets,13,41,0.25,1.0,4.0,0.32799999999999996,10,6,4,15,5,Florida Panthers,2
Florida Panthers,16,20,0.25,1.0,4.0,0.456,17,4,8,20,5,Detroit Red Wings,1
Tampa Bay Lightning,8,25,0.0,0.0,4.0,0.526,12,11,6,30,4,Florida Panthers,1
Florida Panthers,8,32,0.16699999999999998,1.0,6.0,0.344,10,4,5,22,2,Seattle Kraken,5
Florida Panthers,6,22,0.0,0.0,3.0,0.489,13,6,11,23,4,Columbus Blue Jackets,0
Florida Panthers,6,39,0.667,2.0,3.0,0.521,9,9,12,12,2,Pittsburgh Penguins,4
New Jersey Devils,8,29,0.5,1.0,2.0,0.544,20,5,4,29,2,Florida Panthers,4
Boston Bruins,10,39,0.0,0.0,3.0,0.435,13,11,10,14,7,Florida Panthers,3
Florida Panthers,17,33,0.33299999999999996,1.0,3.0,0.491,27,8,9,16,2,New Jersey Devils,4
New York Islanders,29,23,0.0,0.0,3.0,0.532,20,2,9,15,5,Florida Panthers,1
Florida Panthers,41,27,0.5,2.0,4.0,0.413,15,3,4,26,7,Montréal Canadiens,2
Carolina Hurricanes,12,19,0.0,0.0,6.0,0.44299999999999995,10,7,13,26,4,Florida Panthers,0
Florida Panthers,8,28,0.5,2.0,4.0,0.429,14,6,5,16,3,New York Rangers,5
Florida Panthers,6,36,0.5,1.0,2.0,0.418,10,3,15,22,5,Arizona Coyotes,3
