home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Minnesota Wild,8,25,0.0,0.0,4.0,0.35200000000000004,16,1,2,39,3,Colorado Avalanche,2
Colorado Avalanche,14,26,0.375,3.0,8.0,0.40700000000000003,10,4,3,22,2,Minnesota Wild,5
Dallas Stars,24,28,0.2,1.0,5.0,0.4,16,9,4,12,2,Minnesota Wild,5
Chicago Blackhawks,14,33,0.0,0.0,3.0,0.0,0,0,0,0,0,Minnesota Wild,3
St. Louis Blues,14,28,0.0,0.0,4.0,0.389,22,12,4,37,4,Minnesota Wild,2
Minnesota Wild,6,26,0.0,0.0,6.0,0.489,6,5,3,15,4,Chicago Blackhawks,1
Minnesota Wild,17,23,0.0,0.0,3.0,0.5820000000000001,14,5,1,15,5,Dallas Stars,1
Minnesota Wild,17,35,0.2,1.0,5.0,0.5,13,4,1,27,3,New York Rangers,7
Minnesota Wild,14,34,0.33299999999999996,2.0,6.0,0.536,20,7,4,5,6,Los Angeles Kings,7
Minnesota Wild,14,38,0.5,1.0,2.0,0.44799999999999995,17,2,6,23,3,Colorado Avalanche,6
Minnesota Wild,13,26,0.0,0.0,2.0,0.49,14,10,1,12,4,Vancouver Canucks,3
Boston Bruins,10,27,0.2,1.0,5.0,0.39,20,4,4,21,4,Minnesota Wild,3
Montréal Canadiens,10,31,0.0,0.0,3.0,0.479,21,5,20,19,1,Minnesota Wild,3
Ottawa Senators,22,40,0.25,1.0,4.0,0.516,24,7,5,25,2,Minnesota Wild,4
Detroit Red Wings,6,31,0.0,0.0,1.0,0.55,13,4,8,25,2,Minnesota Wild,1
Chicago Blackhawks,11,35,0.0,0.0,2.0,0.375,11,10,4,15,3,Minnesota Wild,3
Minnesota Wild,45,35,0.5,1.0,2.0,0.62,15,2,6,16,4,Montréal Canadiens,1
Minnesota Wild,4,23,0.5,1.0,2.0,0.511,14,8,6,20,0,Seattle Kraken,4
Los Angeles Kings,11,21,0.0,0.0,1.0,0.429,22,2,4,31,1,Minnesota Wild,0
Anaheim Ducks,53,39,0.33299999999999996,2.0,6.0,0.5,12,4,8,16,1,Minnesota Wild,4
Seattle Kraken,8,21,0.0,0.0,3.0,0.42,22,8,3,20,0,Minnesota Wild,1
Minnesota Wild,4,37,0.0,0.0,3.0,0.518,12,4,6,12,2,San Jose Sharks,2
Nashville Predators,22,33,0.0,0.0,5.0,0.45299999999999996,10,8,6,22,2,Minnesota Wild,1
Minnesota Wild,6,32,0.4,2.0,5.0,0.5760000000000001,12,4,5,25,4,Pittsburgh Penguins,6
Minnesota Wild,4,21,0.0,0.0,2.0,0.385,13,3,3,21,2,Carolina Hurricanes,1
Minnesota Wild,19,29,0.0,0.0,2.0,0.42100000000000004,12,3,5,14,6,Winnipeg Jets,1
Minnesota Wild,4,28,0.0,0.0,3.0,0.556,22,4,4,12,3,Toronto Maple Leafs,4
Minnesota Wild,13,23,0.0,0.0,2.0,0.44799999999999995,17,8,7,14,4,Arizona Coyotes,3
Minnesota Wild,6,21,0.33299999999999996,1.0,3.0,0.526,14,6,8,19,5,Edmonton Oilers,3
Minnesota Wild,8,33,0.667,2.0,3.0,0.469,18,7,1,19,4,Anaheim Ducks,4
Dallas Stars,13,31,0.25,1.0,4.0,0.519,21,5,6,28,5,Minnesota Wild,5
Calgary Flames,12,28,0.0,0.0,4.0,0.433,12,7,9,14,5,Minnesota Wild,3
Edmonton Oilers,6,44,0.2,1.0,5.0,0.506,13,4,8,24,5,Minnesota Wild,2
Vancouver Canucks,11,33,0.5,1.0,2.0,0.509,22,4,3,13,0,Minnesota Wild,3
Minnesota Wild,6,21,0.2,1.0,5.0,0.608,7,4,3,11,2,Edmonton Oilers,1
Minnesota Wild,13,17,0.0,0.0,3.0,0.47200000000000003,12,6,2,27,4,Detroit Red Wings,1
Minnesota Wild,6,30,0.2,1.0,5.0,0.607,18,5,8,13,4,Chicago Blackhawks,1
Minnesota Wild,6,28,0.0,0.0,3.0,0.51,16,3,4,27,4,Ottawa Senators,2
Anaheim Ducks,6,42,0.16699999999999998,1.0,6.0,0.5539999999999999,8,5,8,15,1,Minnesota Wild,4
San Jose Sharks,28,26,0.0,0.0,4.0,0.491,20,7,9,15,5,Minnesota Wild,2
Winnipeg Jets,6,28,1.0,1.0,1.0,0.40299999999999997,11,5,5,22,1,Minnesota Wild,4
Minnesota Wild,6,43,0.667,2.0,3.0,0.7190000000000001,17,4,1,11,1,Dallas Stars,4
St. Louis Blues,20,32,0.0,0.0,2.0,0.28600000000000003,18,15,5,19,2,Minnesota Wild,5
Minnesota Wild,10,35,0.25,1.0,4.0,0.632,12,2,3,18,5,Tampa Bay Lightning,1
Buffalo Sabres,6,44,0.5,2.0,4.0,0.517,16,5,0,21,6,Minnesota Wild,5
Minnesota Wild,6,24,0.25,1.0,4.0,0.489,25,5,4,19,0,St. Louis Blues,3
New York Rangers,8,32,0.0,0.0,1.0,0.435,29,3,5,26,3,Minnesota Wild,3
New York Islanders,8,36,0.0,0.0,5.0,0.593,18,5,5,19,1,Minnesota Wild,3
Minnesota Wild,4,28,0.0,0.0,1.0,0.426,7,3,6,17,2,Arizona Coyotes,1
Washington Capitals,8,22,0.0,0.0,2.0,0.509,15,6,6,33,2,Minnesota Wild,4
Carolina Hurricanes,24,31,0.25,1.0,4.0,0.49200000000000005,18,9,3,14,5,Minnesota Wild,2
Florida Panthers,9,32,1.0,2.0,2.0,0.509,16,4,12,24,5,Minnesota Wild,3
Tampa Bay Lightning,15,35,0.25,1.0,4.0,0.456,16,17,6,26,4,Minnesota Wild,2
Minnesota Wild,28,30,0.0,0.0,3.0,0.442,21,4,5,19,3,Philadelphia Flyers,2
Minnesota Wild,8,31,0.0,0.0,1.0,0.474,11,6,4,5,2,Buffalo Sabres,2
Arizona Coyotes,12,35,0.0,0.0,4.0,0.46399999999999997,17,5,7,26,3,Minnesota Wild,2
Dallas Stars,2,39,0.33299999999999996,1.0,3.0,0.4,16,5,10,24,4,Minnesota Wild,1
Minnesota Wild,8,31,0.0,0.0,1.0,0.515,17,8,3,12,1,Vegas Golden Knights,5
Minnesota Wild,13,29,0.0,0.0,2.0,0.525,22,7,4,20,2,New Jersey Devils,2
Minnesota Wild,12,34,0.0,0.0,7.0,0.431,14,4,5,14,1,Florida Panthers,1
Minnesota Wild,9,19,0.0,0.0,1.0,0.423,22,2,3,22,2,Colorado Avalanche,3
Minnesota Wild,8,30,0.0,0.0,4.0,0.534,13,8,3,13,1,Dallas Stars,1
Minnesota Wild,10,26,0.0,0.0,2.0,0.531,18,4,3,25,4,Nashville Predators,3
Minnesota Wild,6,34,0.0,0.0,1.0,0.575,13,4,1,15,2,Los Angeles Kings,1
Columbus Blue Jackets,2,25,0.0,0.0,1.0,0.28800000000000003,25,7,4,19,0,Minnesota Wild,2
Toronto Maple Leafs,4,25,0.0,0.0,1.0,0.28800000000000003,18,9,13,42,2,Minnesota Wild,1
Minnesota Wild,4,24,0.0,0.0,2.0,0.509,16,5,5,16,3,Columbus Blue Jackets,2
Minnesota Wild,7,40,0.0,0.0,0.0,0.595,16,3,5,27,1,New York Islanders,1
