home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Montréal Canadiens,10,31,0.25,1.0,4.0,0.542,13,7,11,26,1,New Jersey Devils,2
Toronto Maple Leafs,8,27,0.0,0.0,3.0,0.4,14,8,8,39,3,Montréal Canadiens,0
Montréal Canadiens,18,25,0.0,0.0,4.0,0.475,17,6,10,25,3,Winnipeg Jets,4
Ottawa Senators,10,16,0.0,0.0,3.0,0.38299999999999995,9,2,7,12,5,Montréal Canadiens,4
Montréal Canadiens,10,31,0.667,2.0,3.0,0.35,18,11,13,24,1,Toronto Maple Leafs,5
Montréal Canadiens,25,23,1.0,1.0,1.0,0.6,12,4,14,31,4,Ottawa Senators,5
Montréal Canadiens,17,33,0.0,0.0,5.0,0.0,0,0,0,0,3,Ottawa Senators,4
Ottawa Senators,22,20,0.16699999999999998,1.0,6.0,0.0,0,0,0,0,3,Montréal Canadiens,2
Montréal Canadiens,8,32,0.0,0.0,4.0,0.49,15,12,11,19,4,Toronto Maple Leafs,3
Detroit Red Wings,6,29,0.0,0.0,3.0,0.585,16,3,10,24,3,Montréal Canadiens,0
Washington Capitals,13,22,0.0,0.0,3.0,0.596,20,7,14,21,3,Montréal Canadiens,1
Montréal Canadiens,6,28,0.0,0.0,3.0,0.519,17,2,19,17,3,Pittsburgh Penguins,2
Montréal Canadiens,7,27,0.0,0.0,3.0,0.5329999999999999,14,10,22,26,6,Arizona Coyotes,2
Montréal Canadiens,8,30,0.667,2.0,3.0,0.534,13,13,20,16,2,Dallas Stars,5
Montréal Canadiens,10,31,0.0,0.0,3.0,0.479,21,5,20,19,1,Minnesota Wild,3
Buffalo Sabres,8,34,0.0,0.0,3.0,0.569,13,7,2,6,2,Montréal Canadiens,3
St. Louis Blues,6,25,0.667,2.0,3.0,0.509,11,16,10,16,4,Montréal Canadiens,7
Minnesota Wild,45,35,0.5,1.0,2.0,0.62,15,2,6,16,4,Montréal Canadiens,1
Winnipeg Jets,10,22,0.0,0.0,2.0,0.465,15,5,7,23,3,Montréal Canadiens,2
