home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Montréal Canadiens,10,31,0.25,1.0,4.0,0.542,13,7,11,26,1,New Jersey Devils,2
New Jersey Devils,6,25,0.0,0.0,5.0,0.423,9,6,6,17,4,New York Islanders,1
New York Rangers,6,36,0.0,0.0,5.0,0.614,6,5,4,23,2,New Jersey Devils,5
New Jersey Devils,2,37,0.0,0.0,2.0,0.47100000000000003,9,3,9,12,1,New York Rangers,2
New Jersey Devils,4,24,0.0,0.0,4.0,0.691,9,7,5,23,1,Boston Bruins,0
New York Islanders,6,28,0.25,1.0,4.0,0.452,19,8,15,21,5,New Jersey Devils,2
Boston Bruins,4,27,0.0,0.0,2.0,0.254,11,6,13,21,3,New Jersey Devils,5
Philadelphia Flyers,8,37,0.33299999999999996,1.0,3.0,0.609,9,6,9,18,5,New Jersey Devils,2
New Jersey Devils,10,22,0.0,0.0,4.0,0.455,20,2,9,23,2,Detroit Red Wings,5
New Jersey Devils,23,20,0.0,0.0,4.0,0.46299999999999997,13,7,10,22,4,Anaheim Ducks,2
New York Islanders,6,43,0.0,0.0,3.0,0.608,21,4,7,21,1,New Jersey Devils,4
New Jersey Devils,6,22,0.0,0.0,2.0,0.524,11,2,7,35,2,San Jose Sharks,1
New Jersey Devils,8,22,0.33299999999999996,1.0,3.0,0.493,12,3,6,31,3,Washington Capitals,6
Detroit Red Wings,6,41,1.0,1.0,1.0,0.586,13,2,13,16,2,New Jersey Devils,6
New Jersey Devils,6,24,0.0,0.0,6.0,0.292,17,8,0,17,1,Colorado Avalanche,0
New Jersey Devils,8,21,0.0,0.0,2.0,0.446,21,5,4,27,7,Columbus Blue Jackets,1
Vancouver Canucks,25,37,1.0,1.0,1.0,0.5770000000000001,17,7,3,14,2,New Jersey Devils,5
Edmonton Oilers,4,43,0.0,0.0,3.0,0.43799999999999994,10,11,17,24,3,New Jersey Devils,4
Calgary Flames,8,35,0.2,1.0,5.0,0.522,15,10,14,14,3,New Jersey Devils,4
New Jersey Devils,15,35,0.5,2.0,4.0,0.49200000000000005,18,5,5,27,3,Calgary Flames,2
New Jersey Devils,6,28,0.25,1.0,4.0,0.5,23,2,3,14,4,Ottawa Senators,3
New Jersey Devils,18,18,0.5,2.0,4.0,0.418,10,8,3,18,4,Arizona Coyotes,2
Montréal Canadiens,4,39,0.5,1.0,2.0,0.452,21,8,18,10,1,New Jersey Devils,5
Toronto Maple Leafs,10,33,0.0,0.0,2.0,0.4,17,8,14,30,2,New Jersey Devils,3
Ottawa Senators,4,36,0.25,1.0,4.0,0.408,11,5,11,23,1,New Jersey Devils,5
New Jersey Devils,6,30,0.25,1.0,4.0,0.537,13,1,4,18,5,Edmonton Oilers,2
New Jersey Devils,6,20,0.0,0.0,4.0,0.41,21,6,3,9,1,Toronto Maple Leafs,2
Buffalo Sabres,2,44,0.0,0.0,1.0,0.5710000000000001,15,7,1,15,1,New Jersey Devils,3
New Jersey Devils,8,38,0.25,1.0,4.0,0.48100000000000004,4,6,5,11,5,Washington Capitals,1
New York Rangers,10,38,0.0,0.0,3.0,0.596,15,11,8,12,3,New Jersey Devils,5
