abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
PHI,BOS,1,12,0.5660000000000001,35,6,Bruins,32,0/6,13,0.434,31,2,4,Flyers,34,1/5
BUF,PHI,1,7,0.575,10,4,Flyers,11,0/3,14,0.425,11,2,7,Sabres,11,0/3
PHI,WSH,3,11,0.447,22,15,Capitals,2,1/3,12,0.5529999999999999,46,1,4,Flyers,6,0/1
BOS,PHI,0,6,0.513,15,4,Flyers,15,0/4,7,0.48700000000000004,27,4,6,Bruins,15,1/4
NYI,PHI,1,19,0.574,20,4,Flyers,12,1/5,14,0.426,19,2,2,Islanders,14,1/4
PHI,NYI,4,12,0.6,30,2,Islanders,11,2/5,17,0.4,36,3,4,Flyers,15,0/3
PHI,NJD,2,9,0.609,18,1,Devils,8,1/3,28,0.391,28,5,4,Flyers,8,1/3
PHI,VAN,2,8,0.519,20,23,Canucks,17,0/5,14,0.48100000000000004,23,3,4,Flyers,17,1/5
TBL,PHI,3,16,0.377,27,4,Flyers,16,1/2,16,0.623,21,2,14,Lightning,14,2/3
FLA,PHI,3,14,0.373,18,4,Flyers,6,1/6,9,0.627,12,4,13,Panthers,12,0/3
NSH,PHI,3,22,0.28600000000000003,19,4,Flyers,16,0/2,12,0.7140000000000001,38,1,18,Predators,14,1/3
PHI,SJS,3,16,0.433,27,28,Sharks,4,0/1,16,0.5670000000000001,32,0,4,Flyers,2,0/2
PHI,FLA,3,8,0.5,27,13,Panthers,8,1/4,32,0.5,34,4,4,Flyers,12,1/2
PHI,CAR,4,10,0.485,28,12,Hurricanes,14,0/4,17,0.515,27,3,4,Flyers,10,1/6
NYR,PHI,0,15,0.58,14,4,Flyers,10,0/3,14,0.42,27,1,3,Rangers,10,0/3
TOR,PHI,2,19,0.532,45,4,Flyers,39,1/6,8,0.46799999999999997,31,5,10,Maple Leafs,31,2/5
OTT,PHI,2,28,0.414,30,4,Flyers,10,1/3,19,0.586,33,1,9,Senators,6,0/5
PHI,STL,1,9,0.6,34,19,Blues,12,0/2,17,0.4,39,5,4,Flyers,14,0/1
CBJ,PHI,2,12,0.47600000000000003,15,4,Flyers,11,0/0,18,0.524,12,5,29,Blue Jackets,7,0/2
PHI,OTT,4,14,0.44799999999999995,38,9,Senators,16,2/3,14,0.552,59,1,4,Flyers,16,0/3
PHI,DAL,5,19,0.741,27,25,Stars,12,2/3,10,0.259,35,1,4,Flyers,6,0/6
CBJ,PHI,4,18,0.475,27,4,Flyers,4,1/2,25,0.525,34,5,29,Blue Jackets,6,1/1
BOS,PHI,1,20,0.5,26,4,Flyers,8,1/4,9,0.5,22,4,6,Bruins,8,2/4
MTL,PHI,4,18,0.34600000000000003,31,4,Flyers,11,0/4,17,0.654,16,5,8,Canadiens,13,1/3
PHI,CGY,5,20,0.5,24,20,Flames,13,0/2,15,0.5,31,2,4,Flyers,11,0/3
WSH,PHI,2,20,0.423,35,4,Flyers,6,0/4,16,0.5770000000000001,30,3,15,Capitals,8,1/3
PHI,PIT,4,10,0.63,28,5,Penguins,11,0/3,22,0.37,42,1,4,Flyers,15,0/1
NYI,PHI,2,11,0.47600000000000003,25,4,Flyers,27,0/2,11,0.524,26,5,2,Islanders,23,2/3
PHI,NYI,1,16,0.509,30,2,Islanders,16,1/4,19,0.491,38,3,4,Flyers,20,0/2
PHI,TBL,4,11,0.652,18,14,Lightning,6,1/3,16,0.348,29,1,4,Flyers,6,0/3
PHI,NJD,3,16,0.596,32,1,Devils,6,0/3,13,0.40399999999999997,30,2,4,Flyers,6,1/3
PHI,COL,3,10,0.511,29,21,Avalanche,6,1/5,31,0.489,37,5,4,Flyers,10,2/3
PHI,WSH,4,9,0.536,20,15,Capitals,6,1/4,22,0.46399999999999997,33,1,4,Flyers,18,1/3
VGK,PHI,1,22,0.39399999999999996,40,4,Flyers,4,0/0,14,0.606,23,2,54,Golden Knights,0,0/2
ARI,PHI,4,13,0.467,25,4,Flyers,9,0/2,18,0.5329999999999999,28,5,53,Coyotes,11,1/1
COL,PHI,2,20,0.5,29,4,Flyers,6,0/2,10,0.5,20,3,21,Avalanche,4,0/3
NJD,PHI,2,22,0.526,19,4,Flyers,16,1/5,18,0.474,11,1,1,Devils,20,1/3
PHI,NYR,6,18,0.519,20,3,Rangers,8,0/1,11,0.48100000000000004,22,3,4,Flyers,2,0/4
PHI,CBJ,3,16,0.442,22,29,Blue Jackets,2,0/1,12,0.5579999999999999,28,5,4,Flyers,2,0/1
TOR,PHI,3,13,0.44,33,4,Flyers,12,1/5,16,0.56,23,4,10,Maple Leafs,12,1/4
CAR,PHI,5,16,0.5,17,4,Flyers,8,0/2,10,0.5,11,6,12,Hurricanes,4,2/4
SJS,PHI,4,8,0.5379999999999999,28,4,Flyers,6,0/1,16,0.462,27,3,28,Sharks,2,1/3
LAK,PHI,4,22,0.386,38,4,Flyers,10,1/3,11,0.614,20,2,26,Kings,6,1/5
ANA,PHI,4,12,0.532,21,4,Flyers,10,0/2,10,0.46799999999999997,20,1,24,Ducks,4,0/5
PHI,ARI,2,17,0.447,26,53,Coyotes,6,0/1,15,0.5529999999999999,21,6,4,Flyers,2,2/3
PHI,TOR,6,17,0.556,17,10,Maple Leafs,10,1/2,13,0.444,41,2,4,Flyers,6,0/4
BUF,PHI,4,8,0.528,16,4,Flyers,4,0/3,14,0.47200000000000003,8,0,7,Sabres,8,0/1
PHI,WSH,3,7,0.444,28,15,Capitals,12,0/1,16,0.556,29,5,4,Flyers,2,2/6
WSH,PHI,3,25,0.451,31,4,Flyers,10,1/3,13,0.5489999999999999,32,1,15,Capitals,10,0/3
BOS,PHI,0,15,0.36700000000000005,21,4,Flyers,20,0/6,16,0.633,12,6,6,Bruins,28,1/2
PHI,ANA,2,12,0.5379999999999999,17,24,Ducks,15,1/3,10,0.462,25,5,4,Flyers,11,1/5
PHI,CHI,4,23,0.5,24,16,Blackhawks,4,0/0,16,0.5,22,1,4,Flyers,0,0/2
DET,PHI,2,31,0.40700000000000003,27,4,Flyers,8,0/1,13,0.593,19,1,17,Red Wings,6,0/2
PHI,WPG,5,15,0.5,28,52,Jets,8,0/5,14,0.5,28,3,4,Flyers,10,2/4
PHI,LAK,4,9,0.6609999999999999,13,26,Kings,8,1/5,16,0.33899999999999997,30,3,4,Flyers,24,0/3
MIN,PHI,2,21,0.442,19,4,Flyers,28,0/3,16,0.5579999999999999,19,3,30,Wild,28,1/3
WPG,PHI,4,17,0.466,11,4,Flyers,8,0/2,15,0.534,25,0,52,Jets,6,0/3
PHI,NYI,2,19,0.5479999999999999,27,2,Islanders,4,1/3,17,0.452,32,1,4,Flyers,6,0/2
PHI,EDM,1,17,0.48100000000000004,13,22,Oilers,6,0/0,11,0.519,23,2,4,Flyers,0,0/3
PHI,NSH,2,13,0.615,43,18,Predators,10,0/1,30,0.385,40,1,4,Flyers,12,0/0
PHI,SEA,4,15,0.5579999999999999,29,55,Kraken,4,0/1,24,0.442,36,3,4,Flyers,2,1/2
