home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Pittsburgh Penguins,9,28,0.667,2.0,3.0,0.519,18,5,5,32,3,Columbus Blue Jackets,2
Columbus Blue Jackets,11,34,0.0,0.0,5.0,0.466,11,10,3,18,5,Pittsburgh Penguins,1
Pittsburgh Penguins,18,21,1.0,2.0,2.0,0.5529999999999999,15,20,3,39,2,Detroit Red Wings,6
Buffalo Sabres,14,33,0.0,0.0,3.0,0.439,9,2,5,8,3,Pittsburgh Penguins,1
Detroit Red Wings,4,24,1.0,2.0,2.0,0.54,16,4,11,22,2,Pittsburgh Penguins,3
Pittsburgh Penguins,4,23,0.0,0.0,0.0,0.537,14,7,5,19,7,Buffalo Sabres,1
Pittsburgh Penguins,14,28,0.4,2.0,5.0,0.415,9,9,5,35,6,Arizona Coyotes,2
Pittsburgh Penguins,8,36,0.25,1.0,4.0,0.38299999999999995,14,4,11,21,6,Tampa Bay Lightning,2
Montréal Canadiens,6,28,0.0,0.0,3.0,0.519,17,2,19,17,3,Pittsburgh Penguins,2
Pittsburgh Penguins,8,40,0.16699999999999998,1.0,6.0,0.418,17,7,12,28,6,Los Angeles Kings,1
Columbus Blue Jackets,2,39,0.0,0.0,3.0,0.5329999999999999,17,7,4,12,3,Pittsburgh Penguins,6
Edmonton Oilers,6,35,0.2,1.0,5.0,0.46,8,8,10,32,6,Pittsburgh Penguins,3
Calgary Flames,6,33,0.2,1.0,5.0,0.359,19,7,4,18,4,Pittsburgh Penguins,1
Vancouver Canucks,10,35,0.25,1.0,4.0,0.491,9,3,8,22,5,Pittsburgh Penguins,1
Seattle Kraken,4,33,0.0,0.0,2.0,0.478,16,1,10,25,3,Pittsburgh Penguins,1
Pittsburgh Penguins,8,40,0.33299999999999996,1.0,3.0,0.551,21,6,4,38,5,Boston Bruins,6
Buffalo Sabres,10,21,0.33299999999999996,1.0,3.0,0.542,12,3,3,12,6,Pittsburgh Penguins,3
Pittsburgh Penguins,6,28,0.0,0.0,3.0,0.429,18,13,5,35,2,Seattle Kraken,3
Washington Capitals,13,28,0.0,0.0,3.0,0.509,19,16,9,32,1,Pittsburgh Penguins,4
Toronto Maple Leafs,6,23,0.0,0.0,1.0,0.5,19,8,13,41,2,Pittsburgh Penguins,4
Montréal Canadiens,12,24,0.33299999999999996,1.0,3.0,0.54,21,0,15,20,5,Pittsburgh Penguins,4
Pittsburgh Penguins,8,33,0.0,0.0,1.0,0.451,27,6,7,25,2,Toronto Maple Leafs,5
Minnesota Wild,6,32,0.4,2.0,5.0,0.5760000000000001,12,4,5,25,4,Pittsburgh Penguins,6
Winnipeg Jets,4,32,0.0,0.0,2.0,0.47600000000000003,7,7,11,22,0,Pittsburgh Penguins,3
Chicago Blackhawks,18,25,0.0,0.0,2.0,0.5479999999999999,15,6,9,19,3,Pittsburgh Penguins,5
Pittsburgh Penguins,6,34,0.0,0.0,3.0,0.45799999999999996,21,10,4,41,1,Calgary Flames,1
