home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
San Jose Sharks,14,45,0.0,0.0,8.0,0.5920000000000001,6,7,4,23,3,Los Angeles Kings,2
San Jose Sharks,8,30,0.0,0.0,3.0,0.58,8,14,8,28,5,Anaheim Ducks,4
Los Angeles Kings,10,17,0.5,2.0,4.0,0.0,0,0,0,0,1,San Jose Sharks,3
Anaheim Ducks,12,31,0.2,1.0,5.0,0.66,10,2,4,22,4,San Jose Sharks,1
Vegas Golden Knights,11,39,1.0,2.0,2.0,0.409,13,5,1,22,3,San Jose Sharks,7
Eisbaren Berlin,8,36,0.0,0.0,3.0,0.0,0,0,0,0,1,San Jose Sharks,3
Nashville Predators,13,31,0.0,0.0,4.0,0.545,23,3,8,22,4,San Jose Sharks,1
San Jose Sharks,8,18,0.0,0.0,3.0,0.493,23,11,8,33,2,Nashville Predators,3
San Jose Sharks,15,35,0.0,0.0,3.0,0.525,9,17,7,11,1,Carolina Hurricanes,2
San Jose Sharks,18,25,0.0,0.0,2.0,0.47200000000000003,17,13,5,21,2,Chicago Blackhawks,5
New York Islanders,6,28,0.0,0.0,3.0,0.478,21,6,15,22,5,San Jose Sharks,2
New York Rangers,10,27,0.33299999999999996,1.0,3.0,0.579,11,5,6,19,2,San Jose Sharks,3
New Jersey Devils,6,22,0.0,0.0,2.0,0.524,11,2,7,35,2,San Jose Sharks,1
Philadelphia Flyers,4,25,0.0,0.0,1.0,0.433,16,4,4,27,0,San Jose Sharks,3
San Jose Sharks,4,31,0.0,0.0,1.0,0.49200000000000005,27,10,9,14,2,Vegas Golden Knights,4
San Jose Sharks,8,25,0.25,1.0,4.0,0.5,10,12,8,11,4,Toronto Maple Leafs,3
San Jose Sharks,6,26,0.0,0.0,2.0,0.545,13,9,9,21,3,Tampa Bay Lightning,4
San Jose Sharks,23,44,0.0,0.0,4.0,0.5539999999999999,9,10,10,19,5,Anaheim Ducks,5
San Jose Sharks,6,44,0.33299999999999996,1.0,3.0,0.5760000000000001,16,10,16,23,3,Florida Panthers,3
San Jose Sharks,19,25,0.0,0.0,0.0,0.44299999999999995,19,14,7,15,4,Anaheim Ducks,4
St. Louis Blues,4,30,0.0,0.0,0.0,0.515,10,8,10,19,5,San Jose Sharks,3
Dallas Stars,9,18,0.5,1.0,2.0,0.475,24,4,2,23,4,San Jose Sharks,5
Minnesota Wild,4,37,0.0,0.0,3.0,0.518,12,4,6,12,2,San Jose Sharks,2
Vegas Golden Knights,6,29,0.5,1.0,2.0,0.441,13,9,9,35,2,San Jose Sharks,5
San Jose Sharks,2,21,0.0,0.0,3.0,0.491,19,7,10,24,4,Detroit Red Wings,7
San Jose Sharks,2,43,0.0,0.0,3.0,0.4,8,12,9,32,1,New York Rangers,2
San Jose Sharks,11,38,0.0,0.0,2.0,0.5670000000000001,17,10,9,31,5,Ottawa Senators,1
Seattle Kraken,8,26,0.5,1.0,2.0,0.544,18,3,3,19,8,San Jose Sharks,5
San Jose Sharks,6,29,0.5,1.0,2.0,0.522,23,15,8,23,2,Los Angeles Kings,5
San Jose Sharks,2,20,0.0,0.0,2.0,0.436,15,8,10,28,3,Vancouver Canucks,4
Montréal Canadiens,12,24,0.0,0.0,5.0,0.46799999999999997,28,4,17,14,0,San Jose Sharks,4
Toronto Maple Leafs,6,24,0.0,0.0,0.0,0.392,24,6,8,49,3,San Jose Sharks,1
Ottawa Senators,17,37,0.25,1.0,4.0,0.41100000000000003,21,4,16,24,5,San Jose Sharks,2
Buffalo Sabres,8,29,1.0,1.0,1.0,0.569,14,5,5,19,6,San Jose Sharks,3
San Jose Sharks,11,27,0.667,2.0,3.0,0.456,28,11,8,15,5,Vancouver Canucks,6
Anaheim Ducks,13,28,0.25,1.0,4.0,0.516,14,3,5,16,1,San Jose Sharks,6
San Jose Sharks,4,22,0.2,1.0,5.0,0.44799999999999995,10,9,8,18,3,Arizona Coyotes,2
Los Angeles Kings,8,25,0.33299999999999996,1.0,3.0,0.508,20,1,3,36,2,San Jose Sharks,2
San Jose Sharks,21,25,0.25,1.0,4.0,0.452,6,10,6,23,2,Calgary Flames,5
San Jose Sharks,11,39,0.0,0.0,2.0,0.552,15,9,7,16,3,Calgary Flames,7
San Jose Sharks,28,26,0.0,0.0,4.0,0.491,20,7,9,15,5,Minnesota Wild,2
Vancouver Canucks,2,26,0.5,1.0,2.0,0.528,15,2,4,18,6,San Jose Sharks,2
San Jose Sharks,6,26,0.0,0.0,1.0,0.5379999999999999,8,14,6,28,3,Philadelphia Flyers,4
Dallas Stars,6,31,0.0,0.0,4.0,0.5,17,4,4,27,5,San Jose Sharks,2
Chicago Blackhawks,6,28,0.0,0.0,3.0,0.49,15,3,5,16,2,San Jose Sharks,5
Anaheim Ducks,13,41,0.0,0.0,2.0,0.375,17,6,7,21,5,San Jose Sharks,4
San Jose Sharks,10,29,0.5,1.0,2.0,0.5710000000000001,20,10,11,16,2,Boston Bruins,4
Arizona Coyotes,13,33,0.0,0.0,2.0,0.517,18,12,11,25,2,San Jose Sharks,4
Los Angeles Kings,4,30,0.5,1.0,2.0,0.526,13,4,4,34,4,San Jose Sharks,3
San Jose Sharks,8,41,0.5,2.0,4.0,0.349,13,16,5,11,1,Edmonton Oilers,7
San Jose Sharks,8,41,0.0,0.0,1.0,0.45299999999999996,13,9,9,24,3,New Jersey Devils,3
San Jose Sharks,6,36,0.0,0.0,3.0,0.5,10,6,8,18,5,Dallas Stars,3
Columbus Blue Jackets,9,25,0.0,0.0,1.0,0.474,13,7,1,15,5,San Jose Sharks,3
Boston Bruins,15,18,0.0,0.0,2.0,0.536,12,10,10,34,4,San Jose Sharks,0
Detroit Red Wings,6,30,0.0,0.0,1.0,0.441,9,5,4,15,3,San Jose Sharks,2
Carolina Hurricanes,4,30,0.0,0.0,2.0,0.478,16,10,8,22,5,San Jose Sharks,4
Pittsburgh Penguins,13,32,0.0,0.0,2.0,0.49200000000000005,24,14,4,40,4,San Jose Sharks,6
Tampa Bay Lightning,17,22,0.667,2.0,3.0,0.485,27,24,3,35,3,San Jose Sharks,4
Florida Panthers,7,34,0.0,0.0,3.0,0.516,16,12,9,17,4,San Jose Sharks,1
Washington Capitals,6,33,0.25,1.0,4.0,0.625,18,9,10,21,1,San Jose Sharks,4
San Jose Sharks,4,28,0.0,0.0,3.0,0.33299999999999996,13,5,8,20,1,Pittsburgh Penguins,3
Vegas Golden Knights,24,26,0.0,0.0,1.0,0.349,22,10,7,23,2,San Jose Sharks,1
San Jose Sharks,4,31,0.0,0.0,1.0,0.514,9,12,11,12,2,Buffalo Sabres,4
San Jose Sharks,4,26,0.0,0.0,2.0,0.5660000000000001,7,14,3,24,4,Seattle Kraken,0
San Jose Sharks,12,31,0.667,2.0,3.0,0.466,20,9,6,18,2,Nashville Predators,6
San Jose Sharks,7,35,0.0,0.0,4.0,0.39,19,9,3,17,3,Chicago Blackhawks,3
San Jose Sharks,6,32,0.0,0.0,3.0,0.485,18,8,12,18,1,Montréal Canadiens,3
San Jose Sharks,2,23,0.667,2.0,3.0,0.41100000000000003,16,13,9,30,3,St. Louis Blues,6
San Jose Sharks,8,30,0.33299999999999996,1.0,3.0,0.61,20,14,6,28,3,Washington Capitals,8
Winnipeg Jets,14,24,0.0,0.0,2.0,0.6829999999999999,18,2,5,21,2,San Jose Sharks,3
Colorado Avalanche,30,13,0.0,0.0,3.0,0.525,16,7,8,42,6,San Jose Sharks,0
St. Louis Blues,8,34,0.0,0.0,4.0,0.623,10,19,5,12,4,San Jose Sharks,2
San Jose Sharks,10,29,0.5,2.0,4.0,0.507,19,11,10,22,2,Minnesota Wild,5
San Jose Sharks,6,48,0.33299999999999996,1.0,3.0,0.478,18,7,13,18,5,Columbus Blue Jackets,6
San Jose Sharks,6,32,0.0,0.0,3.0,0.426,18,5,11,17,1,Seattle Kraken,2
San Jose Sharks,6,33,0.2,1.0,5.0,0.385,19,7,4,15,1,New York Islanders,4
Edmonton Oilers,6,32,0.0,0.0,2.0,0.385,15,14,21,31,5,San Jose Sharks,4
Vancouver Canucks,10,19,0.0,0.0,2.0,0.5,18,6,4,34,7,San Jose Sharks,2
Calgary Flames,2,31,0.0,0.0,3.0,0.524,15,5,14,15,5,San Jose Sharks,3
San Jose Sharks,6,41,0.0,0.0,3.0,0.537,15,4,11,15,3,Winnipeg Jets,0
San Jose Sharks,6,26,0.33299999999999996,1.0,3.0,0.375,13,8,12,18,4,Vegas Golden Knights,3
Arizona Coyotes,4,31,0.429,3.0,7.0,0.591,19,10,10,25,2,San Jose Sharks,7
San Jose Sharks,2,42,0.0,0.0,3.0,0.413,14,8,10,12,3,Colorado Avalanche,4
San Jose Sharks,2,31,0.0,0.0,1.0,0.483,18,5,9,16,2,Colorado Avalanche,6
San Jose Sharks,4,35,0.0,0.0,1.0,0.392,19,12,6,21,1,Edmonton Oilers,6
Winnipeg Jets,4,21,0.25,1.0,4.0,0.48100000000000004,12,6,5,28,6,San Jose Sharks,2
Calgary Flames,2,24,0.0,0.0,2.0,0.514,23,4,8,15,3,San Jose Sharks,1
Edmonton Oilers,6,29,0.25,1.0,4.0,0.455,15,7,8,10,5,San Jose Sharks,2
