abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
SEA,EDM,0,12,0.444,19,22,Oilers,14,0/4,14,0.556,23,3,55,Kraken,13,0/6
SEA,CGY,0,15,0.509,9,20,Flames,6,0/6,19,0.491,15,3,55,Kraken,12,0/3
VAN,SEA,4,16,0.5710000000000001,30,55,Kraken,24,1/3,12,0.429,32,3,23,Canucks,20,2/5
SEA,VAN,0,16,0.542,21,23,Canucks,10,0/2,11,0.45799999999999996,11,4,55,Kraken,8,0/3
CGY,SEA,1,11,0.314,19,55,Kraken,4,1/5,3,0.6859999999999999,19,4,20,Flames,10,1/2
EDM,SEA,3,18,0.491,24,55,Kraken,4,1/2,7,0.509,36,5,22,Oilers,4,1/2
ANA,SEA,4,12,0.429,22,55,Kraken,11,3/5,16,0.5710000000000001,15,5,24,Ducks,15,2/3
LAK,SEA,4,15,0.423,44,55,Kraken,19,1/6,9,0.5770000000000001,28,1,26,Kings,21,1/5
SEA,VGK,5,20,0.652,12,54,Golden Knights,4,2/4,9,0.348,26,2,55,Kraken,8,1/2
SEA,CAR,5,10,0.517,18,12,Hurricanes,10,2/5,15,0.483,18,1,55,Kraken,10,1/5
SEA,STL,4,15,0.545,15,19,Blues,6,0/3,6,0.455,17,3,55,Kraken,10,0/1
COL,SEA,3,15,0.368,17,55,Kraken,9,1/5,8,0.632,37,2,21,Avalanche,15,0/2
CHI,SEA,4,10,0.305,8,55,Kraken,6,0/4,15,0.695,40,5,16,Blackhawks,8,2/3
SEA,BUF,1,7,0.6729999999999999,12,7,Sabres,6,0/4,17,0.327,15,5,55,Kraken,8,2/3
SEA,VAN,5,16,0.5820000000000001,21,23,Canucks,23,2/2,8,0.418,13,4,55,Kraken,19,1/4
SEA,PIT,1,16,0.478,25,5,Penguins,4,0/2,14,0.522,25,3,55,Kraken,4,0/2
CGY,SEA,5,19,0.385,18,55,Kraken,13,1/4,15,0.615,24,4,20,Flames,13,0/4
MIN,SEA,4,14,0.511,20,55,Kraken,4,1/2,8,0.489,26,0,30,Wild,4,0/2
PIT,SEA,3,18,0.429,35,55,Kraken,6,0/3,8,0.5710000000000001,34,2,5,Penguins,6,0/3
SEA,NSH,1,15,0.5870000000000001,21,18,Predators,2,0/2,22,0.413,16,5,55,Kraken,4,0/1
SEA,MIN,1,22,0.42,20,30,Wild,8,0/3,5,0.58,29,0,55,Kraken,6,0/4
SEA,WPG,3,11,0.435,19,52,Jets,10,2/7,22,0.565,20,2,55,Kraken,16,1/4
