home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Arizona Coyotes,4,25,0.16699999999999998,1.0,6.0,0.0,0,0,0,0,4,St. Louis Blues,5
Dallas Stars,6,28,0.0,0.0,1.0,0.43799999999999994,21,4,4,28,0,St. Louis Blues,4
Chicago Blackhawks,10,22,1.0,3.0,3.0,0.44,13,14,9,16,1,St. Louis Blues,4
St. Louis Blues,18,35,0.0,0.0,3.0,0.5489999999999999,10,8,4,28,4,Columbus Blue Jackets,2
St. Louis Blues,6,27,0.0,0.0,1.0,0.0,0,0,0,0,2,Dallas Stars,5
St. Louis Blues,14,28,0.0,0.0,4.0,0.389,22,12,4,37,4,Minnesota Wild,2
Columbus Blue Jackets,9,24,0.0,0.0,2.0,0.436,13,2,3,9,7,St. Louis Blues,0
St. Louis Blues,8,24,0.0,0.0,5.0,0.391,8,17,2,20,6,Chicago Blackhawks,0
St. Louis Blues,6,25,0.0,0.0,2.0,0.574,13,11,10,14,5,Columbus Blue Jackets,2
Seattle Kraken,6,28,0.0,0.0,3.0,0.545,15,9,3,15,3,St. Louis Blues,4
Edmonton Oilers,2,22,1.0,1.0,1.0,0.581,25,6,11,29,0,St. Louis Blues,2
Winnipeg Jets,12,25,0.0,0.0,2.0,0.604,16,6,9,19,4,St. Louis Blues,0
St. Louis Blues,6,28,0.0,0.0,2.0,0.5670000000000001,9,9,4,8,1,Edmonton Oilers,3
Nashville Predators,4,35,0.33299999999999996,1.0,3.0,0.479,19,7,11,25,6,St. Louis Blues,2
St. Louis Blues,6,25,0.667,2.0,3.0,0.509,11,16,10,16,4,Montréal Canadiens,7
St. Louis Blues,8,30,0.33299999999999996,1.0,3.0,0.491,12,15,4,17,1,Los Angeles Kings,5
St. Louis Blues,11,30,0.5,1.0,2.0,0.431,9,17,6,20,2,New York Islanders,5
Boston Bruins,6,27,0.0,0.0,3.0,0.434,19,6,11,33,3,St. Louis Blues,1
Philadelphia Flyers,12,28,0.0,0.0,2.0,0.6,9,4,14,34,5,St. Louis Blues,1
St. Louis Blues,4,30,0.0,0.0,0.0,0.515,10,8,10,19,5,San Jose Sharks,3
Vegas Golden Knights,0,28,0.0,0.0,4.0,0.397,23,5,7,29,2,St. Louis Blues,3
Colorado Avalanche,10,39,0.5,1.0,2.0,0.516,15,4,6,16,2,St. Louis Blues,3
Chicago Blackhawks,6,35,0.0,0.0,2.0,0.42,18,8,1,10,2,St. Louis Blues,5
St. Louis Blues,8,51,0.33299999999999996,1.0,3.0,0.353,10,5,1,17,4,Washington Capitals,4
St. Louis Blues,11,32,0.5,2.0,4.0,0.517,10,14,2,14,6,Anaheim Ducks,2
St. Louis Blues,6,28,0.0,0.0,2.0,0.38,15,9,6,13,3,Anaheim Ducks,1
Buffalo Sabres,8,36,0.33299999999999996,1.0,3.0,0.462,12,4,4,26,6,St. Louis Blues,2
Tampa Bay Lightning,11,27,0.33299999999999996,1.0,3.0,0.542,10,16,8,29,5,St. Louis Blues,2
Florida Panthers,11,37,0.0,0.0,4.0,0.54,7,6,9,21,4,St. Louis Blues,5
St. Louis Blues,7,24,0.0,0.0,1.0,0.638,8,14,9,15,1,Dallas Stars,4
St. Louis Blues,6,36,1.0,1.0,1.0,0.596,4,8,3,12,4,Carolina Hurricanes,6
Pittsburgh Penguins,18,28,0.0,0.0,2.0,0.491,16,4,3,36,6,St. Louis Blues,2
New York Rangers,4,29,0.25,1.0,4.0,0.452,12,4,4,21,6,St. Louis Blues,4
New York Islanders,4,28,0.0,0.0,2.0,0.41,17,3,20,18,4,St. Louis Blues,7
St. Louis Blues,4,20,1.0,1.0,1.0,0.46799999999999997,18,10,9,22,2,Winnipeg Jets,5
St. Louis Blues,8,31,0.0,0.0,3.0,0.4,11,11,7,21,2,Colorado Avalanche,3
St. Louis Blues,6,25,0.0,0.0,4.0,0.511,17,11,6,30,1,Nashville Predators,0
Edmonton Oilers,10,32,0.0,0.0,4.0,0.526,10,16,13,26,3,St. Louis Blues,3
Calgary Flames,6,24,0.5,1.0,2.0,0.53,15,9,15,11,2,St. Louis Blues,5
Vancouver Canucks,10,27,0.667,2.0,3.0,0.545,6,1,1,21,1,St. Louis Blues,5
Seattle Kraken,6,24,0.33299999999999996,1.0,3.0,0.396,10,6,5,18,5,St. Louis Blues,2
Vegas Golden Knights,4,29,0.33299999999999996,1.0,3.0,0.457,13,13,3,23,4,St. Louis Blues,4
St. Louis Blues,8,37,0.0,0.0,2.0,0.528,15,9,4,11,4,Toronto Maple Leafs,5
St. Louis Blues,6,22,0.5,1.0,2.0,0.512,10,12,10,17,3,Chicago Blackhawks,1
St. Louis Blues,20,32,0.0,0.0,2.0,0.28600000000000003,18,15,5,19,2,Minnesota Wild,5
Toronto Maple Leafs,6,32,1.0,2.0,2.0,0.377,17,5,10,52,5,St. Louis Blues,5
