home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Carolina Hurricanes,15,21,0.0,0.0,2.0,0.449,12,7,2,25,5,Tampa Bay Lightning,1
Tampa Bay Lightning,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,Carolina Hurricanes,0
Tampa Bay Lightning,15,31,0.0,0.0,2.0,0.54,12,10,7,26,0,Nashville Predators,2
Nashville Predators,34,28,0.0,0.0,6.0,0.38299999999999995,11,3,5,22,7,Tampa Bay Lightning,1
Florida Panthers,10,28,0.0,0.0,1.0,0.519,16,8,8,20,3,Tampa Bay Lightning,2
Tampa Bay Lightning,8,29,0.0,0.0,1.0,0.489,5,15,7,33,5,Florida Panthers,2
New York Rangers,8,26,0.16699999999999998,1.0,6.0,0.36200000000000004,22,8,15,19,3,Tampa Bay Lightning,1
Columbus Blue Jackets,8,39,0.5,1.0,2.0,0.28600000000000003,4,2,4,18,2,Tampa Bay Lightning,5
Pittsburgh Penguins,8,36,0.25,1.0,4.0,0.38299999999999995,14,4,11,21,6,Tampa Bay Lightning,2
Tampa Bay Lightning,16,24,0.5,1.0,2.0,0.377,16,6,4,27,2,Philadelphia Flyers,3
Florida Panthers,14,32,0.28600000000000003,2.0,7.0,0.529,15,7,5,29,2,Tampa Bay Lightning,3
Tampa Bay Lightning,6,35,0.0,0.0,3.0,0.426,9,4,4,48,5,New York Islanders,3
Los Angeles Kings,10,25,0.0,0.0,4.0,0.451,20,2,2,16,4,Tampa Bay Lightning,2
Anaheim Ducks,4,30,0.33299999999999996,1.0,3.0,0.45299999999999996,19,5,5,15,2,Tampa Bay Lightning,4
San Jose Sharks,6,26,0.0,0.0,2.0,0.545,13,9,9,21,3,Tampa Bay Lightning,4
Tampa Bay Lightning,26,15,0.0,0.0,3.0,0.5489999999999999,19,15,4,32,4,Ottawa Senators,3
Tampa Bay Lightning,12,55,0.16699999999999998,1.0,6.0,0.618,11,17,8,38,3,Carolina Hurricanes,3
Tampa Bay Lightning,4,24,0.33299999999999996,1.0,3.0,0.508,10,10,9,44,5,Buffalo Sabres,3
Tampa Bay Lightning,10,29,0.5,2.0,4.0,0.467,19,9,4,33,2,Edmonton Oilers,3
Washington Capitals,41,29,0.0,0.0,3.0,0.622,25,7,5,15,5,Tampa Bay Lightning,1
Tampa Bay Lightning,20,22,0.0,0.0,6.0,0.547,15,17,11,45,6,Washington Capitals,3
Tampa Bay Lightning,12,32,1.0,2.0,2.0,0.48700000000000004,16,7,7,43,5,Dallas Stars,4
Tampa Bay Lightning,6,40,0.33299999999999996,1.0,3.0,0.486,13,18,11,46,4,Calgary Flames,1
Nashville Predators,12,39,0.4,2.0,5.0,0.5,10,3,12,20,2,Tampa Bay Lightning,3
Tampa Bay Lightning,6,29,0.5,2.0,4.0,0.52,6,12,6,27,3,Boston Bruins,5
Tampa Bay Lightning,11,27,0.33299999999999996,1.0,3.0,0.542,10,16,8,29,5,St. Louis Blues,2
Buffalo Sabres,4,25,0.75,3.0,4.0,0.6,10,9,8,25,5,Tampa Bay Lightning,6
Boston Bruins,2,28,0.5,1.0,2.0,0.54,13,6,12,15,3,Tampa Bay Lightning,1
Philadelphia Flyers,6,27,0.33299999999999996,1.0,3.0,0.652,11,7,3,18,1,Tampa Bay Lightning,4
Tampa Bay Lightning,16,39,0.2,1.0,5.0,0.607,10,8,5,31,4,Toronto Maple Leafs,3
Tampa Bay Lightning,6,26,0.0,0.0,1.0,0.44,11,13,1,31,2,Detroit Red Wings,4
Tampa Bay Lightning,9,36,0.0,0.0,2.0,0.552,16,12,3,45,5,Nashville Predators,2
Tampa Bay Lightning,8,25,0.0,0.0,4.0,0.526,12,11,6,30,4,Florida Panthers,1
Tampa Bay Lightning,29,38,0.0,0.0,3.0,0.531,10,20,3,39,6,Seattle Kraken,2
Tampa Bay Lightning,6,25,0.0,0.0,1.0,0.518,18,13,8,37,4,Columbus Blue Jackets,1
Montréal Canadiens,13,27,0.33299999999999996,2.0,6.0,0.423,13,7,12,17,1,Tampa Bay Lightning,5
Toronto Maple Leafs,6,19,0.0,0.0,1.0,0.489,5,4,11,33,4,Tampa Bay Lightning,1
Detroit Red Wings,10,38,0.0,0.0,4.0,0.623,14,3,3,17,7,Tampa Bay Lightning,4
Tampa Bay Lightning,9,26,0.0,0.0,5.0,0.39299999999999996,13,9,6,25,4,Montréal Canadiens,1
Tampa Bay Lightning,2,46,0.0,0.0,3.0,0.382,22,4,5,40,1,New York Rangers,1
Tampa Bay Lightning,11,31,0.0,0.0,1.0,0.34600000000000003,10,7,4,24,5,Arizona Coyotes,3
Chicago Blackhawks,12,29,0.25,1.0,4.0,0.44299999999999995,20,8,5,11,1,Tampa Bay Lightning,4
Minnesota Wild,10,35,0.25,1.0,4.0,0.632,12,2,3,18,5,Tampa Bay Lightning,1
Winnipeg Jets,21,28,0.0,0.0,4.0,0.5710000000000001,14,7,7,11,4,Tampa Bay Lightning,2
Tampa Bay Lightning,10,24,0.0,0.0,1.0,0.33299999999999996,13,5,3,41,6,Columbus Blue Jackets,3
Tampa Bay Lightning,13,40,0.33299999999999996,1.0,3.0,0.514,16,11,2,36,5,Vancouver Canucks,4
St. Louis Blues,6,30,0.5,1.0,2.0,0.5820000000000001,12,19,8,15,2,Tampa Bay Lightning,4
Seattle Kraken,6,31,0.0,0.0,2.0,0.605,13,5,5,18,1,Tampa Bay Lightning,4
Vancouver Canucks,8,25,0.0,0.0,1.0,0.491,21,5,2,11,2,Tampa Bay Lightning,5
Edmonton Oilers,24,31,0.0,0.0,2.0,0.55,19,6,15,27,5,Tampa Bay Lightning,3
Calgary Flames,27,24,0.0,0.0,6.0,0.645,18,6,15,20,6,Tampa Bay Lightning,3
Tampa Bay Lightning,15,35,0.25,1.0,4.0,0.456,16,17,6,26,4,Minnesota Wild,2
Tampa Bay Lightning,15,39,0.0,0.0,2.0,0.46,11,8,2,26,3,Boston Bruins,2
Tampa Bay Lightning,14,28,0.0,0.0,2.0,0.414,17,7,4,30,5,Los Angeles Kings,2
Florida Panthers,16,33,0.0,0.0,2.0,0.532,17,2,4,13,7,Tampa Bay Lightning,1
Tampa Bay Lightning,17,22,0.667,2.0,3.0,0.485,27,24,3,35,3,San Jose Sharks,4
Tampa Bay Lightning,26,30,0.0,0.0,2.0,0.306,17,5,1,34,5,Colorado Avalanche,0
