home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Vancouver Canucks,19,45,0.125,1.0,8.0,0.5,20,4,5,23,2,Calgary Flames,3
Calgary Flames,14,19,0.0,0.0,5.0,0.615,4,8,2,17,4,Vancouver Canucks,0
Vancouver Canucks,24,29,0.33299999999999996,1.0,3.0,0.5710000000000001,16,4,2,30,3,Seattle Kraken,4
Seattle Kraken,10,17,0.0,0.0,2.0,0.542,16,6,1,21,4,Vancouver Canucks,0
Edmonton Oilers,8,30,0.2,1.0,5.0,0.371,15,6,15,25,7,Vancouver Canucks,2
Vancouver Canucks,20,21,0.0,0.0,3.0,0.0,0,0,0,0,5,Edmonton Oilers,4
Vancouver Canucks,62,7,0.0,0.0,4.0,0.37,17,4,8,21,4,Arizona Coyotes,0
Edmonton Oilers,8,36,0.125,1.0,8.0,0.521,17,9,10,31,5,Vancouver Canucks,3
Philadelphia Flyers,17,30,0.0,0.0,5.0,0.519,8,5,4,20,3,Vancouver Canucks,2
Washington Capitals,8,30,1.0,1.0,1.0,0.483,15,7,8,34,6,Vancouver Canucks,4
Columbus Blue Jackets,9,35,0.0,0.0,3.0,0.38299999999999995,14,11,3,13,4,Vancouver Canucks,3
Minnesota Wild,13,26,0.0,0.0,2.0,0.49,14,10,1,12,4,Vancouver Canucks,3
Vancouver Canucks,8,27,1.0,1.0,1.0,0.446,18,13,7,17,1,Buffalo Sabres,5
Vancouver Canucks,4,39,0.33299999999999996,1.0,3.0,0.6,14,3,2,11,2,Carolina Hurricanes,3
Seattle Kraken,23,19,1.0,2.0,2.0,0.5820000000000001,16,13,4,21,4,Vancouver Canucks,5
Vancouver Canucks,10,35,0.25,1.0,4.0,0.491,9,3,8,22,5,Pittsburgh Penguins,1
Vancouver Canucks,25,37,1.0,1.0,1.0,0.5770000000000001,17,7,3,14,2,New Jersey Devils,5
Vancouver Canucks,11,31,0.667,2.0,3.0,0.397,6,5,8,13,8,Anaheim Ducks,5
Vancouver Canucks,18,30,0.2,1.0,5.0,0.493,14,5,2,34,3,Nashville Predators,3
Ottawa Senators,17,28,0.0,0.0,3.0,0.435,16,3,11,24,4,Vancouver Canucks,6
Montréal Canadiens,10,33,0.0,0.0,2.0,0.528,8,5,9,16,5,Vancouver Canucks,2
Toronto Maple Leafs,4,29,0.25,1.0,4.0,0.43799999999999994,13,9,12,38,3,Vancouver Canucks,2
Boston Bruins,22,31,0.33299999999999996,2.0,6.0,0.36200000000000004,15,5,6,16,5,Vancouver Canucks,2
Buffalo Sabres,6,32,0.667,2.0,3.0,0.562,19,9,2,11,4,Vancouver Canucks,5
Vancouver Canucks,6,38,0.0,0.0,2.0,0.5,17,1,6,14,4,Los Angeles Kings,1
Vancouver Canucks,2,38,0.0,0.0,1.0,0.462,15,10,2,14,4,Vegas Golden Knights,5
Colorado Avalanche,12,25,0.0,0.0,5.0,0.528,17,8,4,12,3,Vancouver Canucks,4
Vegas Golden Knights,26,36,0.6,3.0,5.0,0.397,16,10,3,32,1,Vancouver Canucks,5
San Jose Sharks,2,20,0.0,0.0,2.0,0.436,15,8,10,28,3,Vancouver Canucks,4
Vancouver Canucks,6,28,0.0,0.0,1.0,0.469,12,7,1,13,1,Washington Capitals,5
Vancouver Canucks,11,32,0.0,0.0,2.0,0.456,12,7,4,10,1,Florida Panthers,5
Vancouver Canucks,16,23,0.33299999999999996,1.0,3.0,0.40700000000000003,20,2,3,13,3,Arizona Coyotes,2
Vancouver Canucks,9,26,0.0,0.0,3.0,0.475,13,3,2,20,7,Montréal Canadiens,6
San Jose Sharks,11,27,0.667,2.0,3.0,0.456,28,11,8,15,5,Vancouver Canucks,6
Vancouver Canucks,11,33,0.5,1.0,2.0,0.509,22,4,3,13,0,Minnesota Wild,3
Calgary Flames,12,27,0.0,0.0,2.0,0.5,13,10,9,26,3,Vancouver Canucks,3
Vancouver Canucks,6,27,0.5,1.0,2.0,0.42,16,3,1,11,1,Winnipeg Jets,5
Vancouver Canucks,10,27,0.667,2.0,3.0,0.545,6,1,1,21,1,St. Louis Blues,5
Vancouver Canucks,11,36,0.0,0.0,1.0,0.5,19,7,5,12,5,Seattle Kraken,5
Edmonton Oilers,6,30,0.5,1.0,2.0,0.415,20,8,11,24,2,Vancouver Canucks,5
Vancouver Canucks,2,26,0.5,1.0,2.0,0.528,15,2,4,18,6,San Jose Sharks,2
Winnipeg Jets,8,22,0.0,0.0,2.0,0.519,17,3,9,20,4,Vancouver Canucks,2
Calgary Flames,4,24,0.0,0.0,4.0,0.41700000000000004,8,10,7,19,3,Vancouver Canucks,2
Vancouver Canucks,6,29,0.5,1.0,2.0,0.408,18,1,3,30,2,New York Islanders,6
Vancouver Canucks,24,32,0.2,1.0,5.0,0.424,6,2,7,24,4,Colorado Avalanche,2
Winnipeg Jets,0,38,0.33299999999999996,1.0,3.0,0.509,13,6,4,33,7,Vancouver Canucks,4
Pittsburgh Penguins,12,24,0.0,0.0,5.0,0.37,17,10,6,20,5,Vancouver Canucks,4
Tampa Bay Lightning,13,40,0.33299999999999996,1.0,3.0,0.514,16,11,2,36,5,Vancouver Canucks,4
Florida Panthers,8,38,0.2,1.0,5.0,0.5,11,4,8,18,4,Vancouver Canucks,3
Carolina Hurricanes,4,32,0.0,0.0,1.0,0.46,17,9,9,31,3,Vancouver Canucks,3
Vancouver Canucks,8,25,0.0,0.0,1.0,0.491,21,5,2,11,2,Tampa Bay Lightning,5
Vancouver Canucks,8,29,0.5,2.0,4.0,0.474,7,2,1,10,1,Colorado Avalanche,4
Vancouver Canucks,6,29,1.0,1.0,1.0,0.547,12,6,4,16,2,Edmonton Oilers,4
Vancouver Canucks,30,14,0.0,0.0,3.0,0.522,17,4,1,22,5,Chicago Blackhawks,2
Seattle Kraken,13,20,0.0,0.0,5.0,0.444,18,12,3,20,6,Vancouver Canucks,1
Vancouver Canucks,8,26,0.5,2.0,4.0,0.40700000000000003,10,1,2,22,5,Columbus Blue Jackets,2
New Jersey Devils,8,30,0.0,0.0,1.0,0.433,14,4,7,33,5,Vancouver Canucks,4
New York Rangers,6,25,0.0,0.0,1.0,0.5,14,11,11,21,4,Vancouver Canucks,3
New York Islanders,6,34,0.5,2.0,4.0,0.469,15,2,9,23,5,Vancouver Canucks,6
Detroit Red Wings,12,34,0.33299999999999996,1.0,3.0,0.531,10,4,5,19,5,Vancouver Canucks,2
Vancouver Canucks,8,23,1.0,1.0,1.0,0.43200000000000005,13,5,11,16,1,Detroit Red Wings,6
Vancouver Canucks,4,28,0.0,0.0,1.0,0.368,17,5,4,24,4,New York Rangers,6
Vancouver Canucks,4,37,0.5,1.0,2.0,0.397,10,3,8,24,6,Philadelphia Flyers,2
Nashville Predators,8,39,0.25,1.0,4.0,0.40399999999999997,15,8,4,28,4,Vancouver Canucks,4
St. Louis Blues,11,41,0.0,0.0,4.0,0.469,12,6,1,10,2,Vancouver Canucks,3
Vancouver Canucks,6,35,0.33299999999999996,1.0,3.0,0.649,7,5,2,15,1,Boston Bruins,3
Dallas Stars,10,21,0.33299999999999996,1.0,3.0,0.41200000000000003,21,6,9,24,4,Vancouver Canucks,5
Vancouver Canucks,11,36,0.0,0.0,5.0,0.525,18,3,1,20,1,Minnesota Wild,2
Vancouver Canucks,21,37,0.25,1.0,4.0,0.54,16,2,7,16,4,Toronto Maple Leafs,1
Vancouver Canucks,11,32,0.0,0.0,1.0,0.429,9,6,4,19,3,Nashville Predators,3
Vancouver Canucks,0,22,0.0,0.0,2.0,0.426,12,3,3,12,3,Anaheim Ducks,2
Vancouver Canucks,21,20,0.0,0.0,3.0,0.522,12,11,10,31,5,Ottawa Senators,2
Vancouver Canucks,8,27,0.33299999999999996,1.0,3.0,0.562,10,3,6,26,5,Dallas Stars,2
Arizona Coyotes,6,31,0.0,0.0,5.0,0.40399999999999997,15,4,4,19,3,Vancouver Canucks,2
Los Angeles Kings,4,17,1.0,1.0,1.0,0.38799999999999996,19,7,6,32,2,Vancouver Canucks,2
Anaheim Ducks,6,40,0.25,1.0,4.0,0.578,11,4,7,13,1,Vancouver Canucks,2
Vancouver Canucks,4,27,0.0,0.0,4.0,0.534,12,4,1,17,3,Vegas Golden Knights,4
Vancouver Canucks,10,19,0.0,0.0,2.0,0.5,18,6,4,34,7,San Jose Sharks,2
Dallas Stars,8,24,0.0,0.0,3.0,0.509,21,6,5,16,1,Vancouver Canucks,3
Chicago Blackhawks,6,31,0.33299999999999996,1.0,3.0,0.5,11,5,6,21,2,Vancouver Canucks,4
St. Louis Blues,7,37,0.667,2.0,3.0,0.588,9,16,5,15,6,Vancouver Canucks,5
Vancouver Canucks,4,41,0.16699999999999998,1.0,6.0,0.455,12,2,1,30,4,Calgary Flames,5
Vancouver Canucks,8,25,0.5,1.0,2.0,0.48100000000000004,14,3,1,30,1,Los Angeles Kings,4
Vancouver Canucks,15,28,0.25,1.0,4.0,0.48100000000000004,11,2,3,27,2,Seattle Kraken,5
Vancouver Canucks,8,33,0.0,0.0,3.0,0.545,8,3,3,35,3,Chicago Blackhawks,0
Vancouver Canucks,6,43,0.5,1.0,2.0,0.429,13,3,1,31,2,Calgary Flames,2
Los Angeles Kings,12,20,0.0,0.0,2.0,0.419,15,5,6,38,3,Vancouver Canucks,0
Anaheim Ducks,10,36,0.5,2.0,4.0,0.446,12,5,6,16,2,Vancouver Canucks,3
Arizona Coyotes,13,24,0.5,2.0,4.0,0.532,11,2,7,24,4,Vancouver Canucks,5
