abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
COL,VGK,1,9,0.547,20,54,Golden Knights,18,1/5,18,0.45299999999999996,13,3,21,Avalanche,10,2/9
VGK,LAK,2,11,0.462,38,26,Kings,8,1/3,13,0.5379999999999999,24,1,54,Golden Knights,6,0/4
VGK,COL,1,4,0.321,48,21,Avalanche,4,0/4,14,0.679,32,7,54,Golden Knights,8,0/2
VGK,SJS,7,13,0.409,22,28,Sharks,11,2/2,10,0.591,15,3,54,Golden Knights,9,1/3
VGK,ARI,3,8,0.507,29,53,Coyotes,8,1/3,14,0.493,40,4,54,Golden Knights,8,0/3
LAK,VGK,6,0,0.0,0,54,Golden Knights,6,1/3,0,0.0,0,4,26,Kings,6,2/3
VGK,ARI,1,0,0.0,0,53,Coyotes,10,0/2,0,0.0,0,5,54,Golden Knights,4,2/5
LAK,VGK,4,13,0.508,25,54,Golden Knights,6,1/5,22,0.49200000000000005,23,3,26,Kings,10,0/3
VGK,CHI,0,22,0.509,41,16,Blackhawks,6,0/2,19,0.491,20,1,54,Golden Knights,4,0/3
SEA,VGK,5,20,0.652,12,54,Golden Knights,4,2/4,9,0.348,26,2,55,Kraken,8,1/2
CGY,VGK,2,23,0.46399999999999997,13,54,Golden Knights,12,0/4,8,0.536,21,3,20,Flames,8,2/6
VGK,WPG,2,9,0.5,38,52,Jets,6,0/1,10,0.5,23,5,54,Golden Knights,2,0/3
VGK,COL,3,16,0.39299999999999996,38,21,Avalanche,8,2/2,27,0.607,41,2,54,Golden Knights,4,1/4
VGK,TOR,1,18,0.509,29,10,Maple Leafs,6,0/2,29,0.491,34,3,54,Golden Knights,4,1/3
SJS,VGK,4,27,0.49200000000000005,14,54,Golden Knights,4,0/1,19,0.508,23,2,28,Sharks,2,0/2
VGK,ANA,0,12,0.475,26,24,Ducks,9,0/2,18,0.525,20,4,54,Golden Knights,9,1/2
VGK,WPG,1,16,0.41100000000000003,42,52,Jets,6,0/1,20,0.589,21,2,54,Golden Knights,2,0/3
WSH,VGK,3,23,0.414,27,54,Golden Knights,6,1/2,26,0.586,27,2,15,Capitals,6,1/2
OTT,VGK,5,21,0.5,26,54,Golden Knights,6,1/4,7,0.5,20,4,9,Senators,8,0/3
MTL,VGK,6,18,0.569,18,54,Golden Knights,6,2/4,27,0.431,9,4,8,Canadiens,21,1/1
TOR,VGK,4,12,0.38799999999999996,42,54,Golden Knights,4,0/2,10,0.612,34,3,10,Maple Leafs,4,0/2
BUF,VGK,7,24,0.586,15,54,Golden Knights,6,1/2,15,0.414,8,4,7,Sabres,4,2/3
VGK,STL,3,23,0.397,29,19,Blues,0,0/4,20,0.603,32,2,54,Golden Knights,8,0/0
VGK,SJS,5,13,0.441,35,28,Sharks,6,1/2,23,0.5589999999999999,27,2,54,Golden Knights,4,0/3
VGK,ARI,1,11,0.528,31,53,Coyotes,15,0/4,17,0.47200000000000003,25,4,54,Golden Knights,13,1/5
EDM,VGK,3,13,0.556,20,54,Golden Knights,6,0/3,16,0.444,31,4,22,Oilers,6,1/3
VAN,VGK,5,15,0.462,14,54,Golden Knights,2,0/1,12,0.5379999999999999,25,4,23,Canucks,2,0/1
VGK,OTT,1,12,0.446,49,9,Senators,8,1/2,24,0.5539999999999999,19,4,54,Golden Knights,4,1/4
VGK,SEA,4,15,0.426,29,55,Kraken,2,0/2,24,0.574,28,2,54,Golden Knights,4,1/1
VGK,VAN,5,16,0.397,32,23,Canucks,26,3/5,17,0.603,41,1,54,Golden Knights,20,0/3
CBJ,VGK,3,15,0.556,16,54,Golden Knights,4,0/4,14,0.444,14,2,29,Blue Jackets,8,0/2
PIT,VGK,3,29,0.519,30,54,Golden Knights,12,2/3,10,0.48100000000000004,41,4,5,Penguins,10,1/4
DET,VGK,4,23,0.462,20,54,Golden Knights,6,1/1,16,0.5379999999999999,19,1,17,Red Wings,2,1/3
