home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Washington Capitals,4,28,0.5,2.0,4.0,0.4,11,3,5,13,3,Buffalo Sabres,4
Philadelphia Flyers,2,27,0.33299999999999996,1.0,3.0,0.447,11,4,9,22,1,Washington Capitals,3
Detroit Red Wings,6,31,0.0,0.0,2.0,0.556,11,2,5,31,0,Washington Capitals,2
Columbus Blue Jackets,4,35,0.0,0.0,3.0,0.474,6,6,9,15,2,Washington Capitals,1
Washington Capitals,9,33,0.25,1.0,4.0,0.467,13,5,4,22,4,Detroit Red Wings,2
Washington Capitals,8,39,0.25,1.0,4.0,0.536,19,6,9,22,4,Columbus Blue Jackets,3
Washington Capitals,8,30,0.33299999999999996,1.0,3.0,0.627,20,6,8,32,2,Boston Bruins,5
Toronto Maple Leafs,6,26,0.0,0.0,5.0,0.46399999999999997,9,10,14,33,3,Washington Capitals,2
Washington Capitals,13,22,0.0,0.0,3.0,0.596,20,7,14,21,3,Montréal Canadiens,1
Washington Capitals,8,30,1.0,1.0,1.0,0.483,15,7,8,34,6,Vancouver Canucks,4
Ottawa Senators,15,24,0.5,2.0,4.0,0.358,21,3,6,24,5,Washington Capitals,2
Washington Capitals,6,26,0.0,0.0,1.0,0.643,18,8,9,16,4,Los Angeles Kings,3
New Jersey Devils,8,22,0.33299999999999996,1.0,3.0,0.493,12,3,6,31,3,Washington Capitals,6
Dallas Stars,8,27,0.0,0.0,3.0,0.316,15,10,4,21,2,Washington Capitals,0
Nashville Predators,10,35,0.0,0.0,3.0,0.387,14,7,5,28,0,Washington Capitals,3
Carolina Hurricanes,16,20,0.25,1.0,4.0,0.45,20,4,6,32,2,Washington Capitals,2
Washington Capitals,6,31,0.5,1.0,2.0,0.414,23,8,7,27,2,Vegas Golden Knights,3
Detroit Red Wings,8,34,0.0,0.0,4.0,0.636,7,4,8,19,3,Washington Capitals,1
Washington Capitals,6,26,0.0,0.0,3.0,0.439,18,12,7,20,2,Arizona Coyotes,3
Washington Capitals,12,29,0.0,0.0,1.0,0.478,19,5,7,21,5,Edmonton Oilers,4
Washington Capitals,13,28,0.0,0.0,3.0,0.509,19,16,9,32,1,Pittsburgh Penguins,4
Washington Capitals,41,29,0.0,0.0,3.0,0.622,25,7,5,15,5,Tampa Bay Lightning,1
Tampa Bay Lightning,20,22,0.0,0.0,6.0,0.547,15,17,11,45,6,Washington Capitals,3
Florida Panthers,4,43,0.0,0.0,5.0,0.55,16,4,10,24,5,Washington Capitals,2
St. Louis Blues,8,51,0.33299999999999996,1.0,3.0,0.353,10,5,1,17,4,Washington Capitals,4
Washington Capitals,4,29,0.33299999999999996,1.0,3.0,0.40700000000000003,18,9,10,22,0,Colorado Avalanche,4
Washington Capitals,6,23,0.0,0.0,4.0,0.423,20,4,8,35,3,Philadelphia Flyers,2
Washington Capitals,4,32,0.0,0.0,2.0,0.5,17,7,9,28,3,Calgary Flames,0
New Jersey Devils,8,38,0.25,1.0,4.0,0.48100000000000004,4,6,5,11,5,Washington Capitals,1
Vancouver Canucks,6,28,0.0,0.0,1.0,0.469,12,7,1,13,1,Washington Capitals,5
Seattle Kraken,9,23,0.25,1.0,4.0,0.574,25,7,7,21,3,Washington Capitals,2
Calgary Flames,6,29,0.25,1.0,4.0,0.557,20,6,4,24,5,Washington Capitals,2
Edmonton Oilers,2,50,0.33299999999999996,1.0,3.0,0.518,15,7,10,27,2,Washington Capitals,3
Philadelphia Flyers,6,27,0.25,1.0,4.0,0.536,9,9,8,20,1,Washington Capitals,4
Washington Capitals,9,26,0.0,0.0,2.0,0.43200000000000005,10,12,1,29,4,Seattle Kraken,1
Winnipeg Jets,6,36,0.5,1.0,2.0,0.519,19,2,9,12,2,Washington Capitals,5
Chicago Blackhawks,6,30,1.0,1.0,1.0,0.39,14,11,7,16,3,Washington Capitals,7
Washington Capitals,4,26,0.5,1.0,2.0,0.469,14,2,5,15,1,Dallas Stars,2
Washington Capitals,4,36,0.0,0.0,2.0,0.605,10,5,9,17,5,Toronto Maple Leafs,2
Washington Capitals,8,19,0.33299999999999996,1.0,3.0,0.447,14,11,7,24,4,Detroit Red Wings,3
Ottawa Senators,12,40,0.33299999999999996,1.0,3.0,0.441,25,1,12,14,2,Washington Capitals,3
Washington Capitals,8,26,0.0,0.0,2.0,0.446,16,8,8,30,4,Winnipeg Jets,1
New York Rangers,10,30,0.33299999999999996,1.0,3.0,0.556,16,7,7,19,0,Washington Capitals,4
Washington Capitals,4,45,0.0,0.0,1.0,0.537,14,14,0,36,3,Ottawa Senators,4
Washington Capitals,12,33,0.5,1.0,2.0,0.49200000000000005,14,11,7,22,9,Montréal Canadiens,2
Washington Capitals,2,29,0.33299999999999996,1.0,3.0,0.306,10,5,8,21,4,Buffalo Sabres,5
Columbus Blue Jackets,4,37,1.0,2.0,2.0,0.653,12,6,6,16,2,Washington Capitals,6
Washington Capitals,6,21,0.0,0.0,2.0,0.6,21,3,6,28,2,Nashville Predators,3
Washington Capitals,9,38,0.0,0.0,2.0,0.375,15,6,2,32,1,Columbus Blue Jackets,0
Philadelphia Flyers,12,29,0.0,0.0,1.0,0.444,7,4,9,28,5,Washington Capitals,3
Washington Capitals,10,25,0.33299999999999996,1.0,3.0,0.451,25,4,5,31,1,Philadelphia Flyers,3
New York Islanders,4,35,0.0,0.0,1.0,0.569,13,3,19,37,3,Washington Capitals,4
Washington Capitals,8,22,0.0,0.0,2.0,0.509,15,6,6,33,2,Minnesota Wild,4
