home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Edmonton Oilers,6,29,0.0,0.0,4.0,0.462,9,5,8,27,4,Winnipeg Jets,0
Winnipeg Jets,6,27,0.0,0.0,2.0,0.40399999999999997,12,6,7,24,5,Ottawa Senators,3
Montréal Canadiens,18,25,0.0,0.0,4.0,0.475,17,6,10,25,3,Winnipeg Jets,4
Winnipeg Jets,19,27,0.2,1.0,5.0,0.5,15,4,7,24,2,Edmonton Oilers,2
Winnipeg Jets,12,37,0.0,0.0,6.0,0.5539999999999999,11,4,13,14,5,Calgary Flames,0
Calgary Flames,16,16,0.25,1.0,4.0,0.444,8,4,6,14,3,Winnipeg Jets,5
Winnipeg Jets,6,41,0.0,0.0,2.0,0.491,18,3,20,25,4,New York Rangers,1
Dallas Stars,8,25,0.0,0.0,5.0,0.451,11,8,13,13,4,Winnipeg Jets,1
Colorado Avalanche,6,28,0.5,1.0,2.0,0.462,25,6,7,27,3,Winnipeg Jets,4
Vegas Golden Knights,6,28,0.0,0.0,1.0,0.5,9,4,5,38,5,Winnipeg Jets,2
Winnipeg Jets,15,28,0.667,2.0,3.0,0.522,12,6,12,17,1,Toronto Maple Leafs,4
Winnipeg Jets,12,25,0.0,0.0,2.0,0.604,16,6,9,19,4,St. Louis Blues,0
Los Angeles Kings,8,19,0.4,2.0,5.0,0.33299999999999996,22,3,4,25,4,Winnipeg Jets,6
Arizona Coyotes,6,35,0.0,0.0,5.0,0.40700000000000003,11,4,7,18,2,Winnipeg Jets,3
Vegas Golden Knights,6,24,0.0,0.0,1.0,0.41100000000000003,16,12,8,42,2,Winnipeg Jets,1
Winnipeg Jets,10,22,0.0,0.0,2.0,0.465,15,5,7,23,3,Montréal Canadiens,2
Winnipeg Jets,8,30,0.0,0.0,3.0,0.519,13,8,19,27,4,Chicago Blackhawks,0
Winnipeg Jets,9,22,0.0,0.0,1.0,0.51,10,7,10,24,5,Dallas Stars,1
Calgary Flames,10,23,0.0,0.0,3.0,0.534,15,4,7,16,3,Winnipeg Jets,2
Seattle Kraken,10,30,0.28600000000000003,2.0,7.0,0.435,11,5,9,19,2,Winnipeg Jets,3
Winnipeg Jets,11,31,0.0,0.0,1.0,0.415,16,6,7,9,3,Anaheim Ducks,2
Winnipeg Jets,4,32,0.0,0.0,2.0,0.47600000000000003,7,7,11,22,0,Pittsburgh Penguins,3
Winnipeg Jets,6,27,0.0,0.0,2.0,0.512,9,4,8,18,4,Carolina Hurricanes,3
Minnesota Wild,19,29,0.0,0.0,2.0,0.42100000000000004,12,3,5,14,6,Winnipeg Jets,1
Dallas Stars,20,28,0.0,0.0,2.0,0.308,15,7,4,23,4,Winnipeg Jets,5
Chicago Blackhawks,8,44,0.5,2.0,4.0,0.551,9,3,6,17,2,Winnipeg Jets,7
Winnipeg Jets,6,40,0.0,0.0,3.0,0.37,9,7,3,19,5,Colorado Avalanche,0
Winnipeg Jets,10,26,0.0,0.0,3.0,0.522,27,6,14,19,1,Columbus Blue Jackets,4
Winnipeg Jets,8,30,0.0,0.0,3.0,0.474,12,3,9,12,5,Anaheim Ducks,2
Winnipeg Jets,13,41,0.25,1.0,4.0,0.32799999999999996,10,6,4,15,5,Florida Panthers,2
St. Louis Blues,4,20,1.0,1.0,1.0,0.46799999999999997,18,10,9,22,2,Winnipeg Jets,5
Chicago Blackhawks,10,32,0.25,1.0,4.0,0.358,15,7,6,13,1,Winnipeg Jets,3
Winnipeg Jets,6,36,0.5,1.0,2.0,0.519,19,2,9,12,2,Washington Capitals,5
Winnipeg Jets,4,33,0.667,2.0,3.0,0.49200000000000005,14,7,9,19,5,Vegas Golden Knights,6
Winnipeg Jets,17,26,0.0,0.0,3.0,0.531,16,6,11,25,2,Nashville Predators,1
Vancouver Canucks,6,27,0.5,1.0,2.0,0.42,16,3,1,11,1,Winnipeg Jets,5
Seattle Kraken,6,17,0.667,2.0,3.0,0.42,16,3,7,14,3,Winnipeg Jets,2
Winnipeg Jets,2,36,0.5,1.0,2.0,0.551,9,6,12,31,5,Ottawa Senators,1
Boston Bruins,8,27,0.0,0.0,2.0,0.358,9,10,6,28,3,Winnipeg Jets,2
Washington Capitals,8,26,0.0,0.0,2.0,0.446,16,8,8,30,4,Winnipeg Jets,1
Winnipeg Jets,6,28,1.0,1.0,1.0,0.40299999999999997,11,5,5,22,1,Minnesota Wild,4
Winnipeg Jets,8,22,0.0,0.0,2.0,0.519,17,3,9,20,4,Vancouver Canucks,2
Edmonton Oilers,10,17,0.33299999999999996,1.0,3.0,0.5529999999999999,20,8,13,23,1,Winnipeg Jets,2
Winnipeg Jets,10,35,0.0,0.0,2.0,0.544,17,7,9,20,3,Calgary Flames,2
Winnipeg Jets,21,28,0.0,0.0,4.0,0.5710000000000001,14,7,7,11,4,Tampa Bay Lightning,2
Winnipeg Jets,0,38,0.33299999999999996,1.0,3.0,0.509,13,6,4,33,7,Vancouver Canucks,4
Detroit Red Wings,6,37,0.33299999999999996,1.0,3.0,0.523,11,9,4,20,7,Winnipeg Jets,5
Buffalo Sabres,10,27,0.0,0.0,2.0,0.516,23,7,7,19,2,Winnipeg Jets,4
Pittsburgh Penguins,9,40,0.5,1.0,2.0,0.45799999999999996,11,7,3,33,1,Winnipeg Jets,4
Winnipeg Jets,4,21,0.0,0.0,3.0,0.37,10,6,10,16,2,Arizona Coyotes,1
Montréal Canadiens,11,26,0.5,1.0,2.0,0.529,10,5,11,20,4,Winnipeg Jets,1
Toronto Maple Leafs,2,38,0.25,1.0,4.0,0.589,5,7,8,26,4,Winnipeg Jets,1
Ottawa Senators,15,30,0.25,2.0,8.0,0.48100000000000004,17,5,3,14,1,Winnipeg Jets,5
Philadelphia Flyers,8,30,0.0,0.0,5.0,0.5,15,2,8,28,3,Winnipeg Jets,5
Nashville Predators,11,33,0.0,0.0,3.0,0.5,11,8,11,19,2,Winnipeg Jets,1
Winnipeg Jets,6,36,0.5,1.0,2.0,0.5579999999999999,15,7,9,10,2,Buffalo Sabres,3
Winnipeg Jets,8,33,0.0,0.0,2.0,0.466,17,7,7,11,0,Philadelphia Flyers,4
Winnipeg Jets,12,26,0.5,1.0,2.0,0.508,19,7,9,21,4,St. Louis Blues,2
