abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
SJS,ANA,1,10,51.7,23,24,Ducks,8,1/3,11,48.3,17,4,28,Sharks,6,0/4
ANA,SJS,7,5,56.5,19,28,Sharks,2,0/3,14,43.5,19,3,24,Ducks,6,0/1
ARI,ANA,1,8,55.2,28,24,Ducks,15,0/3,9,44.8,27,6,53,Coyotes,11,2/5
ANA,ARI,2,15,51.7,17,53,Coyotes,2,2/3,8,48.3,19,4,24,Ducks,6,0/1
ANA,LAK,4,20,50.0,20,26,Kings,29,1/2,9,50.0,15,7,24,Ducks,23,1/5
LAK,ANA,3,15,42.6,17,24,Ducks,12,0/6,11,57.4,27,0,26,Kings,14,0/5
SJS,ANA,5,16,48.3,25,24,Ducks,6,2/3,13,51.7,21,2,28,Sharks,6,0/3
ARI,ANA,1,21,45.6,25,24,Ducks,8,0/2,5,54.4,26,0,53,Coyotes,4,0/4
ANA,DET,2,12,53.7,15,17,Red Wings,6,0/2,14,46.3,28,3,24,Ducks,4,0/3
ANA,ARI,3,13,53.8,17,53,Coyotes,6,1/3,19,46.2,27,2,24,Ducks,6,0/3
DAL,ANA,3,24,44.8,16,24,Ducks,6,1/2,15,55.2,14,5,25,Stars,4,2/3
STL,ANA,3,18,34.8,18,24,Ducks,6,1/2,12,65.2,22,2,19,Blues,4,1/3
ANA,NYI,1,11,53.1,13,2,Islanders,13,0/4,12,46.9,11,4,24,Ducks,15,1/3
VGK,ANA,1,22,58.5,38,24,Ducks,10,0/2,21,41.5,31,3,54,Golden Knights,4,1/5
ANA,BUF,4,7,47.3,15,7,Sabres,9,2/4,11,52.7,12,2,24,Ducks,13,0/2
CHI,ANA,1,17,54.2,27,24,Ducks,10,0/4,20,45.8,21,3,16,Blackhawks,10,1/4
DAL,ANA,2,20,43.9,27,24,Ducks,17,0/3,17,56.1,13,5,25,Stars,17,0/3
ANA,SJS,4,10,45.3,16,28,Sharks,4,0/2,16,54.7,27,3,24,Ducks,6,0/1
ANA,PHI,3,25,45.6,25,4,Flyers,6,1/4,16,54.4,17,2,24,Ducks,8,1/3
ANA,NYR,3,13,43.8,14,3,Rangers,6,1/3,16,56.3,18,2,24,Ducks,6,1/3
ANA,CBJ,2,14,49.1,18,29,Blue Jackets,10,0/6,10,50.9,13,3,24,Ducks,12,0/5
LAK,ANA,1,9,57.1,18,24,Ducks,2,0/4,23,42.9,24,4,26,Kings,8,1/1
ANA,CGY,2,5,57.7,6,20,Flames,6,1/3,11,42.3,13,3,24,Ducks,6,0/3
ANA,MIN,5,11,56.9,15,30,Wild,9,0/4,15,43.1,35,1,24,Ducks,13,1/2
ANA,NSH,1,10,44.7,17,18,Predators,9,0/7,18,55.3,6,2,24,Ducks,19,0/2
VGK,ANA,0,17,59.3,22,24,Ducks,12,0/4,33,40.7,29,5,54,Golden Knights,8,1/6
ANA,TOR,2,18,47.5,11,10,Maple Leafs,2,0/2,19,52.5,16,1,24,Ducks,4,0/1
ANA,COL,4,11,41.3,27,21,Avalanche,6,2/2,24,58.7,16,3,24,Ducks,4,1/3
ANA,VAN,3,12,53.3,31,23,Canucks,8,1/2,12,46.7,29,4,24,Ducks,4,1/4
ANA,EDM,1,10,38.3,44,22,Oilers,4,1/2,19,61.7,31,2,24,Ducks,4,0/2
NSH,ANA,2,3,49.3,15,24,Ducks,16,1/5,10,50.7,14,5,18,Predators,16,2/5
TBL,ANA,3,13,50.0,22,24,Ducks,8,1/3,8,50.0,29,1,14,Lightning,6,0/4
FLA,ANA,3,10,58.5,16,24,Ducks,6,0/2,6,41.5,15,2,13,Panthers,4,1/3
CAR,ANA,2,17,44.1,27,24,Ducks,12,0/3,4,55.9,42,1,12,Hurricanes,6,0/6
WSH,ANA,6,14,43.5,19,24,Ducks,10,2/3,12,56.5,9,5,15,Capitals,6,1/5
ANA,CHI,2,15,50.0,29,16,Blackhawks,7,0/3,16,50.0,31,4,24,Ducks,11,0/1
ANA,CAR,4,12,40.7,28,12,Hurricanes,19,0/4,12,59.3,36,1,24,Ducks,27,0/5
ANA,NJD,5,15,40.0,28,1,Devils,2,1/3,13,60.0,31,6,24,Ducks,6,0/1
ANA,DAL,3,14,48.4,26,25,Stars,2,2/3,11,51.6,27,6,24,Ducks,6,0/1
CBJ,ANA,2,12,66.1,17,24,Ducks,8,0/1,13,33.9,21,1,29,Blue Jackets,4,0/3
PIT,ANA,4,17,58.8,30,24,Ducks,8,1/2,13,41.2,29,2,5,Penguins,4,1/4
NYR,ANA,1,13,64.0,24,24,Ducks,10,0/5,14,36.0,37,3,3,Rangers,14,0/3
BOS,ANA,1,10,55.4,25,24,Ducks,8,0/4,10,44.6,22,3,6,Bruins,8,2/4
BUF,ANA,0,11,58.0,17,24,Ducks,28,0/3,15,42.0,18,3,7,Sabres,6,1/4
SJS,ANA,2,11,51.0,12,24,Ducks,8,1/4,23,49.0,16,4,28,Sharks,10,0/3
ANA,ARI,5,9,33.9,28,53,Coyotes,10,1/3,11,66.1,29,4,24,Ducks,6,1/5
ANA,TBL,2,10,41.2,35,14,Lightning,4,0/3,12,58.8,31,1,24,Ducks,8,0/1
ANA,VGK,3,13,55.8,25,54,Golden Knights,6,0/3,13,44.2,33,2,24,Ducks,6,1/3
ANA,EDM,4,24,43.1,27,22,Oilers,12,0/1,10,56.9,21,0,24,Ducks,8,0/3
ANA,OTT,2,18,54.8,25,9,Senators,6,0/0,9,45.2,24,1,24,Ducks,0,0/3
ANA,PIT,7,12,44.7,26,5,Penguins,4,1/3,16,55.3,25,4,24,Ducks,6,0/2
WPG,ANA,3,11,57.1,21,24,Ducks,8,0/2,13,42.9,23,4,52,Jets,6,1/3
DET,ANA,1,13,37.7,25,24,Ducks,0,1/2,8,62.3,9,3,17,Red Wings,4,0/0
MIN,ANA,3,17,57.7,18,24,Ducks,8,0/4,11,42.3,20,0,30,Wild,8,0/4
NJD,ANA,3,11,51.1,19,24,Ducks,13,1/2,9,48.9,19,2,1,Devils,9,0/4
NYI,ANA,0,11,56.5,20,24,Ducks,6,0/1,12,43.5,16,3,2,Islanders,2,1/3
ANA,STL,5,16,49.1,25,19,Blues,2,0/0,12,50.9,32,1,24,Ducks,0,0/1
WPG,ANA,3,9,55.9,12,24,Ducks,8,0/1,14,44.1,20,9,52,Jets,2,3/4
TOR,ANA,1,20,41.2,36,24,Ducks,6,0/1,11,58.8,11,6,10,Maple Leafs,2,1/3
MTL,ANA,1,19,58.5,28,24,Ducks,6,0/1,19,41.5,25,4,8,Canadiens,2,0/3
OTT,ANA,0,14,61.7,22,24,Ducks,2,0/3,26,38.3,32,4,9,Senators,6,0/1
PHI,ANA,2,15,43.8,14,24,Ducks,12,2/4,19,56.3,10,6,4,Flyers,10,1/5
ANA,VAN,0,12,44.1,15,23,Canucks,18,0/4,23,55.9,29,1,24,Ducks,20,0/3
ANA,BOS,3,13,64.6,22,6,Bruins,6,1/4,16,35.4,27,0,24,Ducks,8,0/3
ANA,WSH,2,17,29.6,27,15,Capitals,18,0/3,20,70.4,21,5,24,Ducks,16,2/4
MIN,ANA,4,19,49.2,17,24,Ducks,6,1/3,16,50.8,15,0,30,Wild,8,0/3
CGY,ANA,1,17,48.9,13,24,Ducks,2,0/2,14,51.1,11,2,20,Flames,4,0/1
EDM,ANA,1,12,45.0,24,24,Ducks,2,0/1,17,55.0,33,2,22,Oilers,2,0/1
VAN,ANA,0,18,45.8,14,24,Ducks,4,0/2,14,54.2,20,4,23,Canucks,4,1/2
ANA,CHI,4,13,51.8,12,16,Blackhawks,2,1/4,17,48.2,21,3,24,Ducks,19,0/1
ANA,VGK,3,13,58.2,25,54,Golden Knights,4,1/2,8,41.8,28,0,24,Ducks,4,0/2
ANA,COL,1,20,43.9,29,21,Avalanche,21,1/4,15,56.1,30,2,24,Ducks,12,1/3
ARI,ANA,3,14,48.3,30,24,Ducks,10,2/5,18,51.7,24,1,53,Coyotes,10,0/5
ANA,STL,5,17,43.5,33,19,Blues,8,3/5,11,56.5,31,4,24,Ducks,10,1/4
ANA,MTL,2,10,52.9,31,8,Canadiens,8,1/6,16,47.1,20,8,24,Ducks,12,1/4
ANA,LAK,3,11,51.0,18,26,Kings,4,0/3,17,49.0,26,2,24,Ducks,8,0/1
ANA,NSH,2,12,53.6,18,18,Predators,6,2/5,18,46.4,25,3,24,Ducks,14,0/1
ARI,ANA,1,16,45.3,30,24,Ducks,12,0/4,16,54.7,38,6,53,Coyotes,10,2/5
COL,ANA,5,15,44.6,36,24,Ducks,8,1/2,12,55.4,31,3,21,Avalanche,6,1/3
ANA,FLA,2,10,45.3,14,13,Panthers,6,0/1,10,54.7,25,3,24,Ducks,4,1/2
ANA,WPG,3,16,47.5,20,52,Jets,17,1/5,14,52.5,26,0,24,Ducks,17,0/5
ANA,SJS,3,8,42.0,23,28,Sharks,6,1/5,22,58.0,33,4,24,Ducks,10,2/3
LAK,ANA,3,10,49.2,31,24,Ducks,10,1/2,13,50.8,34,4,26,Kings,8,1/3
VAN,ANA,5,12,43.9,18,24,Ducks,2,1/2,11,56.1,36,4,23,Canucks,4,0/1
CGY,ANA,1,18,44.2,18,24,Ducks,6,0/1,12,55.8,14,6,20,Flames,2,1/3
EDM,ANA,5,16,41.8,26,24,Ducks,4,0/1,11,58.2,33,1,22,Oilers,4,0/1
ANA,CGY,1,10,39.2,12,20,Flames,4,0/5,9,60.8,17,3,24,Ducks,10,0/2
ANA,LAK,2,11,57.7,21,26,Kings,22,0/5,11,42.3,10,5,24,Ducks,30,0/1
