abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CBJ,BUF,4,15,47.1,14,7,Sabres,10,1/4,11,52.9,20,1,29,Blue Jackets,8,0/5
BUF,PIT,2,13,47.2,16,5,Penguins,8,0/2,6,52.8,32,3,7,Sabres,4,1/4
TOR,BUF,3,14,38.6,23,7,Sabres,2,0/3,15,61.4,25,5,10,Maple Leafs,6,0/1
BUF,TOR,3,14,41.8,9,10,Maple Leafs,18,1/2,14,58.2,24,2,7,Sabres,14,1/4
BUF,CBJ,3,0,0.0,0,29,Blue Jackets,2,2/3,0,0.0,0,2,7,Sabres,6,1/1
PIT,BUF,1,10,50.0,22,7,Sabres,4,0/0,11,50.0,22,5,5,Penguins,0,1/2
NYI,BUF,5,0,0.0,0,7,Sabres,10,1/4,0,0.0,0,4,2,Islanders,8,2/5
BUF,BOS,4,13,43.3,13,6,Bruins,6,1/1,8,56.7,25,0,7,Sabres,4,0/2
BUF,NYR,1,13,52.1,18,3,Rangers,17,0/3,13,47.9,18,3,7,Sabres,15,2/4
BUF,VGK,2,6,64.6,29,54,Golden Knights,4,0/2,14,35.4,17,4,7,Sabres,4,1/2
BUF,COL,6,10,42.9,20,21,Avalanche,14,2/4,2,57.1,15,1,7,Sabres,8,0/7
ARI,BUF,3,19,42.4,26,7,Sabres,8,1/3,12,57.6,30,0,53,Coyotes,8,0/3
VGK,BUF,1,23,47.7,28,7,Sabres,6,0/6,18,52.3,33,4,54,Golden Knights,12,1/3
SJS,BUF,1,23,52.5,24,7,Sabres,21,0/5,17,47.5,20,5,28,Sharks,15,3/7
LAK,BUF,5,17,39.1,9,7,Sabres,15,0/1,10,60.9,20,1,26,Kings,11,1/3
ANA,BUF,4,7,47.3,15,7,Sabres,9,2/4,11,52.7,12,2,24,Ducks,13,0/2
BUF,MTL,3,9,50.0,14,8,Canadiens,8,0/2,13,50.0,16,4,7,Sabres,4,2/4
CBJ,BUF,4,15,53.1,8,7,Sabres,6,1/5,16,46.9,12,5,29,Blue Jackets,10,0/3
BUF,CGY,2,11,43.8,11,20,Flames,4,0/5,13,56.3,24,1,7,Sabres,10,0/2
OTT,BUF,2,15,48.0,18,7,Sabres,10,1/4,14,52.0,20,4,9,Senators,8,2/5
BUF,OTT,2,9,51.6,6,9,Senators,8,0/1,13,48.4,9,9,7,Sabres,4,1/3
NYR,BUF,1,9,50.0,18,7,Sabres,2,0/4,17,50.0,24,3,3,Rangers,8,0/1
MTL,BUF,6,16,53.7,17,7,Sabres,10,0/3,15,46.3,16,5,8,Canadiens,6,0/5
BUF,VAN,3,12,46.0,10,23,Canucks,4,0/4,10,54.0,17,4,7,Sabres,8,0/2
BUF,TBL,1,9,57.4,33,14,Lightning,4,0/1,17,42.6,19,2,7,Sabres,4,0/1
WPG,BUF,2,14,40.7,17,7,Sabres,2,1/3,12,59.3,21,1,52,Jets,6,0/1
MIN,BUF,3,12,40.0,17,7,Sabres,6,0/1,12,60.0,20,2,30,Wild,2,1/3
PIT,BUF,5,7,47.7,28,7,Sabres,11,0/3,15,52.3,46,4,5,Penguins,11,0/3
BUF,PHI,2,10,58.3,21,4,Flyers,11,0/1,9,41.7,29,5,7,Sabres,7,1/3
BUF,MTL,2,12,50.8,12,8,Canadiens,8,1/2,16,49.2,17,3,7,Sabres,4,1/4
DET,BUF,3,7,42.2,12,7,Sabres,8,2/4,12,57.8,25,2,17,Red Wings,8,0/4
BUF,SJS,2,7,55.4,11,28,Sharks,4,1/3,5,44.6,19,3,7,Sabres,8,0/1
TBL,BUF,4,10,37.9,23,7,Sabres,20,0/2,8,62.1,28,5,14,Lightning,4,1/5
FLA,BUF,2,21,42.4,26,7,Sabres,8,1/4,10,57.6,37,3,13,Panthers,8,2/4
NSH,BUF,1,16,48.4,17,7,Sabres,4,0/4,15,51.6,24,2,18,Predators,8,1/2
BUF,TOR,4,11,56.1,11,10,Maple Leafs,4,0/2,22,43.9,14,3,7,Sabres,4,0/2
BUF,PHI,6,10,56.7,17,4,Flyers,9,0/3,11,43.3,11,2,7,Sabres,11,0/1
BUF,LAK,3,15,39.8,24,26,Kings,21,0/4,12,60.2,18,4,7,Sabres,13,2/8
BUF,ARI,1,13,39.7,21,53,Coyotes,2,0/2,18,60.3,23,3,7,Sabres,4,0/1
WSH,BUF,3,13,46.6,16,7,Sabres,12,2/3,12,53.4,32,4,15,Capitals,10,0/4
BOS,BUF,4,14,46.2,23,7,Sabres,4,0/1,8,53.8,27,2,6,Bruins,2,0/2
BUF,FLA,5,11,44.2,20,13,Panthers,11,1/3,5,55.8,11,2,7,Sabres,11,0/3
WSH,BUF,1,10,45.1,6,7,Sabres,8,0/4,19,54.9,19,2,15,Capitals,8,0/4
BUF,ANA,0,11,58.0,17,24,Ducks,28,0/3,15,42.0,18,3,7,Sabres,6,1/4
STL,BUF,1,7,46.9,18,7,Sabres,2,1/2,14,53.1,22,4,19,Blues,4,0/1
BUF,BOS,3,12,52.9,21,6,Bruins,6,1/4,12,47.1,20,2,7,Sabres,8,0/3
BUF,NYI,3,16,45.6,12,2,Islanders,4,0/2,11,54.4,10,1,7,Sabres,4,1/2
BUF,FLA,3,9,45.8,17,13,Panthers,6,1/3,18,54.2,16,4,7,Sabres,6,0/3
BOS,BUF,1,11,44.4,32,7,Sabres,4,0/1,11,55.6,26,2,6,Bruins,2,0/2
BUF,NJD,1,19,46.0,11,1,Devils,14,0/4,11,54.0,13,5,7,Sabres,20,0/1
CAR,BUF,3,11,48.4,18,7,Sabres,6,1/4,11,51.6,38,4,12,Hurricanes,10,0/2
BUF,TBL,5,10,48.4,11,14,Lightning,10,1/2,7,51.6,20,3,7,Sabres,6,0/4
EDM,BUF,2,6,43.8,26,7,Sabres,2,0/4,15,56.3,25,7,22,Oilers,8,1/1
CGY,BUF,4,14,58.1,16,7,Sabres,6,0/3,12,41.9,14,3,20,Flames,6,2/3
VAN,BUF,3,10,44.3,21,7,Sabres,4,0/2,19,55.7,19,4,23,Canucks,6,0/1
CBJ,BUF,5,15,54.1,12,7,Sabres,4,0/2,13,45.9,28,4,29,Blue Jackets,4,1/2
DAL,BUF,0,10,56.9,28,7,Sabres,2,0/1,19,43.1,23,1,25,Stars,2,0/1
BUF,CHI,7,9,45.1,9,16,Blackhawks,8,0/2,5,54.9,9,3,7,Sabres,6,1/3
BUF,MIN,4,9,48.4,14,30,Wild,4,0/3,12,51.6,20,5,7,Sabres,6,2/2
BUF,CAR,6,5,33.8,9,12,Hurricanes,4,1/3,14,66.2,16,5,7,Sabres,6,0/2
BUF,DET,1,14,41.4,12,17,Red Wings,6,1/4,14,58.6,10,3,7,Sabres,8,2/3
BUF,WPG,3,17,42.6,23,52,Jets,10,0/1,10,57.4,15,1,7,Sabres,2,0/5
BUF,NYI,1,5,50.0,20,2,Islanders,2,0/0,14,50.0,13,3,7,Sabres,0,0/1
BUF,NYR,6,9,55.0,11,3,Rangers,13,0/0,8,45.0,13,2,7,Sabres,7,1/3
NJD,BUF,1,10,59.2,20,7,Sabres,4,0/3,17,40.8,27,4,1,Devils,6,1/2
FLA,BUF,2,16,45.0,41,7,Sabres,8,1/4,15,55.0,30,4,13,Panthers,8,0/4
TBL,BUF,1,12,40.4,18,7,Sabres,10,0/4,11,59.6,16,2,14,Lightning,12,0/3
BUF,WSH,2,7,57.6,19,15,Capitals,8,0/2,12,42.4,12,5,7,Sabres,4,1/4
TOR,BUF,3,15,45.6,35,7,Sabres,2,2/5,20,54.4,29,5,10,Maple Leafs,10,0/1
PHI,BUF,2,16,39.6,20,7,Sabres,10,1/3,17,60.4,25,5,4,Flyers,12,0/2
BUF,PIT,3,15,60.9,24,5,Penguins,6,2/3,17,39.1,20,4,7,Sabres,10,1/2
TOR,BUF,2,17,36.4,27,7,Sabres,9,0/2,13,63.6,27,5,10,Maple Leafs,9,0/2
BUF,EDM,4,14,57.8,21,22,Oilers,6,0/1,12,42.2,15,3,7,Sabres,4,1/3
CHI,BUF,4,10,52.5,12,7,Sabres,10,0/2,19,47.5,18,5,16,Blackhawks,4,0/5
COL,BUF,0,22,38.1,36,7,Sabres,10,0/1,11,61.9,26,3,21,Avalanche,6,1/3
BUF,DAL,2,16,55.6,18,25,Stars,6,1/3,4,44.4,24,0,7,Sabres,6,0/3
BUF,PIT,5,15,60.0,14,5,Penguins,6,3/4,18,40.0,22,0,7,Sabres,10,0/2
CAR,BUF,2,11,50.0,22,7,Sabres,7,0/2,15,50.0,32,4,12,Hurricanes,9,0/1
BUF,STL,3,5,59.6,27,19,Blues,6,0/2,9,40.4,26,4,7,Sabres,6,0/2
BUF,TOR,4,10,54.5,7,10,Maple Leafs,4,0/3,14,45.5,26,2,7,Sabres,6,1/2
MTL,BUF,4,11,41.3,16,7,Sabres,4,1/4,9,58.7,30,7,8,Canadiens,8,1/2
NJD,BUF,1,4,41.9,12,7,Sabres,6,0/3,10,58.1,22,3,1,Devils,6,2/3
OTT,BUF,0,10,48.2,27,7,Sabres,8,0/2,14,51.8,20,4,9,Senators,4,1/4
BUF,DET,5,12,62.9,17,17,Red Wings,6,1/3,11,37.1,17,4,7,Sabres,6,1/3
NYI,BUF,1,16,55.8,26,7,Sabres,2,1/2,16,44.2,25,5,2,Islanders,4,0/1
BUF,CBJ,4,11,54.4,16,29,Blue Jackets,2,0/2,5,45.6,16,0,7,Sabres,4,0/1
BUF,NSH,3,15,54.2,13,18,Predators,6,0/1,12,45.8,21,2,7,Sabres,2,0/3
BUF,OTT,2,16,53.7,6,9,Senators,6,0/4,7,46.3,20,5,7,Sabres,8,2/3
DET,BUF,7,8,53.7,20,7,Sabres,6,2/2,13,46.3,15,1,17,Red Wings,4,1/3
