abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
COL,VGK,5,9,60.0,16,54,Golden Knights,4,2/2,11,40.0,26,1,21,Avalanche,4,0/2
MIN,COL,0,17,46.8,14,21,Avalanche,12,0/3,8,53.2,8,7,30,Wild,6,1/6
VGK,COL,5,19,53.0,34,21,Avalanche,6,1/3,13,47.0,44,3,54,Golden Knights,6,1/3
COL,DAL,3,11,49.2,13,25,Stars,18,1/3,17,50.8,26,1,21,Avalanche,16,1/4
COL,MIN,3,13,46.9,15,30,Wild,10,0/2,11,53.1,12,4,21,Avalanche,4,2/5
DAL,COL,6,21,37.5,5,21,Avalanche,11,2/6,12,62.5,21,5,25,Stars,27,1/3
COL,MIN,1,13,55.9,26,30,Wild,10,0/3,17,44.1,20,4,21,Avalanche,10,1/3
COL,PHI,2,23,50.8,17,4,Flyers,12,0/3,17,49.2,14,5,21,Avalanche,10,1/4
CBJ,COL,2,9,47.0,7,21,Avalanche,12,1/4,11,53.0,10,5,29,Blue Jackets,8,1/6
BUF,COL,6,10,42.9,20,21,Avalanche,14,2/4,2,57.1,15,1,7,Sabres,8,0/7
COL,CGY,3,9,56.4,14,20,Flames,8,0/4,19,43.6,17,2,21,Avalanche,10,0/3
NYR,COL,2,23,37.1,23,21,Avalanche,17,1/3,17,62.9,31,3,3,Rangers,11,1/6
NJD,COL,5,5,45.7,16,21,Avalanche,15,1/6,11,54.3,19,3,1,Devils,19,2/5
CAR,COL,3,23,35.9,30,21,Avalanche,17,1/4,13,64.1,34,1,12,Hurricanes,15,0/5
PHI,COL,4,22,38.2,18,21,Avalanche,6,1/2,10,61.8,25,1,4,Flyers,4,0/3
COL,TBL,1,8,46.9,19,14,Lightning,13,1/3,18,53.1,13,0,21,Avalanche,11,0/4
COL,OTT,3,19,49.3,17,9,Senators,6,0/2,11,50.7,26,6,21,Avalanche,4,2/3
MIN,COL,2,15,44.3,22,21,Avalanche,10,0/6,18,55.7,14,3,30,Wild,12,1/5
CGY,COL,5,15,50.8,32,21,Avalanche,24,1/2,5,49.2,12,6,20,Flames,21,1/4
VAN,COL,6,21,39.7,32,21,Avalanche,8,1/2,14,60.3,36,7,23,Canucks,4,2/4
COL,NSH,4,18,52.8,12,18,Predators,6,1/3,17,47.2,28,1,21,Avalanche,6,1/3
WPG,COL,2,15,45.6,21,21,Avalanche,8,0/4,10,54.4,28,5,52,Jets,8,2/4
EDM,COL,4,19,48.8,18,21,Avalanche,6,1/2,5,51.2,36,1,22,Oilers,4,0/3
COL,BOS,3,20,41.2,15,6,Bruins,8,2/3,18,58.8,22,6,21,Avalanche,8,3/3
COL,WSH,3,18,47.7,17,15,Capitals,4,1/3,17,52.3,11,2,21,Avalanche,6,0/2
ANA,COL,4,11,41.3,27,21,Avalanche,6,2/2,24,58.7,16,3,24,Ducks,4,1/3
LAK,COL,7,10,49.3,14,21,Avalanche,8,3/4,6,50.7,30,3,26,Kings,10,0/3
ARI,COL,5,14,49.3,15,21,Avalanche,6,1/5,19,50.7,35,1,53,Coyotes,10,1/3
COL,DAL,2,19,40.0,15,25,Stars,8,0/2,9,60.0,12,3,21,Avalanche,4,0/4
NSH,COL,3,19,45.5,17,21,Avalanche,6,2/2,11,54.5,21,2,18,Predators,4,0/3
COL,PIT,3,9,47.4,10,5,Penguins,2,1/4,17,52.6,21,6,21,Avalanche,8,0/1
COL,STL,3,17,53.3,15,19,Blues,15,1/3,23,46.7,20,2,21,Avalanche,24,1/4
DET,COL,2,16,43.9,20,21,Avalanche,14,1/1,9,56.1,26,0,17,Red Wings,12,0/2
PIT,COL,3,15,43.5,18,21,Avalanche,8,1/3,16,56.5,33,6,5,Penguins,8,1/3
FLA,COL,5,15,43.1,14,21,Avalanche,10,0/4,14,56.9,23,2,13,Panthers,8,1/5
TBL,COL,1,16,47.5,22,21,Avalanche,8,0/2,13,52.5,35,7,14,Lightning,6,2/3
COL,EDM,6,16,37.7,23,22,Oilers,17,2/3,9,62.3,14,4,21,Avalanche,13,1/5
STL,COL,3,15,59.4,17,21,Avalanche,11,1/6,15,40.6,17,4,19,Blues,17,0/3
COL,DAL,4,14,48.8,30,25,Stars,14,1/3,11,51.2,15,6,21,Avalanche,6,3/7
COL,NYI,4,24,51.7,19,2,Islanders,10,2/4,13,48.3,12,1,21,Avalanche,8,1/5
COL,MTL,1,7,45.3,17,8,Canadiens,8,1/4,26,54.7,21,2,21,Avalanche,8,0/4
COL,CHI,2,22,50.9,12,16,Blackhawks,10,0/3,8,49.1,6,1,21,Avalanche,6,0/5
ARI,COL,4,19,53.1,28,21,Avalanche,9,1/4,11,46.9,20,6,53,Coyotes,13,0/2
VGK,COL,1,23,43.9,23,21,Avalanche,8,1/4,16,56.1,32,2,54,Golden Knights,8,0/4
COL,CHI,3,11,47.6,9,16,Blackhawks,6,2/4,18,52.4,21,2,21,Avalanche,10,1/3
COL,LAK,3,20,47.5,24,26,Kings,8,1/3,8,52.5,20,2,21,Avalanche,6,0/4
COL,SJS,5,11,43.1,19,28,Sharks,8,2/3,16,56.9,21,4,21,Avalanche,6,1/4
COL,NYR,1,19,59.1,26,3,Rangers,31,0/3,9,40.9,10,6,21,Avalanche,18,3/10
