abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
FLA,NSH,5,12,50.9,22,18,Predators,12,1/4,9,49.1,18,0,13,Panthers,10,0/5
FLA,NSH,5,14,50.0,18,18,Predators,8,1/5,10,50.0,14,3,13,Panthers,10,1/4
MTL,FLA,5,16,55.6,20,13,Panthers,21,1/6,15,44.4,32,2,8,Canadiens,29,1/6
DAL,FLA,4,0,0.0,0,13,Panthers,8,1/2,0,0.0,0,3,25,Stars,4,1/4
TBL,FLA,3,14,48.1,18,13,Panthers,10,0/4,13,51.9,18,2,14,Lightning,10,1/4
TBL,FLA,2,0,0.0,0,13,Panthers,8,1/2,0,0.0,0,6,14,Lightning,8,1/2
FLA,TBL,3,15,43.3,13,14,Lightning,4,0/1,17,56.7,10,2,13,Panthers,2,1/2
TBL,FLA,1,13,52.6,22,13,Panthers,6,0/5,9,47.4,37,2,14,Lightning,10,0/3
FLA,CBJ,5,5,40.9,7,29,Blue Jackets,4,2/3,14,59.1,18,4,13,Panthers,6,0/2
FLA,VAN,3,23,57.8,15,23,Canucks,10,1/4,6,42.2,18,2,13,Panthers,8,0/5
PHI,FLA,5,14,53.8,29,13,Panthers,16,1/3,13,46.2,23,6,4,Flyers,18,0/2
WSH,FLA,6,20,50.8,20,13,Panthers,8,2/7,12,49.2,28,5,15,Capitals,16,1/3
FLA,DET,4,12,53.8,15,17,Red Wings,10,2/3,10,46.2,17,3,13,Panthers,6,0/5
NYR,FLA,2,17,46.6,28,13,Panthers,17,1/4,18,53.4,28,5,3,Rangers,23,2/6
NYI,FLA,3,12,50.0,23,13,Panthers,8,2/5,13,50.0,20,2,2,Islanders,12,1/3
NJD,FLA,2,8,57.0,20,13,Panthers,12,0/4,30,43.0,15,3,1,Devils,12,0/4
FLA,WPG,4,26,57.6,17,52,Jets,12,2/6,13,42.4,10,2,13,Panthers,14,1/5
WPG,FLA,4,21,48.5,18,13,Panthers,19,3/5,13,51.5,14,2,52,Jets,23,1/1
FLA,EDM,1,10,37.3,23,22,Oilers,13,0/3,12,62.7,12,4,13,Panthers,11,1/4
FLA,NYI,2,9,51.7,16,2,Islanders,12,0/4,11,48.3,7,4,13,Panthers,10,1/5
FLA,OTT,1,11,41.4,12,9,Senators,6,1/5,13,58.6,20,5,13,Panthers,10,1/3
PHI,FLA,2,21,31.7,25,13,Panthers,2,1/3,15,68.3,30,1,4,Flyers,6,0/1
CBJ,FLA,3,6,54.8,12,13,Panthers,2,2/4,15,45.2,15,7,29,Blue Jackets,8,0/1
NYR,FLA,2,13,64.9,21,13,Panthers,6,1/3,21,35.1,30,4,3,Rangers,8,1/2
OTT,FLA,7,20,44.3,26,13,Panthers,12,1/2,11,55.7,17,5,9,Senators,6,1/5
TBL,FLA,3,17,39.7,18,13,Panthers,8,2/4,7,60.3,15,7,14,Lightning,8,1/4
CAR,FLA,1,16,48.2,31,13,Panthers,8,0/1,16,51.8,31,4,12,Hurricanes,4,1/3
