abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
MTL,NJD,1,16,49.0,32,1,Devils,11,0/4,13,51.0,31,3,8,Canadiens,13,0/3
MTL,FLA,5,16,55.6,20,13,Panthers,21,1/6,15,44.4,32,2,8,Canadiens,29,1/6
MTL,WSH,2,0,0.0,0,15,Capitals,12,2/4,0,0.0,0,5,8,Canadiens,8,1/6
MTL,OTT,2,17,45.5,18,9,Senators,8,0/3,11,54.5,24,3,8,Canadiens,6,0/4
TOR,MTL,5,13,37.5,35,8,Canadiens,10,0/4,11,62.5,31,1,10,Maple Leafs,10,0/4
MTL,TOR,5,13,54.5,16,10,Maple Leafs,10,2/6,15,45.5,23,3,8,Canadiens,14,2/4
OTT,MTL,0,10,48.2,35,8,Canadiens,11,0/1,16,51.8,25,3,9,Senators,7,1/3
TOR,MTL,2,16,41.3,34,8,Canadiens,6,1/4,24,58.7,18,3,10,Maple Leafs,8,1/3
PIT,MTL,5,22,39.7,32,8,Canadiens,6,0/3,7,60.3,24,1,5,Penguins,6,0/3
MTL,LAK,3,22,61.7,24,26,Kings,8,0/3,11,38.3,36,0,8,Canadiens,16,0/4
MTL,PIT,3,25,48.0,32,5,Penguins,12,1/2,10,52.0,26,4,8,Canadiens,4,1/6
MTL,DET,3,20,57.1,39,17,Red Wings,17,1/2,20,42.9,18,7,8,Canadiens,11,1/5
MTL,STL,2,23,60.4,21,19,Blues,13,2/5,19,39.6,19,3,8,Canadiens,15,1/4
OTT,MTL,3,11,41.8,27,8,Canadiens,8,1/3,20,58.2,33,4,9,Senators,6,1/4
MTL,CGY,2,14,46.4,23,20,Flames,10,0/5,20,53.6,35,3,8,Canadiens,10,2/5
BUF,MTL,3,9,50.0,14,8,Canadiens,8,0/2,13,50.0,16,4,7,Sabres,4,2/4
BOS,MTL,3,12,50.7,28,8,Canadiens,8,0/3,8,49.3,20,0,6,Bruins,8,0/3
MTL,DAL,4,15,56.5,28,25,Stars,10,1/6,9,43.5,43,1,8,Canadiens,14,0/4
MTL,WSH,4,22,61.0,25,15,Capitals,6,0/1,18,39.0,32,6,8,Canadiens,4,0/2
MTL,TBL,4,23,45.6,32,14,Lightning,8,0/3,17,54.4,25,1,8,Canadiens,6,0/4
NYI,MTL,4,15,48.1,29,8,Canadiens,10,1/3,23,51.9,23,3,2,Islanders,8,0/4
NYR,MTL,3,16,46.2,17,8,Canadiens,16,1/7,14,53.8,14,5,3,Rangers,28,0/6
MTL,BUF,6,16,53.7,17,7,Sabres,10,0/3,15,46.3,16,5,8,Canadiens,6,0/5
MTL,VGK,4,23,60.9,31,54,Golden Knights,4,2/3,11,39.1,25,5,8,Canadiens,6,0/2
EDM,MTL,2,18,41.0,28,8,Canadiens,10,0/3,14,59.0,24,6,22,Oilers,10,0/3
CGY,MTL,3,15,49.2,22,8,Canadiens,2,0/2,20,50.8,21,2,20,Flames,4,1/1
VAN,MTL,3,16,43.5,18,8,Canadiens,8,1/3,15,56.5,22,2,23,Canucks,6,1/4
MTL,WSH,5,18,51.4,27,15,Capitals,15,1/2,15,48.6,20,4,8,Canadiens,11,1/4
NJD,MTL,2,11,59.6,19,8,Canadiens,2,0/2,11,40.4,13,5,1,Devils,4,1/1
BUF,MTL,2,12,50.8,12,8,Canadiens,8,1/2,16,49.2,17,3,7,Sabres,4,1/4
MTL,BOS,3,28,50.0,27,6,Bruins,14,1/6,17,50.0,51,2,8,Canadiens,16,1/5
MTL,CAR,2,26,50.0,30,12,Hurricanes,6,0/1,15,50.0,31,1,8,Canadiens,2,0/3
MTL,NYR,2,10,46.6,28,3,Rangers,6,1/2,15,53.4,36,5,8,Canadiens,6,1/2
MTL,SJS,3,22,39.6,16,28,Sharks,4,1/4,19,60.4,35,1,8,Canadiens,8,0/2
MTL,OTT,2,26,53.8,20,9,Senators,13,0/3,10,46.2,33,5,8,Canadiens,15,0/2
OTT,MTL,5,12,43.4,37,8,Canadiens,2,0/3,16,56.6,36,2,9,Senators,6,1/1
CHI,MTL,3,20,39.7,26,8,Canadiens,16,0/4,9,60.3,21,2,16,Blackhawks,8,1/8
MIN,MTL,1,8,46.2,19,8,Canadiens,33,0/1,17,53.8,17,7,30,Wild,17,4/4
