abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NYI,PHI,0,10,37.2,36,4,Flyers,6,0/4,18,62.8,37,3,2,Islanders,8,2/3
PHI,NYI,1,16,51.6,26,2,Islanders,15,0/3,12,48.4,39,3,4,Flyers,11,2/5
NYI,PHI,5,19,45.7,25,4,Flyers,2,0/3,14,54.3,37,1,2,Islanders,6,0/1
NYI,NJD,0,21,50.0,16,1,Devils,30,0/3,22,50.0,27,2,2,Islanders,12,2/8
PHI,NYI,3,0,0.0,0,2,Islanders,12,1/6,0,0.0,0,2,4,Flyers,12,1/6
NYI,NYR,2,0,0.0,0,3,Rangers,17,1/4,0,0.0,0,5,2,Islanders,17,2/4
NYR,NYI,4,9,58.6,26,2,Islanders,8,1/3,11,41.4,26,3,3,Rangers,6,2/4
NYI,BUF,5,0,0.0,0,7,Sabres,10,1/4,0,0.0,0,4,2,Islanders,8,2/5
CAR,NYI,2,22,40.0,32,2,Islanders,6,1/3,8,60.0,29,1,12,Hurricanes,6,0/3
NYI,NSH,4,16,44.6,28,18,Predators,10,0/1,7,55.4,18,3,2,Islanders,4,1/4
NYI,SJS,0,9,61.4,9,28,Sharks,8,0/4,23,38.6,21,4,2,Islanders,8,1/4
NSH,NYI,2,11,46.8,24,2,Islanders,4,0/1,11,53.2,13,5,18,Predators,2,1/2
ANA,NYI,1,11,53.1,13,2,Islanders,13,0/4,12,46.9,11,4,24,Ducks,15,1/3
LAK,NYI,7,14,45.3,13,2,Islanders,8,1/3,10,54.7,16,2,26,Kings,6,2/4
SJS,NYI,1,15,44.4,29,2,Islanders,52,0/1,10,55.6,16,4,28,Sharks,30,0/2
NYI,FLA,3,12,50.0,23,13,Panthers,8,2/5,13,50.0,20,2,2,Islanders,12,1/3
