abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
VGK,ARI,2,11,50.9,37,53,Coyotes,30,0/7,19,49.1,34,6,54,Golden Knights,27,0/4
ARI,LAK,4,14,50.0,20,26,Kings,8,0/4,13,50.0,27,1,53,Coyotes,8,0/4
LAK,ARI,5,13,50.0,21,53,Coyotes,8,0/3,10,50.0,19,0,26,Kings,6,0/4
ARI,ANA,3,13,55.9,23,24,Ducks,15,1/6,7,44.1,18,4,53,Coyotes,17,1/5
EDM,ARI,4,11,29.8,23,53,Coyotes,4,0/5,17,70.2,25,2,22,Oilers,10,0/2
VAN,ARI,4,15,42.6,20,53,Coyotes,4,0/5,10,57.4,31,2,23,Canucks,10,0/2
ANA,ARI,1,6,43.8,11,53,Coyotes,8,0/4,11,56.3,27,2,24,Ducks,8,1/4
ANA,ARI,1,13,49.0,15,53,Coyotes,2,0/1,20,51.0,26,2,24,Ducks,2,0/1
ARI,BOS,1,15,34.8,25,6,Bruins,8,0/2,19,65.2,27,0,53,Coyotes,6,0/3
ARI,VGK,1,11,47.3,21,54,Golden Knights,4,0/4,12,52.7,15,4,53,Coyotes,8,0/2
COL,ARI,2,11,49.2,16,53,Coyotes,8,0/3,14,50.8,20,3,21,Avalanche,6,1/4
WPG,ARI,4,14,49.1,14,53,Coyotes,12,2/2,4,50.9,19,2,52,Jets,4,2/6
ARI,NSH,2,13,50.0,17,18,Predators,14,0/3,10,50.0,13,5,53,Coyotes,8,3/6
ARI,OTT,2,23,48.5,28,9,Senators,10,1/2,12,51.5,17,5,53,Coyotes,4,1/5
NYR,ARI,3,10,48.0,11,53,Coyotes,4,1/5,21,52.0,26,2,3,Rangers,10,1/2
NYI,ARI,2,14,39.6,18,53,Coyotes,2,0/3,16,60.4,32,4,2,Islanders,6,0/1
NJD,ARI,5,12,47.0,23,53,Coyotes,10,0/3,8,53.0,14,3,1,Devils,6,1/5
BUF,ARI,3,7,45.1,21,53,Coyotes,4,1/2,8,54.9,10,2,7,Sabres,4,1/2
ARI,MTL,4,18,52.2,38,8,Canadiens,6,0/2,10,47.8,20,1,53,Coyotes,4,0/3
ARI,COL,0,9,50.0,17,21,Avalanche,11,0/4,16,50.0,28,3,53,Coyotes,15,1/2
EDM,ARI,3,13,44.4,21,53,Coyotes,4,0/3,11,55.6,29,2,22,Oilers,6,0/2
CGY,ARI,3,14,44.4,9,53,Coyotes,12,0/5,11,55.6,11,4,20,Flames,10,2/6
ARI,CBJ,3,15,50.0,24,29,Blue Jackets,8,1/4,11,50.0,20,2,53,Coyotes,10,0/3
ARI,MIN,4,13,34.0,20,30,Wild,6,1/1,7,66.0,26,3,53,Coyotes,2,0/3
WSH,ARI,4,16,54.4,18,53,Coyotes,6,0/2,10,45.6,25,3,15,Capitals,4,0/3
STL,ARI,3,17,39.0,10,53,Coyotes,6,1/3,5,61.0,22,2,19,Blues,6,0/3
MIN,ARI,2,6,40.0,13,53,Coyotes,6,0/3,15,60.0,11,3,30,Wild,6,1/3
ARI,CGY,0,11,52.8,27,20,Flames,16,0/3,24,47.2,17,3,53,Coyotes,14,0/4
ARI,LAK,0,9,49.0,20,26,Kings,8,0/4,25,51.0,21,3,53,Coyotes,8,2/4
ARI,TOR,3,14,52.2,17,10,Maple Leafs,6,0/0,20,47.8,28,1,53,Coyotes,0,0/3
LAK,ARI,3,16,41.1,24,53,Coyotes,6,1/1,10,58.9,18,2,26,Kings,2,1/3
ARI,EDM,4,15,49.1,21,22,Oilers,4,1/1,17,50.9,18,3,53,Coyotes,2,1/2
ARI,ANA,3,10,60.8,27,24,Ducks,6,0/3,19,39.2,26,4,53,Coyotes,8,1/2
VGK,ARI,1,16,45.6,20,53,Coyotes,10,0/1,12,54.4,45,2,54,Golden Knights,4,1/5
ARI,SJS,4,8,52.3,23,28,Sharks,6,0/1,7,47.7,25,2,53,Coyotes,2,0/3
CBJ,ARI,4,14,56.6,11,53,Coyotes,6,1/1,9,43.4,12,2,29,Blue Jackets,2,1/3
PHI,ARI,3,22,40.0,19,53,Coyotes,6,2/4,9,60.0,21,1,4,Flyers,8,0/3
PIT,ARI,0,11,62.7,41,53,Coyotes,4,0/5,13,37.3,54,2,5,Penguins,10,0/2
CHI,ARI,4,14,48.1,30,53,Coyotes,9,2/6,14,51.9,35,3,16,Blackhawks,27,1/2
ARI,CGY,5,14,46.3,17,20,Flames,4,1/3,10,53.7,21,2,53,Coyotes,8,1/1
ARI,CHI,2,12,43.5,18,16,Blackhawks,8,1/3,11,56.5,16,5,53,Coyotes,6,0/4
ARI,NJD,2,25,41.2,20,1,Devils,6,0/3,10,58.8,16,1,53,Coyotes,6,1/3
SJS,ARI,3,15,54.9,19,53,Coyotes,8,0/3,12,45.1,20,2,28,Sharks,6,0/4
ARI,MIN,8,22,39.7,22,30,Wild,12,0/2,10,60.3,20,5,53,Coyotes,8,2/4
DET,ARI,5,6,52.5,14,53,Coyotes,6,0/0,5,47.5,31,2,17,Red Wings,0,0/3
NSH,ARI,2,12,42.6,16,53,Coyotes,2,0/2,15,57.4,11,3,18,Predators,4,0/1
VGK,ARI,1,12,49.1,17,53,Coyotes,11,0/5,20,50.9,36,4,54,Golden Knights,15,2/3
ARI,DAL,4,12,47.4,38,25,Stars,10,0/3,18,52.6,30,2,53,Coyotes,8,0/4
ARI,STL,1,13,56.3,31,19,Blues,8,0/4,12,43.8,18,3,53,Coyotes,8,2/4
ARI,ANA,2,16,44.0,33,24,Ducks,6,0/1,10,56.0,20,4,53,Coyotes,2,0/3
