abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NJD,BOS,3,14,53.3,17,6,Bruins,8,0/4,4,46.7,12,4,1,Devils,10,1/3
PHI,BOS,3,15,51.5,15,6,Bruins,10,0/2,19,48.5,20,1,4,Flyers,4,0/5
CHI,BOS,2,8,37.0,24,6,Bruins,6,0/1,9,63.0,17,3,16,Blackhawks,2,1/3
BOS,PHI,3,6,46.6,22,4,Flyers,6,1/1,10,53.4,26,4,6,Bruins,2,1/3
BOS,NJD,0,8,55.4,26,1,Devils,5,0/4,12,44.6,22,2,6,Bruins,13,0/0
BOS,CHI,2,11,39.7,16,16,Blackhawks,22,0/3,6,60.3,14,8,6,Bruins,20,2/4
DAL,BOS,2,16,47.4,12,6,Bruins,4,1/4,18,52.6,15,1,25,Stars,8,0/2
ARI,BOS,1,15,34.8,25,6,Bruins,8,0/2,19,65.2,27,0,53,Coyotes,6,0/3
VGK,BOS,4,12,56.3,24,6,Bruins,6,1/3,14,43.8,33,3,54,Golden Knights,6,2/3
COL,BOS,2,13,57.4,19,6,Bruins,4,0/1,11,42.6,13,4,21,Avalanche,2,1/2
BOS,NJD,0,11,46.0,11,1,Devils,6,0/4,13,54.0,23,3,6,Bruins,8,1/3
BOS,ANA,2,10,50.0,26,24,Ducks,8,0/4,12,50.0,24,4,6,Bruins,10,2/3
BOS,TBL,4,12,54.0,31,14,Lightning,10,0/3,10,46.0,21,3,6,Bruins,8,3/5
TOR,BOS,3,9,46.9,34,6,Bruins,2,1/3,14,53.1,36,4,10,Maple Leafs,8,0/0
BOS,TOR,2,9,39.7,16,10,Maple Leafs,8,1/4,8,60.3,32,4,6,Bruins,8,1/4
BOS,STL,0,8,59.6,27,19,Blues,12,0/4,11,40.4,22,3,6,Bruins,12,1/4
NYR,BOS,7,12,51.5,15,6,Bruins,12,0/2,16,48.5,21,4,3,Rangers,6,1/5
BOS,SJS,1,12,50.0,28,28,Sharks,57,1/3,8,50.0,16,5,6,Bruins,47,2/8
BOS,OTT,2,10,51.6,26,9,Senators,8,0/5,16,48.4,17,5,6,Bruins,10,2/4
BOS,PIT,4,9,53.6,26,5,Penguins,8,0/1,12,46.4,29,6,6,Bruins,4,0/3
MTL,BOS,4,11,60.0,36,6,Bruins,4,1/2,27,40.0,31,5,8,Canadiens,4,0/2
DET,BOS,2,11,51.3,21,6,Bruins,15,1/4,15,48.8,27,4,17,Red Wings,13,2/5
