abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TBL,CAR,3,9,46.3,15,12,Hurricanes,6,1/6,14,53.7,18,0,14,Lightning,12,0/3
CAR,TBL,0,12,47.3,15,14,Lightning,10,0/1,13,52.7,22,2,12,Hurricanes,2,0/5
WSH,CAR,2,13,50.0,23,12,Hurricanes,6,0/3,17,50.0,20,3,15,Capitals,8,1/2
NSH,CAR,0,6,52.2,11,12,Hurricanes,14,0/2,13,47.8,22,3,18,Predators,8,1/5
CAR,NSH,2,15,40.4,16,18,Predators,8,0/4,15,59.6,15,1,12,Hurricanes,8,0/4
CAR,WSH,4,14,41.7,34,15,Capitals,25,2/6,8,58.3,14,3,12,Hurricanes,17,1/5
CAR,MTL,3,13,49.2,31,8,Canadiens,6,1/3,12,50.8,23,4,12,Hurricanes,6,1/3
WSH,CAR,3,14,44.6,19,12,Hurricanes,14,1/4,8,55.4,20,2,15,Capitals,10,0/6
CAR,TBL,3,21,43.1,19,14,Lightning,10,1/4,9,56.9,17,4,12,Hurricanes,8,2/5
FLA,CAR,6,25,45.5,16,12,Hurricanes,16,1/3,10,54.5,15,3,13,Panthers,10,2/6
CAR,NYI,2,15,51.5,20,2,Islanders,6,2/5,21,48.5,17,5,12,Hurricanes,10,0/2
CAR,CBJ,3,11,46.0,26,29,Blue Jackets,6,0/3,10,54.0,29,2,12,Hurricanes,6,0/3
LAK,CAR,2,12,57.9,10,12,Hurricanes,10,0/4,19,42.1,18,0,26,Kings,8,0/5
SJS,CAR,2,11,45.6,22,12,Hurricanes,8,0/4,13,54.4,19,5,28,Sharks,8,2/4
ANA,CAR,2,12,50.0,14,12,Hurricanes,7,1/3,8,50.0,13,4,24,Ducks,11,0/1
CBJ,CAR,3,12,40.0,21,12,Hurricanes,6,0/3,19,60.0,16,4,29,Blue Jackets,8,0/2
CAR,CHI,0,9,60.0,23,16,Blackhawks,4,0/3,20,40.0,15,4,12,Hurricanes,6,2/2
CAR,CGY,1,19,46.7,12,20,Flames,6,0/3,9,53.3,17,2,12,Hurricanes,6,1/3
CAR,DET,3,9,49.0,17,17,Red Wings,8,1/5,11,51.0,14,7,12,Hurricanes,12,1/3
CAR,NJD,5,13,55.6,20,1,Devils,12,1/4,10,44.4,9,3,12,Hurricanes,12,1/4
PHI,CAR,1,11,50.9,16,12,Hurricanes,6,0/3,13,49.1,18,4,4,Flyers,6,1/3
CAR,NYR,4,17,39.2,18,3,Rangers,4,1/2,4,60.8,22,2,12,Hurricanes,4,0/2
OTT,CAR,1,11,55.9,31,12,Hurricanes,13,1/4,18,44.1,35,4,9,Senators,13,0/4
CAR,OTT,2,19,54.3,30,9,Senators,13,0/3,13,45.7,17,8,12,Hurricanes,13,1/3
BUF,CAR,5,5,62.3,11,12,Hurricanes,8,2/3,11,37.7,29,4,7,Sabres,28,0/3
MIN,CAR,4,12,54.5,11,12,Hurricanes,8,0/2,10,45.5,10,3,30,Wild,6,0/3
CHI,CAR,4,23,53.2,23,12,Hurricanes,6,0/1,20,46.8,24,2,16,Blackhawks,12,0/3
CAR,PHI,5,13,54.2,17,4,Flyers,10,1/3,14,45.8,6,3,12,Hurricanes,16,1/5
CAR,FLA,2,20,58.0,22,13,Panthers,4,0/2,7,42.0,21,4,12,Hurricanes,4,0/2
