abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
DET,CHI,3,7,51.1,27,16,Blackhawks,10,1/4,12,48.9,31,5,17,Red Wings,10,1/4
CHI,DET,1,15,39.6,24,17,Red Wings,7,1/2,9,60.4,18,2,16,Blackhawks,9,0/1
DET,NYI,4,11,50.0,24,2,Islanders,6,1/3,14,50.0,21,3,17,Red Wings,6,1/3
DET,PIT,2,17,47.4,23,5,Penguins,8,1/5,7,52.6,33,3,17,Red Wings,12,0/3
NYI,DET,2,27,47.7,35,17,Red Wings,18,1/1,15,52.3,25,3,2,Islanders,12,1/4
PIT,DET,2,8,49.3,36,17,Red Wings,10,0/4,8,50.7,29,4,5,Penguins,8,0/5
DET,STL,1,0,0.0,0,19,Blues,14,0/7,0,0.0,0,4,17,Red Wings,18,1/5
DET,TOR,4,11,57.1,32,10,Maple Leafs,7,1/3,19,42.9,30,3,17,Red Wings,11,0/1
TOR,DET,0,12,48.1,16,17,Red Wings,8,0/3,8,51.9,21,5,10,Maple Leafs,6,3/4
NSH,DET,5,18,44.6,13,17,Red Wings,4,0/2,9,55.4,18,3,18,Predators,4,1/2
DET,DAL,3,12,51.1,14,25,Stars,16,0/2,9,48.9,21,4,17,Red Wings,4,1/8
DET,ANA,3,6,60.0,23,24,Ducks,4,0/3,15,40.0,25,1,17,Red Wings,6,0/2
MTL,DET,4,21,52.9,24,17,Red Wings,6,1/2,15,47.1,32,2,8,Canadiens,4,1/3
DET,TOR,5,12,58.6,14,10,Maple Leafs,2,0/3,24,41.4,21,2,17,Red Wings,6,0/1
VAN,DET,1,15,46.2,13,17,Red Wings,24,0/3,15,53.8,24,5,23,Canucks,20,3/5
CGY,DET,1,23,48.1,19,17,Red Wings,21,0/2,8,51.9,11,5,20,Flames,6,2/5
EDM,DET,1,18,48.1,15,17,Red Wings,4,0/1,12,51.9,24,2,22,Oilers,2,0/2
DET,VAN,5,13,52.6,17,23,Canucks,16,2/5,13,47.4,16,2,17,Red Wings,12,2/7
OTT,DET,2,9,41.1,18,17,Red Wings,4,0/5,12,58.9,25,5,9,Senators,10,0/2
DET,BUF,2,12,38.3,31,7,Sabres,6,1/3,7,61.7,23,0,17,Red Wings,6,0/3
DET,STL,5,16,57.8,20,19,Blues,6,2/4,7,42.2,13,4,17,Red Wings,8,1/3
DET,EDM,1,8,41.1,23,22,Oilers,8,0/3,11,58.9,22,3,17,Red Wings,8,1/3
