abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
MIN,DAL,2,16,43.1,13,25,Stars,17,1/5,8,56.9,19,1,30,Wild,17,0/5
WPG,MIN,1,15,53.3,21,30,Wild,13,0/3,13,46.7,25,4,52,Jets,13,1/3
MIN,COL,3,15,41.1,16,21,Avalanche,17,0/8,18,58.9,9,4,30,Wild,35,0/4
COL,MIN,2,15,50.0,22,30,Wild,15,1/3,7,50.0,10,3,21,Avalanche,11,0/5
DAL,MIN,2,11,39.7,12,30,Wild,8,0/3,7,60.3,15,1,25,Stars,6,0/4
MIN,WPG,5,16,47.3,14,52,Jets,10,1/7,16,52.7,25,4,30,Wild,14,1/5
NSH,MIN,2,18,42.3,19,30,Wild,4,1/3,12,57.7,17,5,18,Predators,6,0/2
COL,MIN,2,14,54.2,31,30,Wild,12,1/4,12,45.8,27,4,21,Avalanche,8,1/6
WPG,MIN,2,9,51.7,25,30,Wild,6,0/2,20,48.3,29,5,52,Jets,6,0/2
MIN,PIT,7,16,49.2,14,5,Penguins,8,2/4,10,50.8,26,4,30,Wild,12,1/2
OTT,MIN,2,12,50.7,24,30,Wild,12,0/6,21,49.3,16,0,9,Senators,14,0/5
TOR,MIN,2,15,45.3,31,30,Wild,6,0/3,11,54.7,11,4,10,Maple Leafs,6,2/3
MTL,MIN,0,14,50.0,22,30,Wild,17,0/5,23,50.0,21,4,8,Canadiens,17,1/5
MIN,MTL,3,13,46.9,14,8,Canadiens,10,1/2,17,53.1,10,4,30,Wild,4,2/5
MIN,EDM,0,19,49.0,14,22,Oilers,8,0/2,9,51.0,12,3,30,Wild,6,1/3
NSH,MIN,0,14,45.3,13,30,Wild,2,0/2,15,54.7,14,4,18,Predators,4,0/1
MIN,LAK,1,11,62.7,10,26,Kings,6,0/3,16,37.3,14,5,30,Wild,6,0/3
DAL,MIN,3,9,38.3,10,30,Wild,10,2/4,13,61.7,21,6,25,Stars,10,1/4
STL,MIN,1,14,41.8,18,30,Wild,6,0/3,11,58.2,13,2,19,Blues,6,0/3
MIN,STL,4,12,39.0,13,19,Blues,4,0/3,17,61.0,21,3,30,Wild,6,1/2
ANA,MIN,4,16,51.0,23,30,Wild,4,0/2,12,49.0,23,2,24,Ducks,4,0/2
SJS,MIN,5,8,56.4,23,30,Wild,30,0/3,21,43.6,28,6,28,Sharks,17,2/4
ARI,MIN,4,13,34.0,20,30,Wild,6,1/1,7,66.0,26,3,53,Coyotes,2,0/3
LAK,MIN,1,12,62.7,23,30,Wild,14,0/3,16,37.3,20,3,26,Kings,6,0/2
MIN,ARI,2,6,40.0,13,53,Coyotes,6,0/3,15,60.0,11,3,30,Wild,6,1/3
MIN,CAR,4,12,54.5,11,12,Hurricanes,8,0/2,10,45.5,10,3,30,Wild,6,0/3
BUF,MIN,4,11,56.4,7,30,Wild,6,1/7,3,43.6,8,1,7,Sabres,14,0/3
MIN,COL,2,15,47.5,13,21,Avalanche,10,1/2,17,52.5,10,3,30,Wild,6,1/4
BOS,MIN,4,16,50.0,23,30,Wild,8,2/7,13,50.0,25,5,6,Bruins,16,1/3
NYR,MIN,2,18,50.0,14,30,Wild,8,0/2,13,50.0,23,3,3,Rangers,4,1/4
NJD,MIN,3,11,56.3,6,30,Wild,4,1/4,11,43.8,14,2,1,Devils,8,1/2
MIN,OTT,2,15,53.3,12,9,Senators,8,0/1,10,46.7,9,7,30,Wild,4,1/3
MIN,DAL,2,15,48.0,13,25,Stars,6,1/3,19,52.0,13,3,30,Wild,6,2/3
FLA,MIN,4,8,41.8,30,30,Wild,6,0/1,10,58.2,12,2,13,Panthers,2,1/3
TBL,MIN,5,22,43.9,13,30,Wild,10,0/2,12,56.1,23,4,14,Lightning,6,1/4
CAR,MIN,2,10,52.5,21,30,Wild,6,0/4,12,47.5,13,6,12,Hurricanes,8,2/3
MIN,ANA,3,8,62.0,9,24,Ducks,15,1/3,12,38.0,17,2,30,Wild,11,0/5
MIN,EDM,5,11,50.0,15,22,Oilers,7,1/2,13,50.0,9,6,30,Wild,9,0/1
MIN,PHI,1,4,60.8,10,4,Flyers,15,0/3,14,39.2,6,4,30,Wild,11,0/5
CHI,MIN,3,20,37.9,21,30,Wild,6,1/1,17,62.1,17,5,16,Blackhawks,4,1/2
VGK,MIN,2,15,43.6,17,30,Wild,2,1/5,17,56.4,24,3,54,Golden Knights,10,0/1
ARI,MIN,8,22,39.7,22,30,Wild,12,0/2,10,60.3,20,5,53,Coyotes,8,2/4
MIN,WPG,6,14,41.8,15,52,Jets,13,1/4,13,58.2,13,0,30,Wild,15,0/3
MIN,CGY,0,11,51.6,19,20,Flames,0,0/1,14,48.4,6,3,30,Wild,2,0/0
COL,MIN,6,10,46.8,21,30,Wild,6,1/2,12,53.2,22,4,21,Avalanche,16,0/3
MIN,NYI,3,19,52.0,18,2,Islanders,8,0/2,14,48.0,7,1,30,Wild,6,0/3
MIN,TOR,4,17,47.7,7,10,Maple Leafs,6,1/3,9,52.3,12,1,30,Wild,6,1/3
MIN,WPG,2,14,54.7,15,52,Jets,12,2/5,10,45.3,15,3,30,Wild,10,1/5
MIN,CGY,5,18,50.0,11,20,Flames,4,2/4,19,50.0,9,4,30,Wild,8,1/2
CGY,MIN,1,12,47.5,14,30,Wild,4,0/2,12,52.5,19,2,20,Flames,4,1/2
MIN,VAN,4,16,59.6,6,23,Canucks,10,1/8,12,40.4,16,1,30,Wild,16,0/5
PIT,MIN,3,4,46.6,25,30,Wild,8,1/2,8,53.4,25,7,5,Penguins,4,2/4
MIN,TBL,2,7,63.6,8,14,Lightning,8,1/2,14,36.4,18,3,30,Wild,4,1/4
MIN,DAL,0,9,69.0,17,25,Stars,22,0/1,14,31.0,13,7,30,Wild,18,3/3
MIN,FLA,5,15,47.5,15,13,Panthers,8,1/2,7,52.5,10,4,30,Wild,4,2/4
MIN,DET,2,11,50.0,12,17,Red Wings,0,1/2,13,50.0,9,4,30,Wild,4,0/0
MIN,BOS,6,14,54.1,6,6,Bruins,10,3/4,14,45.9,19,1,30,Wild,10,0/4
MIN,CHI,2,8,44.1,10,16,Blackhawks,4,0/3,14,55.9,18,3,30,Wild,6,1/2
MIN,VAN,2,14,56.1,8,23,Canucks,28,2/4,21,43.9,11,4,30,Wild,18,2/4
DAL,MIN,3,21,52.9,12,30,Wild,14,0/2,16,47.1,32,2,25,Stars,8,1/6
MIN,COL,3,22,41.0,14,21,Avalanche,13,1/3,17,59.0,18,2,30,Wild,11,2/4
MIN,VGK,0,10,55.7,13,54,Golden Knights,12,0/4,17,44.3,10,4,30,Wild,10,3/5
MIN,NYR,4,12,32.2,16,3,Rangers,8,0/1,17,67.8,17,3,30,Wild,6,0/2
MIN,SJS,2,20,48.3,12,28,Sharks,6,0/3,12,51.7,18,0,30,Wild,6,0/3
VAN,MIN,4,21,46.3,21,30,Wild,4,0/2,21,53.7,27,3,23,Canucks,4,0/2
EDM,MIN,5,26,42.3,28,30,Wild,4,0/2,13,57.7,22,3,22,Oilers,4,0/2
MIN,STL,4,26,64.2,9,19,Blues,8,0/2,7,35.8,13,1,30,Wild,4,0/4
MIN,CBJ,4,16,58.6,11,29,Blue Jackets,2,0/2,10,41.4,6,5,30,Wild,4,0/1
DET,MIN,7,15,48.4,11,30,Wild,6,1/4,3,51.6,17,1,17,Red Wings,8,0/3
CBJ,MIN,5,16,55.2,12,30,Wild,4,1/3,16,44.8,27,0,29,Blue Jackets,6,0/2
MIN,WSH,4,15,38.3,8,15,Capitals,19,1/2,9,61.7,15,3,30,Wild,15,2/4
MIN,NSH,1,23,61.3,19,18,Predators,14,1/5,17,38.7,23,3,30,Wild,10,0/7
SJS,MIN,3,18,53.1,23,30,Wild,6,0/1,10,46.9,26,2,28,Sharks,2,1/3
LAK,MIN,3,13,52.2,18,30,Wild,8,0/3,13,47.8,27,7,26,Kings,6,0/4
ANA,MIN,5,18,51.5,16,30,Wild,13,2/3,11,48.5,22,4,24,Ducks,11,0/4
MIN,COL,3,26,54.4,19,21,Avalanche,20,1/5,7,45.6,14,2,30,Wild,16,1/8
VAN,MIN,3,15,41.0,28,30,Wild,11,2/4,14,59.0,40,0,23,Canucks,27,0/1
VAN,MIN,3,10,36.8,37,30,Wild,16,0/6,13,63.2,19,4,23,Canucks,14,1/7
MIN,VAN,3,22,45.7,21,23,Canucks,22,2/7,11,54.3,39,0,30,Wild,22,0/7
MIN,VAN,5,11,52.5,16,23,Canucks,15,1/4,19,47.5,21,4,30,Wild,13,1/5
