abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
DAL,STL,2,14,39.6,27,19,Blues,2,0/1,8,60.4,22,0,25,Stars,2,0/1
WSH,STL,2,18,56.7,16,19,Blues,13,1/6,9,43.3,17,3,15,Capitals,17,1/4
WPG,STL,4,14,50.9,28,19,Blues,8,0/3,11,49.1,26,3,52,Jets,6,0/4
STL,CBJ,3,9,36.4,18,29,Blue Jackets,4,0/2,12,63.6,19,5,19,Blues,4,1/2
STL,DAL,2,9,38.8,16,25,Stars,16,1/5,11,61.2,16,1,19,Blues,12,0/8
DET,STL,1,0,0.0,0,19,Blues,14,0/7,0,0.0,0,4,17,Red Wings,18,1/5
STL,WSH,3,6,47.4,8,15,Capitals,11,0/5,11,52.6,27,4,19,Blues,15,1/3
STL,WSH,3,6,49.2,25,15,Capitals,4,1/3,12,50.8,23,2,19,Blues,6,1/2
STL,DAL,2,10,49.2,22,25,Stars,4,0/2,12,50.8,18,3,19,Blues,4,0/2
TOR,STL,3,18,50.0,26,19,Blues,6,0/3,9,50.0,15,2,10,Maple Leafs,8,0/2
OTT,STL,6,17,44.6,32,19,Blues,0,1/4,13,55.4,32,4,9,Senators,8,0/0
MTL,STL,3,20,56.5,26,19,Blues,8,1/2,6,43.5,30,6,8,Canadiens,4,0/4
NYI,STL,2,22,61.4,22,19,Blues,2,1/2,18,38.6,33,3,2,Islanders,4,0/1
STL,VAN,4,11,53.4,15,23,Canucks,8,1/5,11,46.6,11,3,19,Blues,10,0/4
STL,MTL,5,11,40.7,12,8,Canadiens,6,2/5,2,59.3,16,2,19,Blues,10,0/3
STL,COL,1,11,37.3,19,21,Avalanche,12,1/5,14,62.7,19,3,19,Blues,12,1/5
STL,LAK,2,19,51.1,19,26,Kings,13,0/3,4,48.9,23,5,19,Blues,11,3/4
BOS,STL,0,8,59.6,27,19,Blues,12,0/4,11,40.4,22,3,6,Bruins,12,1/4
DET,STL,5,16,57.8,20,19,Blues,6,2/4,7,42.2,13,4,17,Red Wings,8,1/3
STL,MIN,1,14,41.8,18,30,Wild,6,0/3,11,58.2,13,2,19,Blues,6,0/3
STL,CBJ,3,15,54.4,14,29,Blue Jackets,8,1/3,7,45.6,21,4,19,Blues,6,2/4
MIN,STL,4,12,39.0,13,19,Blues,4,0/3,17,61.0,21,3,30,Wild,6,1/2
VAN,STL,2,13,46.2,16,19,Blues,10,0/2,12,53.8,29,1,23,Canucks,6,0/4
EDM,STL,5,15,59.0,20,19,Blues,6,2/3,21,41.0,15,2,22,Oilers,6,1/3
CGY,STL,3,12,46.9,19,19,Blues,6,2/4,8,53.1,19,2,20,Flames,10,0/2
STL,ARI,3,17,39.0,10,53,Coyotes,6,1/3,5,61.0,22,2,19,Blues,6,0/3
CBJ,STL,2,11,45.6,18,19,Blues,6,1/3,18,54.4,16,3,29,Blue Jackets,6,1/3
STL,ANA,4,14,54.5,19,24,Ducks,10,0/2,4,45.5,29,1,19,Blues,6,0/4
STL,TBL,1,14,45.3,33,14,Lightning,10,0/2,15,54.7,18,3,19,Blues,6,0/4
STL,CGY,0,6,44.8,20,20,Flames,9,0/4,11,55.2,10,5,19,Blues,13,1/2
STL,NSH,4,18,54.8,20,18,Predators,6,0/3,7,45.2,26,2,19,Blues,6,1/3
NSH,STL,2,17,39.1,15,19,Blues,11,0/3,10,60.9,22,3,18,Predators,11,0/3
TBL,STL,4,12,53.8,21,19,Blues,8,1/2,4,46.2,22,3,14,Lightning,4,1/4
DAL,STL,3,17,47.4,20,19,Blues,0,0/2,26,52.6,34,1,25,Stars,4,0/0
STL,PIT,2,11,55.1,13,5,Penguins,6,0/2,8,44.9,14,5,19,Blues,4,1/3
CHI,STL,4,12,53.8,27,19,Blues,4,1/2,14,46.2,30,0,16,Blackhawks,4,0/2
PIT,STL,0,8,48.1,46,19,Blues,10,0/4,10,51.9,37,3,5,Penguins,8,0/5
STL,TOR,5,14,42.6,9,10,Maple Leafs,13,2/2,19,57.4,24,2,19,Blues,9,0/4
