abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
NSH,CBJ,1,15,54.0,18,29,Blue Jackets,6,0/2,20,46.0,16,3,18,Predators,4,0/3
NSH,CBJ,2,17,45.6,11,29,Blue Jackets,6,0/2,10,54.4,16,5,18,Predators,4,0/3
NSH,CAR,4,12,33.3,10,12,Hurricanes,10,1/4,17,66.7,13,2,18,Predators,8,1/5
DAL,NSH,0,14,56.3,14,18,Predators,16,0/5,13,43.7,21,7,25,Stars,10,5/8
DAL,NSH,2,26,50.8,24,18,Predators,8,1/4,17,49.2,18,3,25,Stars,8,3/4
NSH,CHI,2,17,46.8,9,16,Blackhawks,8,1/2,10,53.2,12,3,18,Predators,4,0/4
NSH,CHI,1,14,40.5,10,16,Blackhawks,8,0/4,18,59.5,18,2,18,Predators,8,0/4
TBL,NSH,3,11,38.2,17,18,Predators,34,2/5,11,61.8,21,4,14,Lightning,30,2/7
TBL,NSH,2,11,55.8,19,18,Predators,8,0/3,17,44.2,18,5,14,Lightning,6,1/4
FLA,NSH,6,10,60.7,20,18,Predators,8,2/4,14,39.3,21,5,13,Panthers,8,2/4
FLA,NSH,1,17,40.3,25,18,Predators,6,0/1,16,59.7,40,2,13,Panthers,4,0/2
NSH,TBL,4,18,52.7,10,14,Lightning,15,1/3,19,47.3,14,1,18,Predators,13,1/4
NSH,TBL,6,15,49.1,24,14,Lightning,10,3/5,11,50.9,20,1,18,Predators,22,0/4
NSH,DET,2,14,46.2,12,17,Red Wings,8,0/4,16,53.8,15,3,18,Predators,8,1/4
NSH,DET,4,12,58.5,13,17,Red Wings,4,0/4,14,41.5,19,2,18,Predators,8,0/2
CBJ,NSH,0,6,57.7,23,18,Predators,0,0/1,15,42.3,37,3,29,Blue Jackets,2,0/0
CBJ,NSH,4,6,60.9,24,18,Predators,7,1/4,16,39.1,13,2,29,Blue Jackets,13,0/1
DET,NSH,2,15,54.0,33,18,Predators,2,2/4,15,46.0,16,0,17,Red Wings,8,0/1
DET,NSH,2,13,42.1,13,18,Predators,8,1/3,9,57.9,15,5,17,Red Wings,8,0/3
NSH,CBJ,1,17,49.1,15,29,Blue Jackets,8,0/3,9,50.9,11,2,18,Predators,6,0/4
NSH,CBJ,1,8,46.0,12,29,Blue Jackets,12,0/3,10,54.0,10,3,18,Predators,16,1/1
NSH,CAR,4,8,48.4,17,12,Hurricanes,8,2/3,12,51.6,12,2,18,Predators,8,1/3
NSH,FLA,5,14,35.8,9,13,Panthers,4,2/4,12,64.2,10,4,18,Predators,8,0/2
NSH,FLA,6,16,46.9,14,13,Panthers,9,1/4,11,53.1,13,2,18,Predators,13,1/2
DAL,NSH,4,17,50.0,18,18,Predators,13,2/5,13,50.0,18,3,25,Stars,17,1/3
CAR,NSH,2,21,39.0,19,18,Predators,12,0/5,20,61.0,26,3,12,Hurricanes,10,2/6
CAR,NSH,1,11,35.7,34,18,Predators,6,0/1,13,64.3,21,5,12,Hurricanes,2,3/3
TBL,NSH,3,11,50.0,17,18,Predators,2,1/2,5,50.0,21,6,14,Lightning,4,1/1
TBL,NSH,4,12,49.1,17,18,Predators,16,1/2,8,50.9,20,1,14,Lightning,14,0/3
FLA,NSH,2,12,50.0,25,18,Predators,6,0/3,12,50.0,18,1,13,Panthers,6,0/3
FLA,NSH,0,21,51.9,20,18,Predators,12,0/3,10,48.1,23,2,13,Panthers,8,0/5
DAL,NSH,4,12,50.7,21,18,Predators,4,1/2,11,49.3,20,3,25,Stars,4,0/2
NSH,DET,0,9,49.1,11,17,Red Wings,6,0/3,13,50.9,7,2,18,Predators,8,1/2
NSH,DET,1,10,50.9,10,17,Red Wings,8,1/4,9,49.1,10,7,18,Predators,8,1/4
CHI,NSH,3,17,47.9,27,18,Predators,4,0/0,14,52.1,22,1,16,Blackhawks,0,0/2
CHI,NSH,3,13,45.3,39,18,Predators,8,0/1,14,54.7,25,2,16,Blackhawks,4,0/3
NSH,DAL,2,6,59.3,28,25,Stars,2,1/1,10,40.7,23,3,18,Predators,2,1/1
NSH,DAL,4,10,52.7,26,25,Stars,11,1/2,11,47.3,21,1,18,Predators,19,0/3
NSH,CHI,0,11,43.1,6,16,Blackhawks,2,0/4,10,56.9,17,3,18,Predators,8,1/1
DET,NSH,3,10,68.2,28,18,Predators,6,1/4,9,31.8,13,2,17,Red Wings,10,0/2
DET,NSH,7,14,72.5,13,18,Predators,23,0/1,5,27.5,10,1,17,Red Wings,11,0/2
NSH,TBL,3,9,47.4,12,14,Lightning,8,0/4,7,52.6,25,0,18,Predators,16,0/3
NSH,DAL,2,10,50.0,22,25,Stars,7,0/3,7,50.0,33,3,18,Predators,11,0/1
NSH,TBL,2,2,30.9,14,14,Lightning,8,1/2,17,69.1,19,7,18,Predators,6,0/3
CAR,NSH,1,7,51.7,32,18,Predators,10,0/4,11,48.3,32,4,12,Hurricanes,12,1/3
CAR,NSH,1,20,45.3,30,18,Predators,4,0/2,17,54.7,28,3,12,Hurricanes,4,0/2
NSH,CHI,2,10,48.1,22,16,Blackhawks,10,1/5,16,51.9,19,5,18,Predators,20,0/5
CHI,NSH,4,22,57.7,36,18,Predators,8,0/2,13,42.3,29,5,16,Blackhawks,4,0/4
CHI,NSH,3,14,56.6,43,18,Predators,2,0/2,20,43.4,36,1,16,Blackhawks,4,0/1
NSH,FLA,1,5,45.3,14,13,Panthers,6,0/2,13,54.7,18,4,18,Predators,6,1/2
NSH,FLA,7,4,55.4,13,13,Panthers,4,3/5,13,44.6,17,4,18,Predators,10,0/2
NSH,DAL,0,15,51.0,17,25,Stars,10,0/1,10,49.0,24,1,18,Predators,8,0/2
CBJ,NSH,4,11,55.8,21,18,Predators,6,1/4,11,44.2,13,3,29,Blue Jackets,8,1/3
CBJ,NSH,2,11,50.9,17,18,Predators,4,0/1,16,49.1,17,4,29,Blue Jackets,2,1/2
NSH,CAR,1,6,55.1,14,12,Hurricanes,6,0/1,16,44.9,23,3,18,Predators,2,0/3
NSH,CAR,0,7,44.4,14,12,Hurricanes,17,0/4,10,55.6,22,5,18,Predators,17,1/4
CAR,NSH,2,13,48.6,49,18,Predators,22,0/3,13,51.4,56,5,12,Hurricanes,20,0/4
CAR,NSH,0,10,52.5,39,18,Predators,10,0/7,17,47.5,52,3,12,Hurricanes,18,1/3
NSH,CAR,4,21,50.0,32,12,Hurricanes,14,1/3,20,50.0,33,5,18,Predators,6,1/7
NSH,CAR,3,15,54.9,33,12,Hurricanes,6,0/4,31,45.1,32,4,18,Predators,10,1/2
CAR,NSH,2,16,41.3,40,18,Predators,8,0/3,12,58.7,66,3,12,Hurricanes,8,1/2
NSH,CAR,4,11,45.0,32,12,Hurricanes,8,1/3,20,55.0,28,3,18,Predators,6,1/4
