abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
PHI,PIT,3,11,42.0,23,5,Penguins,6,1/3,13,58.0,31,6,4,Flyers,6,2/3
PHI,PIT,2,11,54.0,31,5,Penguins,12,1/5,5,46.0,25,5,4,Flyers,10,1/6
PIT,WSH,3,9,46.9,46,15,Capitals,10,1/4,10,53.1,33,4,5,Penguins,8,0/4
PIT,WSH,4,15,37.1,54,15,Capitals,6,0/2,17,62.9,37,5,5,Penguins,4,2/3
PIT,NYR,3,10,34.0,40,3,Rangers,4,1/4,10,66.0,30,4,5,Penguins,8,1/2
PIT,NYR,2,14,50.9,32,3,Rangers,0,0/2,13,49.1,33,3,5,Penguins,4,0/0
BOS,PIT,2,7,30.3,29,5,Penguins,6,0/6,11,69.7,26,3,6,Bruins,12,1/3
BOS,PIT,1,9,37.2,26,5,Penguins,4,0/3,9,62.8,20,4,6,Bruins,6,1/2
NYR,PIT,5,9,57.4,22,5,Penguins,10,0/4,13,42.6,25,4,3,Rangers,8,1/5
NYR,PIT,1,13,70.8,25,5,Penguins,13,0/6,20,29.2,26,3,3,Rangers,17,1/4
NYI,PIT,3,12,46.5,29,5,Penguins,4,0/0,12,53.5,20,4,2,Islanders,2,1/1
NYI,PIT,4,14,43.9,29,5,Penguins,2,0/1,20,56.1,23,3,2,Islanders,2,1/1
PIT,WSH,3,8,38.3,30,15,Capitals,4,1/4,17,61.7,26,6,5,Penguins,8,1/2
PIT,WSH,3,10,50.0,26,15,Capitals,6,0/5,10,50.0,31,1,5,Penguins,10,0/3
PIT,NYI,1,14,48.1,34,2,Islanders,33,1/3,15,51.9,24,4,5,Penguins,21,0/4
PIT,NYI,2,16,60.4,53,2,Islanders,2,0/1,18,39.6,30,3,5,Penguins,2,1/1
WSH,PIT,3,13,55.6,15,5,Penguins,4,1/2,16,44.4,31,2,15,Capitals,4,0/2
WSH,PIT,2,17,38.6,21,5,Penguins,6,0/4,6,61.4,24,5,15,Capitals,8,1/3
NYI,PIT,4,19,46.3,23,5,Penguins,2,1/5,15,53.7,30,3,2,Islanders,10,1/1
NYI,PIT,0,11,44.4,24,5,Penguins,10,0/2,10,55.6,31,2,2,Islanders,4,2/5
PIT,PHI,2,15,62.1,33,4,Flyers,6,0/5,19,37.9,30,5,5,Penguins,10,1/3
PIT,PHI,4,9,50.0,42,4,Flyers,4,1/2,6,50.0,38,3,5,Penguins,4,0/2
PIT,PHI,3,14,64.7,32,4,Flyers,10,1/4,12,35.3,35,4,5,Penguins,12,2/3
PIT,NYR,1,11,45.1,43,3,Rangers,6,0/1,10,54.9,25,5,5,Penguins,2,0/3
PIT,NYR,2,11,54.7,58,3,Rangers,2,1/3,23,45.3,37,4,5,Penguins,6,0/1
BUF,PIT,5,8,40.0,9,5,Penguins,9,1/2,9,60.0,17,2,7,Sabres,19,0/2
BUF,PIT,3,9,50.9,8,5,Penguins,4,1/2,10,49.1,24,0,7,Sabres,4,0/2
PIT,BOS,1,15,57.4,38,6,Bruins,8,1/4,11,42.6,26,4,5,Penguins,8,1/4
PIT,BOS,2,8,58.2,46,6,Bruins,8,1/4,14,41.8,40,1,5,Penguins,21,0/4
NJD,PIT,2,19,53.0,27,5,Penguins,2,1/2,11,47.0,19,3,1,Devils,4,1/1
NJD,PIT,3,10,57.1,6,5,Penguins,10,1/2,1,42.9,4,1,1,Devils,6,0/4
PIT,NJD,2,9,51.9,24,1,Devils,4,0/2,12,48.1,26,1,5,Penguins,4,0/2
PIT,BUF,2,16,46.9,33,7,Sabres,10,0/3,4,53.1,17,5,5,Penguins,6,0/5
PIT,BUF,0,15,43.1,30,7,Sabres,8,0/4,15,56.9,23,4,5,Penguins,8,2/4
PIT,NYI,3,12,45.3,37,2,Islanders,8,0/4,4,54.7,22,6,5,Penguins,8,2/4
PIT,NYI,1,9,43.5,52,2,Islanders,6,1/4,14,56.5,23,2,5,Penguins,8,1/3
BOS,PIT,4,12,42.6,29,5,Penguins,6,0/1,15,57.4,35,1,6,Bruins,4,0/2
BOS,PIT,5,7,40.4,25,5,Penguins,8,1/3,8,59.6,28,7,6,Bruins,10,1/3
NYR,PIT,4,8,59.0,18,5,Penguins,10,1/3,15,41.0,26,8,3,Rangers,10,3/3
NYR,PIT,5,9,58.9,22,5,Penguins,15,1/4,14,41.1,19,2,3,Rangers,15,1/4
NJD,PIT,6,12,49.2,18,5,Penguins,2,2/4,10,50.8,12,4,1,Devils,8,0/1
NJD,PIT,5,17,47.4,7,5,Penguins,4,1/1,17,52.6,12,2,1,Devils,2,0/2
PIT,PHI,2,13,51.5,25,4,Flyers,6,0/3,6,48.5,16,1,5,Penguins,6,0/3
BUF,PIT,3,14,46.7,13,5,Penguins,2,1/2,12,53.3,12,2,7,Sabres,4,1/1
BUF,PIT,2,13,45.9,13,5,Penguins,8,0/2,11,54.1,22,4,7,Sabres,4,1/4
PIT,NJD,6,9,45.3,21,1,Devils,4,1/4,18,54.7,23,7,5,Penguins,8,1/2
PIT,NJD,1,10,46.5,29,1,Devils,2,0/4,10,53.5,25,5,5,Penguins,8,0/1
PIT,NJD,2,8,39.0,29,1,Devils,7,0/2,9,61.0,26,4,5,Penguins,9,1/1
PIT,BOS,0,14,48.2,33,6,Bruins,2,0/0,8,51.8,33,1,5,Penguins,0,0/1
PIT,BOS,3,21,56.7,50,6,Bruins,11,0/1,7,43.3,25,1,5,Penguins,7,0/3
WSH,PIT,5,14,50.7,14,5,Penguins,6,0/3,14,49.3,32,4,15,Capitals,6,1/3
WSH,PIT,3,11,56.6,18,5,Penguins,7,0/2,9,43.4,31,0,15,Capitals,9,0/1
PHI,PIT,2,17,31.9,18,5,Penguins,8,2/4,13,68.1,16,7,4,Flyers,10,1/3
PHI,PIT,7,11,43.5,17,5,Penguins,9,2/3,18,56.5,24,3,4,Flyers,13,0/1
PIT,BUF,4,10,48.0,24,7,Sabres,2,1/2,8,52.0,17,8,5,Penguins,4,1/1
PIT,BUF,0,8,48.9,23,7,Sabres,4,0/1,7,51.1,23,1,5,Penguins,2,0/2
PIT,NYI,4,14,47.1,72,2,Islanders,6,0/2,12,52.9,47,3,5,Penguins,4,0/3
PIT,NYI,1,16,48.0,46,2,Islanders,8,0/1,8,52.0,37,2,5,Penguins,6,0/2
NYI,PIT,5,19,47.4,29,5,Penguins,20,1/2,17,52.6,47,4,2,Islanders,16,1/4
NYI,PIT,1,11,34.0,34,5,Penguins,12,0/1,14,66.0,31,4,2,Islanders,4,2/5
PIT,NYI,3,13,47.5,47,2,Islanders,4,0/2,9,52.5,46,2,5,Penguins,4,1/2
NYI,PIT,3,11,43.9,31,5,Penguins,4,1/2,23,56.1,30,5,2,Islanders,4,0/2
