abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
ARI,SJS,4,22,45.3,18,28,Sharks,8,1/4,13,54.7,21,3,53,Coyotes,8,1/4
ARI,SJS,3,10,40.4,23,28,Sharks,10,2/4,15,59.6,22,5,53,Coyotes,12,1/3
STL,SJS,4,10,52.5,8,28,Sharks,6,2/3,3,47.5,13,5,19,Blues,6,0/3
STL,SJS,2,8,44.9,12,28,Sharks,10,0/7,13,55.1,13,1,19,Blues,14,0/5
MIN,SJS,1,12,57.6,7,28,Sharks,8,0/3,24,42.4,8,4,30,Wild,8,0/3
MIN,SJS,5,10,57.1,15,28,Sharks,12,1/4,17,42.9,12,3,30,Wild,12,1/4
COL,SJS,3,14,52.9,14,28,Sharks,10,0/5,6,47.1,12,7,21,Avalanche,20,1/5
COL,SJS,0,18,44.8,15,28,Sharks,8,0/4,15,55.2,12,3,21,Avalanche,8,1/4
ANA,SJS,5,13,42.6,31,28,Sharks,6,0/3,21,57.4,17,4,24,Ducks,6,0/3
ANA,SJS,1,17,45.0,31,28,Sharks,10,0/1,5,55.0,31,2,24,Ducks,6,0/3
LAK,SJS,4,7,50.0,20,28,Sharks,8,0/2,16,50.0,26,3,26,Kings,4,1/4
LAK,SJS,2,5,60.4,23,28,Sharks,14,1/2,9,39.6,15,6,26,Kings,6,3/6
SJS,VGK,3,10,59.3,23,54,Golden Knights,10,3/5,15,40.7,27,1,28,Sharks,14,0/3
SJS,ANA,2,13,45.0,15,24,Ducks,4,0/1,16,55.0,18,3,28,Sharks,2,1/2
STL,SJS,2,17,42.3,31,28,Sharks,8,0/1,4,57.7,27,3,19,Blues,2,2/4
STL,SJS,5,17,47.3,17,28,Sharks,8,0/0,13,52.7,17,4,19,Blues,2,0/3
SJS,MIN,6,12,50.7,15,30,Wild,11,1/3,9,49.3,21,2,28,Sharks,11,0/3
SJS,STL,7,13,67.2,24,19,Blues,14,0/2,12,32.8,19,6,28,Sharks,6,2/6
SJS,COL,2,9,58.8,21,21,Avalanche,8,1/4,13,41.2,13,6,28,Sharks,10,1/3
SJS,COL,4,10,60.4,15,21,Avalanche,6,1/4,22,39.6,15,0,28,Sharks,14,0/3
SJS,VGK,5,15,57.1,17,54,Golden Knights,15,0/4,22,42.9,34,4,28,Sharks,13,1/5
SJS,VGK,4,19,53.2,29,54,Golden Knights,2,0/2,17,46.8,35,0,28,Sharks,4,0/1
SJS,STL,2,15,57.1,18,19,Blues,9,1/4,18,42.9,18,3,28,Sharks,13,1/2
ANA,SJS,6,12,47.3,23,28,Sharks,7,2/2,9,52.7,26,0,24,Ducks,9,0/1
ANA,SJS,3,14,55.0,27,28,Sharks,6,0/4,11,45.0,30,1,24,Ducks,8,0/3
VGK,SJS,1,26,51.7,16,28,Sharks,6,0/1,17,48.3,30,2,54,Golden Knights,2,1/3
VGK,SJS,4,16,44.6,29,28,Sharks,20,1/3,12,55.4,28,5,54,Golden Knights,16,2/5
SJS,STL,2,14,61.8,26,19,Blues,4,0/2,16,38.2,20,1,28,Sharks,14,0/2
SJS,STL,5,15,40.7,31,19,Blues,2,1/3,9,59.3,28,2,28,Sharks,6,0/1
SJS,LAK,1,12,42.9,8,26,Kings,9,0/5,16,57.1,25,2,28,Sharks,15,0/2
SJS,LAK,2,12,51.7,28,26,Kings,6,0/2,16,48.3,34,4,28,Sharks,4,0/3
ARI,SJS,2,20,52.0,21,28,Sharks,8,1/2,16,48.0,15,5,53,Coyotes,4,1/4
ARI,SJS,0,14,52.9,35,28,Sharks,29,0/1,11,47.1,30,4,53,Coyotes,6,1/6
SJS,MIN,3,19,41.5,17,30,Wild,7,0/0,17,58.5,20,4,28,Sharks,5,0/1
SJS,MIN,2,18,49.1,28,30,Wild,8,0/2,16,50.9,34,4,28,Sharks,6,1/3
LAK,SJS,3,16,45.2,21,28,Sharks,4,0/3,15,54.8,23,0,26,Kings,6,0/2
LAK,SJS,3,9,53.3,20,28,Sharks,4,0/2,14,46.7,15,2,26,Kings,4,0/2
SJS,ANA,5,12,50.9,20,24,Ducks,13,1/1,14,49.1,17,1,28,Sharks,7,1/4
SJS,LAK,2,11,57.6,18,26,Kings,23,0/3,15,42.4,23,5,28,Sharks,23,0/3
SJS,LAK,4,21,51.7,26,26,Kings,10,1/5,11,48.3,30,2,28,Sharks,10,1/5
SJS,ANA,4,16,44.6,23,24,Ducks,10,0/2,7,55.4,33,0,28,Sharks,4,0/5
SJS,ANA,4,11,45.0,21,24,Ducks,18,1/4,17,55.0,36,1,28,Sharks,20,0/3
MIN,SJS,2,11,39.1,22,28,Sharks,6,0/1,14,60.9,12,3,30,Wild,2,0/3
MIN,SJS,2,11,58.0,22,28,Sharks,8,0/2,10,42.0,17,5,30,Wild,4,1/4
VGK,SJS,2,16,47.5,30,28,Sharks,10,0/2,22,52.5,26,3,54,Golden Knights,4,2/5
VGK,SJS,2,19,57.6,39,28,Sharks,8,0/3,21,42.4,28,5,54,Golden Knights,8,1/3
SJS,MIN,6,9,42.6,12,30,Wild,0,1/3,16,57.4,26,3,28,Sharks,6,0/0
SJS,ARI,4,11,56.4,35,53,Coyotes,10,0/3,11,43.6,19,6,28,Sharks,8,0/4
SJS,ARI,2,11,54.4,24,53,Coyotes,8,0/4,15,45.6,14,4,28,Sharks,8,0/4
COL,SJS,0,19,40.0,9,28,Sharks,13,0/4,11,60.0,9,3,21,Avalanche,13,2/4
COL,SJS,3,19,41.0,10,28,Sharks,8,1/4,10,59.0,6,4,21,Avalanche,8,0/4
SJS,COL,5,11,59.3,13,21,Avalanche,2,0/3,23,40.7,22,4,28,Sharks,6,0/1
SJS,COL,2,7,53.2,18,21,Avalanche,8,0/2,21,46.8,29,3,28,Sharks,4,1/4
SJS,ARI,5,11,45.9,11,53,Coyotes,6,1/2,8,54.1,11,2,28,Sharks,4,0/3
SJS,ARI,5,8,51.6,13,53,Coyotes,6,1/2,6,48.4,12,4,28,Sharks,6,0/2
SJS,VGK,6,13,50.0,13,54,Golden Knights,2,0/4,12,50.0,28,0,28,Sharks,8,0/1
