abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
CHI,DET,4,16,50.7,29,17,Red Wings,10,0/1,12,49.3,34,3,16,Blackhawks,2,0/5
CHI,STL,6,13,37.0,34,19,Blues,16,1/3,12,63.0,32,3,16,Blackhawks,16,1/3
STL,CHI,5,0,0.0,0,16,Blackhawks,6,0/5,0,0.0,0,1,19,Blues,10,0/3
DET,CHI,6,11,57.1,12,16,Blackhawks,10,1/3,9,42.9,16,4,17,Red Wings,6,4/5
MIN,CHI,2,13,48.3,12,16,Blackhawks,4,1/3,18,51.7,11,3,30,Wild,6,1/2
CHI,MIN,1,13,42.6,28,30,Wild,15,0/2,14,57.4,30,5,16,Blackhawks,11,2/4
COL,CHI,2,21,56.4,17,16,Blackhawks,12,1/3,17,43.6,25,4,21,Avalanche,12,0/4
NJD,CHI,3,7,51.8,15,16,Blackhawks,4,2/5,14,48.2,17,4,1,Devils,10,0/2
PIT,CHI,2,9,54.1,31,16,Blackhawks,6,1/3,13,45.9,26,5,5,Penguins,8,0/2
CHI,NYI,4,19,57.1,44,2,Islanders,11,0/2,12,42.9,34,1,16,Blackhawks,9,0/3
CHI,VAN,4,18,55.2,17,23,Canucks,13,1/4,14,44.8,23,1,16,Blackhawks,13,1/4
CHI,DET,6,19,47.3,23,17,Red Wings,12,1/8,8,52.7,41,3,16,Blackhawks,16,1/5
CHI,TOR,3,6,58.2,32,10,Maple Leafs,8,0/3,23,41.8,28,2,16,Blackhawks,8,1/3
CAR,CHI,3,10,43.4,35,16,Blackhawks,13,2/8,12,56.6,19,6,12,Hurricanes,23,1/3
STL,CHI,0,15,45.3,22,16,Blackhawks,6,0/2,15,54.7,17,1,19,Blues,4,1/3
CHI,OTT,1,16,37.0,37,9,Senators,6,0/4,18,63.0,34,5,16,Blackhawks,8,1/2
CHI,CAR,4,18,47.3,22,12,Hurricanes,10,0/2,23,52.7,27,3,16,Blackhawks,4,0/5
WPG,CHI,1,14,46.9,25,16,Blackhawks,6,0/2,14,53.1,24,5,52,Jets,4,1/3
CHI,NSH,1,12,54.3,31,18,Predators,6,0/2,17,45.7,40,2,16,Blackhawks,4,0/3
CHI,PIT,2,8,47.5,36,5,Penguins,6,0/3,21,52.5,30,3,16,Blackhawks,8,0/2
CHI,ARI,1,12,55.1,20,53,Coyotes,12,1/3,13,44.9,35,2,16,Blackhawks,8,1/5
SEA,CHI,4,22,39.6,20,16,Blackhawks,9,0/1,8,60.4,29,2,55,Kraken,7,1/2
EDM,CHI,2,12,43.8,30,16,Blackhawks,8,0/3,16,56.3,16,5,22,Oilers,6,1/4
VAN,CHI,1,18,46.0,22,16,Blackhawks,8,0/3,16,54.0,22,0,23,Canucks,8,0/3
CGY,CHI,2,12,46.0,15,16,Blackhawks,5,0/1,12,54.0,15,5,20,Flames,7,0/0
CHI,STL,2,16,51.0,17,19,Blues,11,1/1,13,49.0,33,3,16,Blackhawks,7,0/3
CHI,SJS,2,32,53.2,32,28,Sharks,4,0/1,18,46.8,25,0,16,Blackhawks,2,0/2
WSH,CHI,4,14,50.0,22,16,Blackhawks,2,1/2,15,50.0,32,3,15,Capitals,4,0/1
NYR,CHI,2,15,57.4,26,16,Blackhawks,8,0/1,17,42.6,28,3,3,Rangers,2,1/4
NYI,CHI,3,12,41.7,18,16,Blackhawks,8,1/2,13,58.3,24,2,2,Islanders,4,1/4
