abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
STL,DAL,1,18,53.8,16,25,Stars,8,0/3,7,46.2,13,2,19,Blues,8,1/3
DAL,FLA,4,10,36.1,9,13,Panthers,6,1/2,10,63.9,14,3,25,Stars,4,1/3
FLA,DAL,3,13,49.3,35,25,Stars,2,1/2,13,50.7,25,6,13,Panthers,4,0/1
DAL,ARI,3,0,0.0,0,53,Coyotes,20,2/4,0,0.0,0,6,25,Stars,18,1/5
DAL,STL,1,11,57.4,13,19,Blues,6,0/4,12,42.6,12,3,25,Stars,8,0/3
DAL,COL,1,12,32.7,15,21,Avalanche,8,0/3,10,67.3,15,3,25,Stars,6,0/4
COL,DAL,2,15,50.9,22,25,Stars,12,2/4,10,49.1,28,4,21,Avalanche,10,1/5
NYR,DAL,3,25,50.0,23,25,Stars,10,1/2,13,50.0,32,2,3,Rangers,6,0/4
BOS,DAL,1,11,53.2,33,25,Stars,8,0/6,8,46.8,25,3,6,Bruins,14,0/3
OTT,DAL,2,13,56.1,36,25,Stars,11,0/2,16,43.9,30,3,9,Senators,9,2/3
PIT,DAL,2,16,58.3,38,25,Stars,2,0/0,8,41.7,32,1,5,Penguins,2,0/0
DAL,LAK,2,18,53.3,14,26,Kings,10,1/6,18,46.7,25,3,25,Stars,23,2/4
CBJ,DAL,1,13,50.0,22,25,Stars,10,0/3,9,50.0,13,4,29,Blue Jackets,8,0/4
DAL,VGK,3,20,28.8,9,54,Golden Knights,2,0/1,28,71.2,20,2,25,Stars,2,0/1
DAL,OTT,4,15,41.9,16,9,Senators,4,1/3,13,58.1,33,1,25,Stars,6,1/2
WPG,DAL,3,16,50.0,23,25,Stars,8,1/2,12,50.0,21,4,52,Jets,4,2/4
CGY,DAL,4,15,49.2,19,25,Stars,10,1/3,5,50.8,20,3,20,Flames,8,1/5
VAN,DAL,3,12,42.9,21,25,Stars,12,2/3,13,57.1,16,6,23,Canucks,6,3/6
DAL,NSH,4,20,38.5,23,18,Predators,6,0/1,6,61.5,29,2,25,Stars,2,1/3
DAL,PHI,2,16,45.0,13,4,Flyers,6,1/4,14,55.0,23,5,25,Stars,8,1/3
DAL,DET,2,14,51.7,15,17,Red Wings,2,1/1,15,48.3,14,5,25,Stars,2,0/1
MIN,DAL,2,14,57.8,9,25,Stars,15,1/6,12,42.2,11,7,30,Wild,19,0/4
DAL,STL,1,8,39.3,11,19,Blues,8,1/6,11,60.7,18,4,25,Stars,12,1/4
DAL,EDM,1,20,39.7,13,22,Oilers,10,0/2,20,60.3,13,4,25,Stars,4,2/5
DAL,COL,1,11,41.7,14,21,Avalanche,6,0/3,9,58.3,15,3,25,Stars,6,1/3
ARI,DAL,3,16,61.0,22,25,Stars,4,0/1,13,39.0,19,2,53,Coyotes,2,0/2
DAL,CAR,1,11,42.6,18,12,Hurricanes,6,0/3,17,57.4,25,4,25,Stars,8,0/2
DAL,CBJ,2,19,39.6,24,29,Blue Jackets,2,0/2,7,60.4,19,3,25,Stars,4,0/1
DAL,ARI,1,20,47.3,21,53,Coyotes,8,0/1,11,52.7,19,4,25,Stars,2,1/4
VGK,DAL,4,21,65.0,22,25,Stars,6,3/3,12,35.0,19,5,54,Golden Knights,6,0/3
LAK,DAL,0,13,50.9,25,25,Stars,4,0/3,13,49.1,15,4,26,Kings,6,0/2
SJS,DAL,1,11,52.8,16,25,Stars,4,0/3,29,47.2,21,2,28,Sharks,6,0/2
DAL,STL,4,11,56.4,25,19,Blues,2,2/5,14,43.6,17,1,25,Stars,10,0/1
STL,DAL,1,8,52.5,22,25,Stars,4,0/3,20,47.5,38,4,19,Blues,6,1/2
DAL,CHI,3,18,38.6,11,16,Blackhawks,25,1/3,10,61.4,16,4,25,Stars,6,3/8
DAL,MIN,4,12,42.3,20,30,Wild,10,1/3,15,57.7,23,7,25,Stars,8,1/4
DAL,FLA,5,15,40.3,18,13,Panthers,6,1/3,15,59.7,23,6,25,Stars,6,1/3
DAL,PIT,2,17,48.2,22,5,Penguins,4,0/3,16,51.8,25,3,25,Stars,8,0/1
STL,DAL,1,14,53.1,17,25,Stars,10,0/3,7,46.9,21,2,19,Blues,6,2/5
DAL,SEA,2,12,51.5,28,55,Kraken,4,1/3,13,48.5,22,5,25,Stars,6,1/2
FLA,DAL,1,23,47.2,30,25,Stars,4,0/2,9,52.8,26,7,13,Panthers,4,1/2
TBL,DAL,1,9,49.1,36,25,Stars,8,0/1,7,50.9,24,3,14,Lightning,4,1/3
DAL,MTL,5,31,45.6,29,8,Canadiens,39,1/3,13,54.4,14,3,25,Stars,20,1/8
BUF,DAL,5,8,57.9,23,25,Stars,6,4/5,14,42.1,12,4,7,Sabres,10,1/3
DET,DAL,5,15,50.7,18,25,Stars,8,1/5,11,49.3,8,4,17,Red Wings,10,1/4
PHI,DAL,3,9,46.8,26,25,Stars,0,0/0,15,53.2,28,1,4,Flyers,0,0/0
NJD,DAL,5,21,56.3,21,25,Stars,13,0/1,9,43.7,19,1,1,Devils,9,1/3
