abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WSH,NJD,5,13,33.9,18,1,Devils,8,1/5,8,66.1,18,4,15,Capitals,10,2/4
NJD,NYR,1,9,47.4,23,3,Rangers,8,1/5,6,52.6,14,7,1,Devils,10,2/4
NYI,NJD,2,0,0.0,0,1,Devils,8,0/5,0,0.0,0,1,2,Islanders,12,0/3
NJD,WSH,1,15,39.6,17,15,Capitals,10,1/3,5,60.4,16,4,1,Devils,6,2/5
NYR,NJD,2,13,49.1,31,1,Devils,23,0/2,8,50.9,36,6,3,Rangers,31,1/3
NJD,CHI,3,7,51.8,15,16,Blackhawks,4,2/5,14,48.2,17,4,1,Devils,10,0/2
NJD,SEA,2,11,51.3,12,55,Kraken,41,1/5,17,48.7,16,4,1,Devils,35,0/3
NJD,WSH,4,16,56.3,11,15,Capitals,4,0/3,9,43.8,18,1,1,Devils,8,1/1
NJD,BUF,1,13,34.0,30,7,Sabres,8,1/2,10,66.0,25,2,1,Devils,6,1/3
NJD,CGY,5,13,52.2,17,20,Flames,12,2/3,17,47.8,29,3,1,Devils,10,1/4
PIT,NJD,4,13,47.7,27,1,Devils,10,0/2,14,52.3,29,2,5,Penguins,4,0/5
NJD,CBJ,4,19,55.0,14,29,Blue Jackets,6,1/2,19,45.0,12,3,1,Devils,4,0/3
ANA,NJD,0,18,48.9,13,1,Devils,14,0/5,14,51.1,18,4,24,Ducks,10,2/7
LAK,NJD,2,14,41.4,26,1,Devils,12,0/4,17,58.6,30,3,26,Kings,8,1/6
SJS,NJD,3,21,54.2,17,1,Devils,6,0/4,20,45.8,22,2,28,Sharks,8,1/3
NJD,FLA,3,10,46.7,28,13,Panthers,8,0/2,14,53.3,21,7,1,Devils,4,2/4
NJD,NYI,0,10,52.7,24,2,Islanders,6,0/3,23,47.3,16,4,1,Devils,8,1/2
NJD,BOS,5,25,53.8,16,6,Bruins,8,1/2,8,46.2,11,2,1,Devils,6,0/3
NYR,NJD,3,11,49.3,15,1,Devils,4,1/1,19,50.7,22,4,3,Rangers,2,0/2
FLA,NJD,1,16,57.1,24,1,Devils,6,0/3,15,42.9,35,4,13,Panthers,8,0/2
TBL,NJD,5,5,42.9,25,1,Devils,8,0/3,7,57.1,26,3,14,Lightning,6,1/4
NJD,MIN,3,19,45.3,35,30,Wild,10,0/3,10,54.7,27,2,1,Devils,8,0/4
